"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,4.08312966495911,0.222,0.227,3.95,1.143,4.06,0.4,2.224,0.264,1.3
16,9.5,9.64051356794733,0.476,0.443,9.81,0.633,9.75,0.53,2.47,0.175,0.3
26,8.4,8.4559707317657,0.937,0.883,7.66,1.378,7.7,0.55,2.606,0.251,1.3
36,6.5,6.18502145532456,1.664,1.279,7.3,1.921,7.16,0.63,3.593,0.439,1.9
46,4.6,4.47721529957476,0.692,0.831,4.5,1.414,4.46,0.85,3.677,0.301,0.3
56,3.5,3.56444138271552,0.497,0.641,3.47,0.958,3.45,0.71,3.397,0.244,0.1
66,4.3,4.31425503901945,0.245,0.269,4.77,2.798,4.65,0.7,4.284,0.447,2.9
76,3,2.98404678442244,1.411,1.445,4.22,1.131,4.19,0.91,5.186,0.361,1.1
86,2,1.91819429987925,0.384,0.412,0.22,2.993,0.24,0.82,4.573,0.462,0.1
96,1.8,1.80396402029279,0.091,0.063,0.63,1.581,0.58,0.75,3.741,0.227,1.5
106,1.6,1.56739800930978,0.149,0.209,3.5,2.088,3.53,1.04,4.578,0.252,2.3
116,2,2.08318001416451,0.872,0.916,1.83,1.707,1.58,0.92,4.91,0.441,0.1
126,1.4,1.370533104338,0.476,0.47,0.98,1.801,1.08,0.71,3.953,0.42,0.3
136,1.1,1.11513800478178,0.224,0.183,0.58,3.129,0.76,0.72,4.759,0.507,3.1
146,1,1.10326544924514,0.63,0.603,1.7,3.001,1.7,0.85,5.014,0.42,0.1
6,4,4.086542492086,0.222,0.175,3.54,1.66,3.52,0.4,2.239,0.232,1.5
16,9.5,9.54022486332864,0.476,0.472,9.47,0.786,9.33,0.5,2.677,0.194,0.1
26,8.4,8.35147505534654,0.937,0.968,8.66,0.995,8.65,0.42,2.753,0.21,0.9
36,6.5,6.47604327754591,1.664,1.625,6.4,2.578,6.05,0.67,3.917,0.478,2.9
46,4.6,4.40468349383478,0.692,0.661,4.96,1.703,4.71,0.9,4.157,0.385,0.1
56,3.5,3.48178268583767,0.497,0.455,2.4,2.04,2.3,0.56,3.385,0.359,0.3
66,4.3,4.27402852920056,0.245,0.253,4.87,1.978,5.02,0.69,3.366,0.385,2.1
76,3,3.02923230170706,1.411,1.555,3.29,1.172,3.39,0.89,4.314,0.27,1.1
86,2,2.00144434695614,0.384,0.41,1.09,1.137,0.95,0.97,4.569,0.32,1.1
96,1.8,1.83496782814328,0.091,0.104,2.77,2.218,2.57,0.62,3.925,0.371,0.1
106,1.6,1.5912734234866,0.149,0.183,0.91,2.882,1.05,0.7,4.36,0.566,2.9
116,2,2.13660538991418,0.872,0.784,2.62,0.965,2.68,0.76,5.162,0.361,0.1
126,1.4,1.37194874019835,0.476,0.472,0.46,1.413,0.58,1.03,4.753,0.346,0.3
136,1.1,1.11434213000706,0.224,0.235,1.49,1.543,1.41,0.66,4.892,0.34,1.7
146,1,0.95456565712033,0.63,0.727,1.36,1.399,1.16,1.12,5.343,0.328,0.7
6,4,3.98214539381931,0.222,0.214,3.8,1.118,3.91,0.53,2.876,0.208,1.1
16,9.5,9.35133401492518,0.476,0.496,9.58,1.169,9.44,0.48,2.903,0.219,0.1
26,8.4,8.46179118370385,0.937,0.962,8.38,0.642,8.5,0.49,2.551,0.178,0.3
36,6.5,6.43316508347421,1.664,1.359,6.99,1.191,7.07,0.58,2.785,0.234,1.1
46,4.6,4.39238702944059,0.692,0.756,3.51,4.032,3.49,0.94,4.847,0.717,4.1
56,3.5,3.44710803867035,0.497,0.445,3.5,3.632,3.46,0.83,5.19,0.634,0.7
66,4.3,4.24331935592003,0.245,0.243,4.58,1.631,4.35,0.88,4.085,0.388,1.5
76,3,3.03457087795849,1.411,1.449,2.29,1.726,2.29,0.75,4.738,0.42,1.3
86,2,2.10508152045254,0.384,0.38,4.82,2.039,5.01,0.8,4.69,0.505,0.7
96,1.8,1.79678011336926,0.091,0.111,-0.75,1.407,-0.87,0.58,4.479,0.351,1.3
106,1.6,1.5393665005567,0.149,0.137,1.65,0.779,1.65,0.96,4.671,0.344,0.1
116,2,2.05481429445867,0.872,0.813,1.96,1.957,2.06,0.89,4.693,0.358,2.1
126,1.4,1.37936624497397,0.476,0.568,2.4,2.745,2.1,0.77,4.504,0.517,0.5
136,1.1,1.12236914764228,0.224,0.229,1.22,1.741,1.14,0.52,4.056,0.378,1.7
146,1,1.05285908139161,0.63,0.671,-0.14,2.401,-0.02,0.81,5.02,0.564,2.3
6,4,4.03074154173735,0.222,0.213,3.63,0.98,3.69,0.68,3.222,0.182,0.3
16,9.5,9.55959300448755,0.476,0.47,10.08,1.443,9.98,0.47,2.716,0.278,0.1
