"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,3.96854657354635,0.477,0.511,3.7,1.047,3.79,0.49,2.627,0.159,0.1
16,9.5,9.61285562854839,0.643,0.839,9.39,1.41,9.44,0.56,2.795,0.272,1.5
26,8.4,8.50861392300786,0.6,0.578,8.35,0.813,8.12,0.54,3.266,0.156,0.7
36,6.5,6.35474151408053,2.541,2.134,7.03,0.55,6.91,0.52,3.338,0.233,0.1
46,4.6,4.6115766529885,0.672,0.793,4.43,1.382,4.35,0.55,3.533,0.223,1.3
56,3.5,3.88791978219267,1.271,1.421,4.33,1.594,4.25,0.89,4.058,0.389,1.7
66,4.3,4.28478102459756,0.748,0.651,4.07,1.211,4.14,0.74,4.694,0.34,0.3
76,3,2.98726183918779,0.103,0.101,1.87,1.181,1.55,0.69,4.702,0.304,0.9
86,2,1.97809548001047,0.328,0.364,2.81,2.812,2.93,0.95,5.56,0.576,3.1
96,1.8,1.7541893664989,0.236,0.217,2.16,2.752,2.08,0.85,5.136,0.388,0.7
106,1.6,1.46381108657471,0.501,0.55,1.01,2.15,1.04,0.68,4.036,0.287,0.1
116,2,2.00424100671979,0.164,0.197,2.23,3.767,2.49,0.9,4.939,0.666,3.7
126,1.4,1.53374957324349,0.654,0.593,0.34,2.396,0.69,0.85,5.64,0.467,0.1
136,1.1,1.12261678704667,0.536,0.511,2.56,1.4,2.57,0.86,5.347,0.369,1.1
146,1,1.01114511744709,0.342,0.409,1.22,3.467,1.22,0.69,4.344,0.455,0.1
6,4,4.06096006350257,0.477,0.528,4.2,0.561,4.25,0.52,2.551,0.177,0.3
16,9.5,9.42465170367877,0.643,0.677,10,0.551,10.09,0.43,2.696,0.194,0.5
26,8.4,8.54773000763542,0.6,0.628,7.69,0.197,7.59,0.46,2.889,0.206,0.3
