"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,3.93085587525572,0.506,0.597,3.11,0.581,2.89,0.42,2.288,0.141,0.3
16,9.5,9.35222085575448,0.925,0.866,10,1.091,9.96,0.4,2.361,0.213,1.1
26,8.4,7.96263192885163,3.749,4.008,8.62,3.656,8.54,0.94,4.652,0.465,3.7
36,6.5,6.26603384248075,11.354,11.575,6.23,8.34,5.95,1.83,10.031,1.537,4.9
46,4.6,4.80107744610053,1.247,1.179,9.09,4.043,8.76,1.93,12.04,0.768,0.3
56,3.5,6.04050641317423,11.868,10.562,8.46,9.592,8.99,2.42,14.734,1.64,4.9
66,4.3,4.80674421522348,3.324,2.607,-2.8,7.809,-1.71,2.72,16.2,1.462,0.5
76,3,3.24208144395869,1.032,0.892,8.6,6.89,7.78,2.43,16.384,1.574,4.5
86,2,1.93888774023843,0.204,0.163,4.13,3.729,3.78,3.12,16.89,0.889,1.7
96,1.8,1.76657970575971,0.299,0.232,2.36,6.644,1.74,2.45,14.525,1.299,0.9
106,1.6,1.54958688697715,0.677,0.768,2.48,8.621,2.8,3.05,15.881,1.843,4.7
116,2,1.99797961283036,0.272,0.28,-6.64,3.953,-6.46,3.01,17.763,1.076,0.5
126,1.4,1.39507895043598,0.351,0.334,1.74,2.317,2.49,2.82,16.833,0.842,2.1
136,1.1,0.879779222662743,0.521,0.527,4.81,4.861,4.39,3.13,16.503,0.951,0.5
146,1,0.914384811246374,0.655,0.489,-5.43,4.844,-5.63,2.21,15.018,0.853,0.1
6,4,3.91913067344987,0.506,0.542,4.05,1.635,4.04,0.35,2.622,0.242,1.7
16,9.5,9.45402271013621,0.925,0.858,8.95,0.425,9.02,0.54,2.951,0.187,0.5
26,8.4,8.26969220321955,3.749,3.824,9.09,5.002,8.92,0.97,6.077,0.889,4.9
36,6.5,5.67550238785541,11.354,9.701,7.21,9.285,7.73,1.73,12.048,1.375,4.9
46,4.6,4.33978301941567,1.247,1.356,3.98,4.035,4.57,2.86,14.173,1.156,0.3
56,3.5,4.69078037050188,11.868,9.372,4.44,8.468,4.33,2.77,15.841,1.433,4.5
66,4.3,4.88834993141959,3.324,2.942,9.03,3.357,8.06,3.45,18.692,1.321,1.3
76,3,2.79785379384963,1.032,1.071,-1.6,3.247,-2.22,2.77,17.709,1.037,0.1
86,2,2.00248839086603,0.204,0.219,15.17,6.159,14.55,3.65,17.391,1.562,0.1
96,1.8,1.68268929146502,0.299,0.184,-7.54,4.067,-7.86,2.69,16.843,1.185,4.7
