"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,4.03443340828426,0.206,0.227,4.56,1.084,4.68,0.45,2.723,0.146,1.3
16,9.5,9.47303124013889,0.267,0.352,8.39,0.928,8.28,0.47,2.842,0.187,0.1
26,8.4,8.2186118148672,0.764,0.962,9.42,0.438,9.36,0.45,2.756,0.14,0.1
36,6.5,6.77916882610546,2.451,2.854,6.05,2.917,5.9,0.78,4.011,0.614,2.9
46,4.6,4.67094446554443,0.604,0.672,4.67,2.137,4.37,0.65,4.47,0.414,0.5
56,3.5,3.74104663108324,1.289,1.155,4.01,1.949,4.02,0.91,4.398,0.381,2.1
66,4.3,4.28804616354375,0.079,0.078,4.35,1.975,4.49,1.08,5.143,0.426,1.9
76,3,2.96038908149774,1.219,1.299,4.61,2.544,4.47,0.81,4.804,0.361,0.7
86,2,2.03361576382757,0.185,0.247,1.02,2.544,1.24,0.85,4.957,0.488,2.7
96,1.8,1.77754539130344,0.338,0.281,0.55,2.361,0.58,0.81,4.919,0.43,0.1
106,1.6,0.72623117611633,2.882,2.891,3.27,3.544,3.26,1.07,5.478,0.596,3.7
116,2,1.965263429548,1.443,1.827,1.28,3.108,1.52,1.31,7.242,0.606,3.1
126,1.4,1.55056090218264,0.409,0.404,1.22,2.3,1.02,1.4,7.545,0.598,0.1
136,1.1,1.09600729020428,0.089,0.077,2.22,1.146,2.32,1.19,7.145,0.587,1.1
146,1,1.02574308791225,0.612,0.553,-2.26,2.431,-2.27,1.56,7.87,0.546,2.3
6,4,4.01442227194117,0.206,0.191,4.33,0.595,4.44,0.43,2.421,0.222,0.3
16,9.5,9.45558963207497,0.267,0.198,9.85,1.089,9.8,0.48,2.593,0.205,1.1
26,8.4,8.50452683483282,0.764,0.752,7.38,0.992,7.47,0.46,3.016,0.17,1.1
36,6.5,5.90987426970907,2.451,2.524,8.53,2.839,8.21,0.91,4.075,0.481,2.9
46,4.6,4.541981340641,0.604,0.629,3.31,0.782,3.31,0.85,5.056,0.279,0.7
56,3.5,3.62669602261155,1.289,1.122,4.04,1.533,3.97,1.07,5.295,0.323,1.5
66,4.3,4.30485631788673,0.079,0.073,3.72,2.102,3.66,1.15,5.162,0.432,0.9
76,3,3.35909825611923,1.219,1.33,2.88,1.277,3.01,0.75,4.708,0.279,0.1
86,2,1.99298089945583,0.185,0.2,1.66,0.992,1.57,0.78,4.411,0.296,1.1
96,1.8,1.7725718957608,0.338,0.352,2.9,3.664,2.91,0.96,6.059,0.586,3.7
106,1.6,2.41769808789975,2.882,3.471,0.48,2.894,0.57,1.13,6.479,0.524,0.1
116,2,1.29813566089396,1.443,1.608,2.25,4.299,2.68,1.42,7.124,0.671,4.9
126,1.4,1.42707033865755,0.409,0.446,1.47,4.498,1,1.07,6.94,0.747,0.7
136,1.1,1.06715189462237,0.089,0.078,1.72,3.594,1.66,1.45,6.284,0.641,3.5
146,1,0.95387850697998,0.612,0.629,0.6,1.729,0.68,1.38,6.977,0.554,0.3
6,4,4.05987580298219,0.206,0.192,4.37,0.852,4.43,0.48,2.592,0.231,0.9
16,9.5,9.57695521482405,0.267,0.259,8.99,1.17,8.98,0.5,2.925,0.272,1.1
26,8.4,8.42663223375162,0.764,0.745,8.2,1.252,8.27,0.51,2.875,0.191,0.1
36,6.5,6.41900391829498,2.451,2.159,6.06,1.37,5.94,0.63,2.894,0.252,1.3
46,4.6,4.56932834800892,0.604,0.656,3.89,3.019,3.93,0.87,4.433,0.51,3.1
56,3.5,3.22083205799131,1.289,1.167,6.08,2.563,6.44,0.76,4.669,0.473,0.1
66,4.3,4.28488808625104,0.079,0.097,2.17,2.245,2.06,0.99,4.439,0.397,2.1
76,3,2.99504714482227,1.219,1.155,4.67,2.225,4.96,0.9,5.537,0.468,2.7
86,2,1.99253802947303,0.185,0.165,0.77,2.877,0.26,1.31,6.7,0.604,2.5
96,1.8,1.88427833809033,0.338,0.268,2.83,4.194,2.65,1.12,5.634,0.668,0.9
106,1.6,1.09972747632511,2.882,3.026,0.94,2.688,0.93,0.77,4.739,0.58,2.7
116,2,1.6272815368923,1.443,1.619,3.07,1.79,3.25,1.04,6.011,0.471,2.1
126,1.4,1.51011898921013,0.409,0.409,-0.02,2.368,-0.49,1.31,6.587,0.519,2.5
136,1.1,1.0590823674114,0.089,0.088,1.35,0.243,1.18,1.26,6.475,0.281,0.7
146,1,1.01807205320621,0.612,0.592,2.51,1.873,2.66,1.36,6.629,0.464,0.1
6,4,3.96860547200037,0.206,0.265,4.03,1.348,3.98,0.39,2.53,0.289,1.3
16,9.5,9.45498536921198,0.267,0.248,9.86,1.233,9.73,0.44,2.451,0.264,0.1
26,8.4,8.33156957659345,0.764,0.829,8.45,1.479,8.37,0.46,2.684,0.264,1.5
36,6.5,6.57848266218675,2.451,2.502,6.84,2.071,6.86,0.77,3.583,0.295,2.1
46,4.6,4.57947579333003,0.604,0.632,4.49,1.573,4.54,0.79,3.898,0.3,0.3
56,3.5,3.53430790352552,1.289,1.024,2.31,2.019,2.67,0.62,4.296,0.372,1.9
66,4.3,4.30725444753297,0.079,0.096,4.85,0.329,4.91,1.02,4.526,0.335,0.3
76,3,2.98490281817598,1.219,1.207,2.69,1.555,2.85,0.97,4.704,0.355,1.5
86,2,2.01825294495829,0.185,0.189,2.6,1.668,2.67,0.73,5.251,0.337,1.9
96,1.8,1.77406617762391,0.338,0.357,1.04,2.748,0.6,1.35,6.366,0.539,3.1
106,1.6,2.29070690588414,2.882,2.618,1.67,2.193,1.72,1.15,6.994,0.477,2.1
116,2,1.77738983415754,1.443,1.198,2.33,2.332,2.32,1.17,7.132,0.392,0.3
126,1.4,1.47479490542786,0.409,0.398,1.36,1.924,1.72,0.9,6.963,0.49,1.9
136,1.1,1.09512284526958,0.089,0.103,1.6,2.772,1.38,1.43,7.712,0.503,2.9
146,1,0.953226541874171,0.612,0.647,0.96,3.417,1.28,1.46,7.522,0.604,0.7
6,4,3.99834141466029,0.206,0.236,4.19,0.236,4.19,0.43,2.368,0.151,0.1
16,9.5,9.42957240726972,0.267,0.356,9.48,1.413,9.63,0.53,2.858,0.272,1.5
26,8.4,8.43305545946585,0.764,0.726,8.06,1.203,8.01,0.51,3.024,0.23,0.1
36,6.5,7.41570995607197,2.451,2.368,7.23,3.111,7.25,0.71,4.029,0.49,3.1
46,4.6,4.5924772313721,0.604,0.594,3.95,0.428,3.77,0.73,5.093,0.294,0.9
56,3.5,3.16250084604306,1.289,1.304,3.04,0.745,2.6,1.18,5.121,0.331,1.1
66,4.3,4.29654963667147,0.079,0.077,4.85,3.743,4.72,0.88,6.698,0.61,3.7
76,3,3.47805225934355,1.219,1.254,3.75,1.951,3.62,1.37,7.01,0.432,0.3
86,2,1.97772798481397,0.185,0.162,2.51,2.429,2.5,1.19,6.653,0.535,0.1
96,1.8,1.70417142018279,0.338,0.292,-0.75,3.298,-0.87,0.74,4.972,0.532,0.3
106,1.6,1.29464296199879,2.882,3.224,2.87,2.916,2.9,0.83,4.772,0.575,2.7
116,2,2.0843066661642,1.443,1.259,1.8,1.034,1.48,1.11,6.022,0.213,1.1
126,1.4,1.38092675194613,0.409,0.391,1,1.493,0.71,0.97,6.136,0.4,0.5
136,1.1,1.0738782680516,0.089,0.091,0.67,1.163,0.36,1.24,6.182,0.399,0.3
146,1,0.928614235425313,0.612,0.432,1.98,3.859,1.75,1.58,7.251,0.833,3.7
6,4,3.96208083776508,0.206,0.226,4.53,1.492,4.59,0.42,2.298,0.301,1.5
16,9.5,9.52800978855232,0.267,0.35,9.26,1.13,9.07,0.51,2.543,0.249,0.3
26,8.4,8.4009468406833,0.764,0.843,8.57,1.443,8.8,0.45,2.626,0.245,1.3
36,6.5,6.82836316412616,2.451,2.439,5.9,1.769,6,0.63,3.457,0.356,1.7
46,4.6,4.62625304762395,0.604,0.537,4.7,2.988,4.55,0.86,4.801,0.47,3.1
56,3.5,3.06007443250147,1.289,1.383,4.64,2.273,4.68,1.01,5.303,0.455,0.1
66,4.3,4.3027853093262,0.079,0.07,3.37,0.681,3.31,0.87,4.767,0.276,0.9
76,3,3.17156785331019,1.219,1.146,2.18,1.834,2.21,0.95,5.108,0.343,1.7
86,2,1.95975323847298,0.185,0.203,2.81,1.859,2.86,0.91,5.678,0.412,2.3
96,1.8,1.67973610146573,0.338,0.397,2.75,1.535,2.51,0.87,6.031,0.47,0.3
106,1.6,0.236525989974751,2.882,2.353,1.26,3.487,1.12,1.1,6.965,0.649,3.1
116,2,1.26480195291493,1.443,1.505,0.48,2.41,0.29,1,7.273,0.45,0.5
126,1.4,1.53387555199533,0.409,0.417,3.54,0.516,3.77,1.12,6.632,0.516,0.1
136,1.1,1.07427410517912,0.089,0.094,1.46,1.775,1.59,1.49,6.896,0.536,1.7
146,1,0.954210502596385,0.612,0.623,1.05,1.363,1.43,1.25,7.182,0.484,0.5
6,4,3.99019349471045,0.206,0.211,3.83,0.363,3.84,0.56,2.57,0.148,0.3
16,9.5,9.48988601998834,0.267,0.249,9.79,1.094,9.85,0.47,2.226,0.212,0.1
26,8.4,8.36533793817228,0.764,0.605,8.21,1.982,8.28,0.54,2.786,0.37,1.9
36,6.5,6.60646212131038,2.451,2.928,5.55,2.049,5.51,0.66,3.925,0.378,2.1
46,4.6,4.76666722358972,0.604,0.589,7.2,1.701,7.27,0.82,4.267,0.319,0.1
56,3.5,4.0059162040319,1.289,1.335,1.38,2.871,1.57,0.77,4.529,0.571,2.7
66,4.3,4.29844908112536,0.079,0.084,4.55,2.36,4.38,1.2,5.609,0.526,2.5
76,3,2.83301038128846,1.219,0.904,4.08,3.205,4.13,1,5.566,0.569,0.5
86,2,2.01394103271438,0.185,0.195,0.93,3.03,1.14,0.97,5.491,0.484,3.3
96,1.8,1.70892866847757,0.338,0.375,2.76,2.072,3.34,1.12,6.864,0.494,2.3
106,1.6,1.77924357292924,2.882,3.086,-0.39,3.107,-0.63,1.13,6.407,0.753,0.1
116,2,1.47695452248548,1.443,1.699,3.09,3.188,3.07,1.05,6.23,0.468,3.1
126,1.4,1.43100716994068,0.409,0.383,0.08,3.071,0.35,1.29,6.43,0.615,0.1
136,1.1,1.09785225462455,0.089,0.094,2.85,2.142,2.94,1.09,6.041,0.435,2.3
146,1,1.06057174938742,0.612,0.51,1.44,2.846,1.46,1.03,5.654,0.511,0.5
6,4,4.01567884741401,0.206,0.215,3.72,0.456,3.85,0.41,2.443,0.161,0.3
16,9.5,9.55806731027941,0.267,0.287,9.67,0.859,9.64,0.38,2.184,0.14,0.1
26,8.4,8.3954028200545,0.764,0.64,8.84,1.891,9,0.51,2.804,0.363,2.1
36,6.5,6.34139518458296,2.451,2.33,6.82,2.987,6.76,0.69,4.721,0.64,3.1
46,4.6,4.57467540917312,0.604,0.533,4.54,1.926,4.59,1.08,4.984,0.416,0.5
56,3.5,3.45774573750979,1.289,0.965,4.68,2.273,4.8,0.85,5.047,0.548,2.1
66,4.3,4.29987235943776,0.079,0.076,3.08,0.657,3.17,1.19,5.779,0.386,0.9
76,3,3.18119085305909,1.219,1.283,2.72,1.549,2.81,0.87,5.631,0.253,0.5
86,2,1.9824258370326,0.185,0.156,2.06,1.401,2.06,0.91,5.296,0.326,0.3
96,1.8,1.90357276592128,0.338,0.328,2.33,1.944,2.28,0.8,4.523,0.429,0.1
106,1.6,1.49432408699674,2.882,2.636,0.38,6.575,0.65,1.44,7.917,0.982,4.9
116,2,2.14722310876287,1.443,1.312,2.52,6.151,2.94,1.66,7.881,1.18,1.3
126,1.4,1.33198661606963,0.409,0.386,3.22,2.533,3.21,1.12,5.732,0.446,2.7
136,1.1,1.09087336102537,0.089,0.098,-0.44,1.082,-0.45,1.24,6.107,0.515,0.1
146,1,0.985757089337196,0.612,0.556,1.17,2.122,0.75,1.24,6.28,0.47,2.7
