"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,4.2209030427436,1.273,1.374,4.12,1.699,4.14,0.61,3.506,0.294,1.9
16,9.5,9.56723366389933,0.187,0.192,10.31,1.65,10.41,0.71,3.452,0.359,0.1
26,8.4,8.46787381434916,0.354,0.389,8.04,1.294,8.13,0.49,3.492,0.247,1.5
36,6.5,6.71719420626294,3.409,3.2,6.77,2.673,6.77,0.88,4.628,0.416,2.7
46,4.6,4.83445291692131,0.776,0.66,5.38,0.742,5.19,0.71,5.122,0.318,1.1
56,3.5,3.27893211420141,1.365,1.569,2.36,1.348,2.13,0.91,5.41,0.4,0.9
66,4.3,4.33527307648903,0.141,0.154,5.01,1.902,5.03,1.06,6.196,0.406,1.9
76,3,2.94761539540398,0.435,0.445,2.14,2.909,1.89,1.3,6.981,0.46,3.1
86,2,1.94513512713717,0.765,0.686,1.88,3.746,2,1.14,6.376,0.685,0.1
96,1.8,1.95733873968423,0.445,0.391,2.78,0.443,2.89,1,5.291,0.417,0.5
106,1.6,1.67090686937469,0.652,0.604,0.13,1.372,0.13,0.8,4.87,0.342,0.3
116,2,2.00251380629654,0.612,0.627,4.09,3.261,3.78,0.97,5.95,0.573,3.1
126,1.4,1.35609118294495,1.073,0.862,-0.89,1.429,-0.94,1.32,6.91,0.344,1.1
136,1.1,0.955671353421257,0.585,0.573,3.53,0.812,3.57,1.18,7.082,0.424,0.9
146,1,1.42687462302845,2.803,2.472,-0.86,2.597,-1.18,1.44,6.289,0.428,0.7
6,4,3.81389620561084,1.273,1.244,3.63,1.129,3.48,0.44,2.548,0.186,1.1
16,9.5,9.55803641707628,0.187,0.181,8.69,1.141,8.78,0.73,3.083,0.226,1.1
26,8.4,8.4245371322251,0.354,0.315,9.12,0.653,9.11,0.45,3.208,0.195,0.3
36,6.5,8.27864522028324,3.409,3.404,6.43,2.508,6.55,0.71,4.028,0.495,2.7
46,4.6,4.60638952434754,0.776,0.724,5.36,2.829,5.65,1.11,5.536,0.753,2.7
56,3.5,3.30449545953521,1.365,1.51,2.3,1.492,2.18,1.37,6.515,0.402,1.3
66,4.3,4.30849894714068,0.141,0.12,3.45,2.611,3.27,1.2,7.298,0.562,2.7
76,3,3.04283417071649,0.435,0.411,5.63,3.382,5.84,1.22,6.463,0.753,0.3
86,2,2.00728350346658,0.765,0.658,2.16,1.886,1.86,0.92,5.539,0.331,0.3
96,1.8,1.8150289126053,0.445,0.44,-0.14,1.297,0.02,0.87,5.377,0.398,0.9
106,1.6,1.67143913546304,0.652,0.586,1.57,0.469,1.54,1.15,5.39,0.367,0.9
116,2,2.01560329821813,0.612,0.566,2.36,3.319,2.38,1.39,6.529,0.631,3.5
126,1.4,1.28593840572731,1.073,1.23,1.33,1.655,1.55,1.41,6.871,0.365,0.1
136,1.1,1.16684699371189,0.585,0.632,0.82,2.578,0.81,1.14,5.868,0.53,0.1
146,1,0.743702875751273,2.803,3.065,1.66,3.656,1.47,1.36,6.659,0.644,3.5
6,4,3.8790234181856,1.273,1.148,3.7,1.222,3.46,0.64,2.82,0.197,1.1
16,9.5,9.54232541326558,0.187,0.19,10.55,1.039,10.67,0.74,3.176,0.208,1.1
26,8.4,8.35333562004411,0.354,0.293,7.45,1.377,7.4,0.59,3.177,0.25,0.3
36,6.5,5.00780854071937,3.409,2.823,6.7,4.136,6.76,1.08,4.987,0.6,4.3
46,4.6,4.52732150214373,0.776,0.73,4.29,2.146,4.11,1.11,6.571,0.421,1.9
56,3.5,3.02048236759421,1.365,1.291,3.9,3.545,4.06,1.1,5.966,0.692,0.7
66,4.3,4.33083811404687,0.141,0.145,5.45,1.022,5.21,0.8,5.531,0.408,1.3
76,3,2.91836005599875,0.435,0.503,2.29,1.758,2.18,0.9,5.52,0.316,1.7
86,2,2.01925242859718,0.765,0.767,2.03,2.471,2.13,1,5.185,0.477,0.5
96,1.8,1.8511140671959,0.445,0.562,0.54,3.669,0.35,1.46,5.928,0.551,3.9
106,1.6,1.66867552769621,0.652,0.693,2.68,3.479,2.55,0.99,6.226,0.536,0.1
116,2,1.89226502366211,0.612,0.692,2.13,2.859,2.01,0.93,5.793,0.419,2.9
126,1.4,1.07838809650077,1.073,1.17,-0.49,2.306,-0.54,1.09,5.911,0.603,0.5
136,1.1,1.08234920383354,0.585,0.566,2.42,4.777,2.64,1.62,7.303,1.02,4.5
146,1,0.923588110564327,2.803,2.557,-0.4,4.161,-0.42,1.49,7.755,0.783,0.3
6,4,3.78687080963609,1.273,1.194,4.45,0.486,4.45,0.51,2.914,0.18,0.1
16,9.5,9.5113808042524,0.187,0.235,9.92,1.078,10.07,0.4,3.094,0.197,0.9
26,8.4,8.33492360362193,0.354,0.389,8.43,1.449,8.4,0.44,3.022,0.306,0.1
36,6.5,6.96998541208001,3.409,3.359,6.69,3.949,6.48,0.81,4.776,0.702,3.9
46,4.6,4.91088665343497,0.776,0.509,3.68,1.967,3.71,1.33,6.668,0.486,1.9
56,3.5,3.36922350636704,1.365,1.441,4.7,2.277,4.54,1.44,6.922,0.452,1.7
66,4.3,4.27595684217837,0.141,0.135,3.11,3.543,3.05,1,6.812,0.753,0.1
76,3,2.9789265724448,0.435,0.404,3.14,1.084,2.87,0.87,5.375,0.389,0.7
86,2,1.88911553619496,0.765,0.743,2.5,2.501,2.67,0.89,5.758,0.398,2.3
96,1.8,1.79919815530442,0.445,0.433,0.52,1.435,0.78,1.07,6.835,0.464,1.3
106,1.6,1.46363667909485,0.652,0.684,3.31,2.008,2.99,1.31,6.441,0.385,0.5
116,2,2.02185889267107,0.612,0.592,1.96,1.085,1.9,1.03,6.382,0.442,1.1
126,1.4,1.22498699312151,1.073,0.961,1.4,1.666,1,1.17,6.434,0.478,1.7
136,1.1,1.03890224190361,0.585,0.506,-0.96,2.593,-0.67,0.97,6.182,0.629,0.3
146,1,1.49701819171571,2.803,2.224,1.38,3.665,1.42,1.41,6.736,0.691,3.7
