"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,3.89563803396787,1.329,1.448,4.38,1.802,4.35,0.5,2.733,0.255,1.9
16,9.5,9.64700019871766,3.205,2.988,8.78,2.318,8.89,0.74,3.993,0.422,2.3
26,8.4,8.33283769184666,0.295,0.342,9.3,3.664,8.88,1.14,5.98,0.733,4.1
36,6.5,6.98360645988911,4.492,4.677,5.51,3.113,5.93,1.34,8.033,0.638,2.7
46,4.6,4.60186504083524,1.856,1.703,5.51,0.475,5.29,1.54,8.422,0.626,1.3
56,3.5,3.64255939719646,1.769,2.121,2.39,3.14,2.64,1.62,8.496,0.546,2.9
66,4.3,4.29773348875853,0.292,0.295,5.68,0.612,5.44,1.94,9.646,0.501,0.3
76,3,2.92003973437144,0.279,0.237,1.21,2.136,1.31,1.58,9.062,0.558,1.1
86,2,1.96575411685323,0.351,0.43,1.7,1.313,1.59,1.6,8.705,0.469,0.3
96,1.8,1.66425451394975,0.872,0.845,1.95,1.365,2,1.59,8.722,0.524,0.9
106,1.6,1.65416458212425,0.482,0.47,3.13,3.593,3.05,1.15,8.057,0.52,0.1
116,2,2.01766060164991,0.408,0.388,2.65,5.428,2.31,1.4,9.229,1.167,4.9
126,1.4,1.23479582949282,0.517,0.604,0.38,4.484,0.28,2.02,9.385,0.748,0.1
136,1.1,1.20158182672518,0.497,0.569,0.85,1.168,0.99,1.29,8.242,0.623,1.3
146,1,0.990375741662056,0.665,0.632,1.16,3.427,1.42,2.09,8.784,0.738,2.9
6,4,4.49597964181063,1.329,1.413,3.98,2.434,3.99,0.68,2.884,0.448,2.5
16,9.5,9.31502239464122,3.205,2.881,10.21,2.416,10.15,0.79,4.464,0.415,2.3
26,8.4,8.42894513888142,0.295,0.311,8.33,1.073,8.43,0.81,4.838,0.342,0.3
36,6.5,5.94138890549759,4.492,4.148,5.85,4.759,5.69,1.58,6.751,0.847,4.7
46,4.6,5.13886970954344,1.856,1.692,2.88,3.782,2.86,1.27,7.449,0.714,0.5
56,3.5,3.43107138375121,1.769,1.752,4.96,4.654,4.94,1.33,7.463,0.606,4.7
66,4.3,4.26537655606074,0.292,0.306,4.52,3.322,4.55,1.95,8.532,0.653,0.5
76,3,3.04717747661099,0.279,0.233,2.9,1.388,2.8,1.27,7.724,0.49,0.9
86,2,1.96089333081508,0.351,0.386,0.67,2.556,0.57,1.44,8.267,0.651,2.9
96,1.8,1.49500616097633,0.872,0.997,3,5.182,3.59,1.54,9.659,0.972,4.7
106,1.6,1.56144422014546,0.482,0.483,1.04,3.714,1.32,2.02,10.594,0.722,0.3
116,2,2.082371047016,0.408,0.448,3.12,2.213,3.21,1.6,9.976,0.8,2.3
126,1.4,1.54965816668237,0.517,0.515,-0.02,4.649,0.38,2.11,9,0.727,0.3
136,1.1,0.988174927049951,0.497,0.531,3.31,1.027,3.24,1.08,8.091,0.586,0.5
146,1,0.938927394753273,0.665,0.616,0.02,0.892,-0.26,1.68,7.95,0.576,1.5
6,4,3.99671322752096,1.329,1.565,3.11,1.503,3.17,0.49,2.748,0.254,1.5
16,9.5,10.53535269358,3.205,3.008,11.53,2.827,11.58,0.79,4.056,0.447,2.9
26,8.4,8.40284710133792,0.295,0.335,6.09,1.17,6.2,1,5.34,0.392,1.1
36,6.5,6.95466415455743,4.492,4.186,6.88,3.06,6.49,0.95,5.949,0.633,3.1
46,4.6,4.60695343490901,1.856,1.945,3.37,4.737,3.58,1.54,8.302,0.826,4.7
56,3.5,3.98243939647597,1.769,1.994,5.01,2.595,4.98,1.83,9.12,0.515,0.1
66,4.3,4.40228662896828,0.292,0.375,4.6,3.616,5.1,1.37,8.169,0.75,0.3
76,3,3.08827385406514,0.279,0.288,4.31,3.604,4.58,1.35,8.18,0.506,3.3
86,2,1.98530108893427,0.351,0.364,0.85,3.068,0.79,1.32,7.964,0.602,0.1
96,1.8,1.95157823678504,0.872,0.863,2.05,5.829,1.96,1.82,9.436,1.183,4.7
106,1.6,1.61219861047284,0.482,0.374,2.96,6.341,3.11,1.82,9.274,1.051,0.5
116,2,2.07535130340261,0.408,0.449,0.19,5.25,-0.35,1.59,8.558,0.909,4.9
126,1.4,1.54428107263164,0.517,0.589,-0.12,4.455,-0.79,1.87,10.789,0.897,4.7
136,1.1,1.17523911945943,0.497,0.453,0.04,5.282,-0.46,2.07,10.67,0.926,0.5
146,1,1.00566471702469,0.665,0.772,5.27,2.231,5.33,1.62,9.008,0.675,0.5
6,4,4.38040515446672,1.329,1.789,3.82,1.635,3.8,0.66,3.244,0.287,1.7
16,9.5,9.96296253834125,3.205,3.244,10.89,3.99,10.53,1.07,5.147,0.557,4.3
26,8.4,8.34438705226826,0.295,0.372,6.04,0.224,6.29,1.37,6.653,0.526,0.9
36,6.5,5.46714849092216,4.492,4.217,7.15,3.406,6.77,1.44,7.56,0.523,3.3
46,4.6,4.9577145348533,1.856,2.304,5.99,3.815,6.24,1.61,9.256,0.858,4.3
56,3.5,3.4539170061232,1.769,1.838,3.41,5.465,3.29,1.51,7.896,0.957,0.3
66,4.3,4.32130691039043,0.292,0.317,3.86,5.09,4.48,1.12,7.95,0.984,4.9
76,3,3.05820294208618,0.279,0.254,0.68,1.739,0.85,1.8,9.337,0.637,1.1
86,2,2.11228358784298,0.351,0.346,4.27,5.579,4.72,1.83,10.932,1.074,4.9
96,1.8,1.65089341041277,0.872,0.841,2.21,6.83,2.22,1.72,9.746,1.175,0.9
106,1.6,1.58258286486417,0.482,0.476,1.57,3.834,0.9,1.74,8.324,0.867,3.5
116,2,2.05755265691821,0.408,0.343,1.36,3.189,1.37,1.41,8.399,0.639,0.7
126,1.4,1.4190885069577,0.517,0.539,2.08,4.963,1.88,1.5,8.892,0.978,4.7
136,1.1,1.20689331505877,0.497,0.497,1.39,4.261,0.97,1.91,9.518,0.932,0.7
146,1,0.944605850092458,0.665,0.697,0.85,0.752,0.64,1.87,8.3,0.588,1.1
6,4,3.78112614503064,1.329,1.383,3.78,0.585,3.87,0.49,2.799,0.166,0.3
16,9.5,9.18737227295823,3.205,2.69,10.51,2.607,10.79,0.61,3.852,0.534,2.5
26,8.4,8.39118092143166,0.295,0.243,7.53,2.023,7.35,0.89,5.159,0.384,1.9
36,6.5,8.00223452702035,4.492,3.934,5.33,5.22,4.94,1.42,7.35,0.941,4.9
46,4.6,4.93882990381233,1.856,2.167,7.08,0.804,7.27,1.57,8.72,0.615,1.3
56,3.5,3.01414209027895,1.769,1.599,1.9,2.321,2.09,1.62,8.704,0.619,0.3
66,4.3,4.34541546527056,0.292,0.317,7.5,2.268,7.52,1.45,8.227,0.485,0.5
76,3,2.95519313808542,0.279,0.296,1.02,1.977,1.01,1.57,7.795,0.706,0.3
86,2,1.9959388955361,0.351,0.35,0.06,3.251,0.45,1.18,7.886,0.513,2.9
96,1.8,1.70209423466853,0.872,1.11,3.38,4.181,3.54,1.83,9.796,0.848,3.9
106,1.6,1.47629059830668,0.482,0.384,0.03,5.399,0.39,1.67,9.268,0.982,1.7
116,2,2.03359065848068,0.408,0.43,2.85,0.137,3.23,1.2,7.245,0.333,1.3
126,1.4,1.28685703718547,0.517,0.495,2.99,3.337,2.44,1.76,8.426,0.541,3.1
136,1.1,1.12907424519949,0.497,0.458,-0.72,1.38,-0.95,1.37,8.636,0.387,1.3
146,1,0.975064457041366,0.665,0.849,3.53,4.374,2.93,1.71,9.953,1.086,4.3
6,4,3.42092420808014,1.329,1.362,3.99,1.554,3.99,0.65,3.127,0.284,1.5
16,9.5,10.3221506892015,3.205,3.15,9.66,3.134,9.44,1.15,4.678,0.559,3.3
26,8.4,8.42416560707261,0.295,0.264,7.52,1.735,7.27,1.01,5.33,0.451,0.5
36,6.5,6.59689703760708,4.492,4.22,6.22,4.069,6.39,1.08,6.348,0.75,4.3
46,4.6,4.94144539291299,1.856,2.213,6.42,2.678,6.75,2.02,8.283,0.64,2.9
56,3.5,4.27433894115192,1.769,2.331,3.05,4.093,3.01,1.59,7.86,0.807,0.1
66,4.3,4.22335148306844,0.292,0.307,3.75,4.395,4.08,1.43,7.818,0.693,4.3
76,3,3.04021036782469,0.279,0.323,2.37,0.269,1.93,1.88,8.98,0.618,0.5
86,2,2.13130566316482,0.351,0.394,2.38,2.45,2.6,1.33,8.238,0.474,0.3
96,1.8,1.94818508025058,0.872,0.794,1.53,3.628,1.09,1.13,7.397,0.67,0.3
106,1.6,1.49606674774439,0.482,0.587,2.09,3.306,2.08,1.23,6.655,0.516,3.5
116,2,2.04299074025204,0.408,0.395,0.36,6.019,0.65,1.54,10.033,0.937,4.9
126,1.4,1.40027593301392,0.517,0.463,2.97,5.319,3.41,1.79,9.887,1.181,0.5
136,1.1,1.20493354448715,0.497,0.346,0.71,2.297,0.54,1.83,9.069,0.664,2.5
146,1,0.815358526747464,0.665,0.622,1.45,3.951,1.27,1.64,8.559,0.605,0.3
6,4,4.36923974621364,1.329,1.443,4.05,1.102,4.22,0.43,2.631,0.207,1.1
16,9.5,9.18624894535201,3.205,2.875,10.25,3.792,10.14,0.92,4.715,0.641,3.7
26,8.4,8.35670330657483,0.295,0.272,7.57,1.871,7.49,1.23,5.793,0.384,0.9
36,6.5,7.58085927639715,4.492,4.798,6.3,2.676,5.99,1.06,6.273,0.544,2.9
46,4.6,4.60701829521912,1.856,1.941,4.13,2.917,4.33,1.53,7.347,0.634,2.7
56,3.5,3.77938382474852,1.769,1.769,5.82,2.127,5.7,1.54,8.041,0.564,2.7
66,4.3,4.3571496981616,0.292,0.272,1.54,3.404,1.28,1.85,8.584,0.633,3.5
76,3,2.98394854222809,0.279,0.3,5.61,5.696,5.25,1.52,7.483,0.676,1.3
86,2,1.94148480913901,0.351,0.291,0.23,0.894,0.22,0.9,5.293,0.26,0.3
96,1.8,1.75593708272019,0.872,0.801,2.19,4.705,2.58,1.3,7.282,0.939,4.9
106,1.6,1.53287128614001,0.482,0.458,1.48,1.74,1.86,1.18,8.798,0.651,2.3
116,2,2.01255198538816,0.408,0.378,2.26,3.032,2.21,1.31,8.071,0.65,0.9
126,1.4,1.54446466777925,0.517,0.489,1.87,2.074,1.81,1.41,8.101,0.613,2.5
136,1.1,1.04457505562642,0.497,0.482,2.73,0.461,3.11,1.55,8.302,0.679,0.3
146,1,0.704651224131119,0.665,0.661,-0.72,3.028,-0.3,1.39,8.851,0.635,2.9
6,4,3.84062915307782,1.329,1.549,3.44,0.923,3.53,0.62,3.089,0.247,1.1
16,9.5,9.73007726041513,3.205,2.917,10.91,2.854,10.92,0.67,4.183,0.458,2.9
26,8.4,8.32922850843961,0.295,0.316,6.27,2.648,6.13,0.84,4.518,0.505,0.5
36,6.5,5.91994609924629,4.492,4.1,8.44,5.03,8.56,1.18,6.241,0.987,4.9
46,4.6,5.19510279193744,1.856,2.212,3.19,2.343,3.61,1.21,7.58,0.481,0.1
56,3.5,3.52108052626718,1.769,1.634,4.89,3.754,4.61,1.14,7.986,0.676,3.9
66,4.3,4.31370781049761,0.292,0.271,2.25,2.705,2.64,1.73,8.385,0.51,0.1
76,3,2.97898559885892,0.279,0.252,2.55,1.099,2.63,1.46,7.83,0.471,1.3
86,2,1.9875215396299,0.351,0.368,2.5,1.858,2.17,1.56,8.521,0.745,2.1
96,1.8,1.64435742978401,0.872,0.607,3.3,0.338,3.23,1.48,8.625,0.499,0.3
