"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,4.06275102840033,1.653,1.653,3.81,1.804,3.59,0.56,2.999,0.27,1.9
16,9.5,9.53587501996625,0.217,0.168,9.73,1.399,9.81,0.68,3.188,0.301,0.1
26,8.4,6.07753916265612,18.8,20.586,15.01,12.673,15.79,2.69,13.07,1.814,4.9
36,6.5,5.9146051300658,2.502,2.265,5.64,6.02,4.03,4.17,18.552,1.407,3.5
46,4.6,4.61680880057748,2.53,2.311,-1.3,4.131,0.37,3.95,19.052,1.798,4.5
56,3.5,3.62794335726415,3.487,3.768,5.49,10.196,6.18,3.17,18.118,1.674,2.5
66,4.3,4.34431275983244,1.449,1.65,13.22,5.381,13.56,2.31,16.209,1.611,4.9
76,3,2.8826685061655,0.578,0.602,-7.63,8.683,-6.67,3.45,18.882,2.062,4.9
86,2,1.91586618292823,0.778,0.884,5.06,2.428,4.44,4.01,20.008,1.567,1.7
96,1.8,1.65677587182515,0.81,0.8,-1.93,8.446,-1.49,4.21,19.44,1.812,0.3
106,1.6,1.71622426380821,1.204,1.181,14.21,6.547,14.07,2.85,17.911,1.775,4.9
116,2,1.89668548450772,0.48,0.408,-5.77,2.349,-6.33,3.36,19.347,1.685,1.3
126,1.4,1.31534489788287,0.351,0.328,5.97,7.538,5.98,4.54,21.248,1.307,4.9
136,1.1,1.06833993671046,0.092,0.069,3.44,3.575,3.31,4.98,23.012,1.376,2.5
146,1,0.876309476389652,0.63,0.447,-3.33,10.619,-3.15,3.91,19.435,1.236,0.1
6,4,4.01157380295452,1.653,1.284,4.61,2.158,4.64,0.49,3.093,0.337,2.1
16,9.5,9.57042828942296,0.217,0.281,9.64,1.768,9.66,0.51,3.312,0.397,0.1
26,8.4,10.4327927562188,18.8,18.505,17.86,13.173,18.52,2.45,14.109,1.936,4.9
36,6.5,6.06159562488664,2.502,2.841,0.8,2.768,0.87,3.17,19.324,1.572,0.7
46,4.6,5.1671099702057,2.53,2.269,3.85,1.245,3.4,3.56,17.288,0.966,0.1
56,3.5,3.80967391435968,3.487,4.267,2.13,8.604,2.66,3.27,16.882,1.772,0.1
66,4.3,4.11351215595754,1.449,1.466,6.87,11.728,6.73,2.95,18.112,2.485,4.7
76,3,3.01607993238786,0.578,0.581,2.75,10.408,3.59,3.81,19.085,1.601,0.9
86,2,2.12107620418128,0.778,0.776,5.88,1.567,5.42,2.91,15.886,0.942,2.7
96,1.8,1.80469210443174,0.81,0.846,-0.59,11.166,-0.92,3.89,18.629,2.186,3.7
106,1.6,1.58694695531333,1.204,1.079,13.27,7.905,13.02,4.09,20.956,1.374,0.9
116,2,1.8372451454323,0.48,0.477,-6.26,9.376,-6.8,3.09,16.646,1.975,0.1
126,1.4,1.45620102988399,0.351,0.37,-7.25,9.086,-7.95,3.29,16.873,2.056,4.7
136,1.1,1.08989673256902,0.092,0.107,11.37,7.919,11.85,4.33,20.585,1.588,4.9
146,1,1.03981582686675,0.63,0.7,-2.28,7.788,-1.98,3.25,20.666,1.502,0.3
6,4,3.93679848671391,1.653,1.429,3.58,1.066,3.69,0.44,2.525,0.22,1.1
16,9.5,9.49473179264949,0.217,0.193,10.23,1.825,10.32,0.59,3.161,0.335,1.7
26,8.4,9.32117777410776,18.8,14.676,10.51,11.408,10.93,2.1,12.004,1.463,4.9
36,6.5,6.81060472034904,2.502,2.532,15.71,5.394,16.8,2.82,16.854,1.261,4.9
46,4.6,5.33954456907774,2.53,2.714,-7.83,4.138,-7.6,3.11,18.338,0.949,2.9
56,3.5,3.99125326370672,3.487,3.282,8.72,6.604,9.04,3.31,17.631,1.129,1.1
66,4.3,4.41830852458796,1.449,1.634,-0.17,8.526,0.03,2.9,18.267,1.693,4.7
76,3,3.04852332988273,0.578,0.596,5.12,4.632,5.74,4.89,20.687,1.71,0.5
86,2,1.82372255187365,0.778,0.743,5.85,8.864,6,3.61,20.976,1.754,4.9
96,1.8,1.876701237108,0.81,0.697,-1.96,10.362,-2.58,3.46,21.158,1.414,1.5
106,1.6,1.6347179247116,1.204,1.188,8.01,6.089,9.07,3.2,15.67,1.215,1.1
116,2,1.9497140333779,0.48,0.422,6.32,9.91,6.09,3.65,18.743,1.954,4.5
126,1.4,1.42159711519317,0.351,0.458,-0.24,7.487,-0.4,3.89,19.808,1.305,0.1
136,1.1,1.09643747279593,0.092,0.079,-9.8,9.234,-9.53,5.19,20.421,1.048,4.5
146,1,1.08209362476255,0.63,0.626,-0.51,9.716,-0.36,4.86,20.18,1.749,1.3
6,4,3.51566855369616,1.653,1.574,5.15,1.499,5.16,0.53,2.819,0.253,1.5
16,9.5,9.48910432617926,0.217,0.201,9.51,1.215,9.71,0.57,3.48,0.229,1.3
26,8.4,8.36276855154778,18.8,16.899,15.11,11.818,15.46,2.09,12.171,1.492,4.9
36,6.5,6.42889056914976,2.502,2.418,-0.42,2.605,0.24,2.6,16.94,0.978,1.3
46,4.6,4.72925912871399,2.53,2.322,14.36,3.916,14.55,2.62,16.67,1.162,1.7
56,3.5,3.85883435083604,3.487,4.313,-3.25,4.129,-2.68,2.54,16.122,0.793,3.5
66,4.3,4.30198149478618,1.449,1.234,7.27,6.515,7.55,3.24,17.638,1.382,4.9
76,3,2.93408604069787,0.578,0.529,2.34,8.226,1.87,3.51,16.883,1.619,0.5
86,2,2.01819241306413,0.778,1.006,4.2,12.722,3.35,3.42,19.663,2.482,4.7
96,1.8,1.96527399775505,0.81,0.811,-3.46,8.481,-4.61,4.94,21.732,1.839,0.5
106,1.6,1.31256881309864,1.204,1.281,-2.64,5.68,-1.98,3.94,19.568,1.155,0.5
116,2,1.93686434058172,0.48,0.582,13.44,7.509,13.88,3.88,19.154,1.585,4.9
126,1.4,1.41274691841762,0.351,0.355,-7.08,9.919,-6.1,3.98,20.152,1.999,1.5
136,1.1,1.11846285903573,0.092,0.12,9.36,3.063,10.03,2.22,15.856,0.984,2.1
146,1,1.13288217484648,0.63,0.748,-6.4,11.051,-7.17,3.29,18.827,1.878,4.9
6,4,3.99381117468884,1.653,1.568,2.86,1.693,2.9,0.66,3.284,0.37,1.7
16,9.5,9.47106619740991,0.217,0.228,9.21,1.651,9.15,0.53,3.4,0.286,0.1
26,8.4,7.33895327991136,18.8,17.106,18.05,17.325,18.9,2.94,17.656,2.165,4.5
36,6.5,6.61914655525105,2.502,2.502,6.12,12.123,6.3,5.03,21.726,2.292,0.9
46,4.6,4.42776394149337,2.53,2.449,-8.49,3.824,-8.32,3.56,16.886,0.8,1.9
56,3.5,2.75623246891691,3.487,3.43,14.54,4.442,14.6,3.37,16.655,1.28,4.1
66,4.3,4.53052086516065,1.449,1.547,3.81,6.489,2.93,3.56,19.294,1.38,4.9
76,3,2.89021480180486,0.578,0.621,-0.86,2.948,-0.85,3.27,20.31,1.474,1.1
86,2,2.1743229827547,0.778,0.72,-0.92,6.949,-0.06,3.95,19.167,1.254,0.9
96,1.8,1.73292432261379,0.81,0.803,9.08,8.003,9.66,3.03,19.201,1.438,4.7
106,1.6,1.4053077041703,1.204,1.311,-0.44,5.056,-0.97,3.19,20.847,1.373,1.7
116,2,2.0150589598507,0.48,0.394,4.19,9.168,4.83,3.06,18.133,1.737,0.1
126,1.4,1.39554619695072,0.351,0.342,1.13,12.864,1.67,2.82,19.791,2.514,4.7
136,1.1,1.10336003410852,0.092,0.078,4.83,7.195,5.82,4.49,22.673,1.55,1.1
146,1,1.04153281304319,0.63,0.521,-2.61,3.56,-2.83,4.26,21.816,1.705,1.7
6,4,3.94373880354943,1.653,1.459,3.83,2.577,3.68,0.67,3.462,0.366,2.7
16,9.5,9.5593783210598,0.217,0.233,9.89,1.661,9.88,0.43,4.078,0.354,0.1
26,8.4,6.17286007310136,18.8,18.878,19.84,10.009,19.74,1.44,10.58,1.597,4.9
36,6.5,6.48712613939935,2.502,2.837,1.83,8.295,1.62,2.82,16.919,1.923,4.9
46,4.6,4.79041943797884,2.53,3.036,-0.72,7.32,-1.08,3.28,19.882,1.611,4.9
56,3.5,2.53351591419365,3.487,3.793,15.54,6.703,14.78,4.76,21.508,1.422,4.1
66,4.3,4.40897973074271,1.449,1.28,-2.23,9.067,-2.6,4.2,20.184,1.57,0.5
76,3,2.99365708290738,0.578,0.657,9.19,4.246,10.04,3.18,20.841,1.683,3.7
86,2,2.00312508692396,0.778,0.766,-5.31,8.756,-5.14,4.46,21.814,2.073,4.9
96,1.8,1.8396040479824,0.81,0.782,-1.29,12.805,-1.27,3.28,20.278,2.147,0.7
106,1.6,1.79769256815202,1.204,1.26,5.5,9.708,5.67,3,17.691,1.991,4.9
116,2,1.97327056803556,0.48,0.495,-0.09,0.911,-0.39,3.93,20.374,1.446,0.9
126,1.4,1.37900686102798,0.351,0.357,-2.54,8.638,-2.24,3.15,19.011,1.81,0.7
136,1.1,1.10378141815732,0.092,0.086,10.71,1.211,10.49,2.84,15.988,0.884,1.1
146,1,1.15616963698126,0.63,0.653,-8.05,4.222,-8,3.18,16.233,0.849,1.3
6,4,4.12977610701206,1.653,1.389,3.56,1.654,3.52,0.49,3.205,0.348,1.5
16,9.5,9.54000266501375,0.217,0.186,9.5,1.766,9.55,0.6,3.285,0.291,0.3
26,8.4,4.26778954994671,18.8,18.283,11.45,11.184,11.42,2.11,11.401,1.432,4.9
36,6.5,6.03735539873316,2.502,2.111,12.44,6.587,12.14,3.18,16.917,1.373,4.3
46,4.6,4.4675737781349,2.53,2.774,-4.33,3.872,-3.78,2.81,18.293,0.955,2.1
56,3.5,3.12538260290066,3.487,3.851,8.7,4.602,8.36,3.42,18.333,1.343,4.7
66,4.3,4.22547269697906,1.449,1.297,5.96,6.411,5.93,2.67,19.195,1.12,3.3
76,3,2.78379835759842,0.578,0.503,8.52,7.455,8.01,3.75,21.702,1.691,4.9
86,2,1.91644952943369,0.778,0.77,-7.63,7.137,-8,4.04,21.937,1.506,0.1
96,1.8,1.64573557240153,0.81,0.892,1.62,10.265,1.52,2.64,18.988,1.604,0.5
106,1.6,1.34971253091002,1.204,1.362,-0.44,3.857,-0.03,3.56,15.494,1.163,1.3
116,2,1.89652810036149,0.48,0.48,14.5,8.059,14.88,3.8,16.684,1.648,4.7
126,1.4,1.40409893991279,0.351,0.316,-5.68,3.092,-5.98,3.65,17.602,1.32,4.5
136,1.1,1.10024086591654,0.092,0.096,-0.42,4.935,-0.15,3.96,18.13,1.269,1.3
146,1,0.986744823637714,0.63,0.737,11.64,6.022,10.85,3.79,18.562,1.587,4.9
6,4,3.92396991703984,1.653,1.492,5.43,1.66,5.43,0.67,3.293,0.259,1.7
16,9.5,9.50713775234139,0.217,0.193,8.49,1.415,8.53,0.84,4.033,0.324,1.3
26,8.4,2.66324104052593,18.8,13.852,12.94,10.61,12.77,1.8,11.491,1.593,4.9
36,6.5,6.81593645031864,2.502,2.308,12.81,8.881,13.04,3.87,17.87,1.424,4.9
46,4.6,4.34345610182303,2.53,2.021,-5.13,11.481,-5.25,3.39,16.19,1.933,0.5
56,3.5,2.90941681834488,3.487,4.332,8.68,8.366,8.91,2.91,14.088,1.564,4.9
66,4.3,4.2797776623172,1.449,1.438,2.73,11.332,2,3.82,20.192,2.044,4.5
76,3,2.93853898435241,0.578,0.605,4.91,8.457,5.33,5.19,22.422,2.044,0.7
86,2,2.05360611493702,0.778,0.824,-0.7,5.065,-1.74,3.57,19.431,1.023,2.5
96,1.8,1.73429971082122,0.81,0.83,-0.05,10.166,0.26,3.85,18.186,2.17,0.3
106,1.6,1.47875257277736,1.204,1.157,13.03,7.354,12.9,3.01,17.371,1.22,4.9
116,2,1.9745896717414,0.48,0.432,-7.19,3.215,-8.01,3.38,18.409,1.4,0.7
126,1.4,1.31919656530582,0.351,0.328,7.32,8.942,7.73,4.61,19.517,1.454,4.9
136,1.1,1.08384345341611,0.092,0.085,-6.25,8.309,-4.83,3.74,20.997,1.961,1.9
146,1,0.769017448585904,0.63,0.55,12.09,5.856,13.02,3.96,20.004,1.569,4.7
6,4,4.1083478514726,1.653,1.982,4.34,2.172,4.38,0.66,3.272,0.334,2.1
16,9.5,9.48774507642301,0.217,0.164,9.2,1.561,9.3,0.56,3.597,0.399,0.1
26,8.4,6.04734032875429,18.8,16.191,10.52,14.089,10.63,3.02,14.02,1.875,4.5
36,6.5,6.88438034807059,2.502,2.012,9.99,7.071,9.71,3.68,17.925,1.244,0.3
46,4.6,4.48095557707726,2.53,2.049,6.07,6.676,5.69,3.01,16.051,1.274,2.3
56,3.5,2.41653706298644,3.487,3.027,0,3.928,-0.76,2.97,15.2,1.075,3.9
66,4.3,4.15882055918136,1.449,1.634,3.98,4.283,4.18,2.98,16.11,1.175,4.5
76,3,3.14150571945916,0.578,0.594,8.89,4.16,8.14,3.23,17.224,1.108,3.9
86,2,2.04512183273028,0.778,0.845,13.02,4.092,12.86,3.93,18.262,0.911,4.7
96,1.8,1.806662582822,0.81,0.773,-13.39,10.413,-13.42,3.83,21.068,1.947,4.3
106,1.6,1.4989505621067,1.204,1.405,4.67,10.783,5.61,3.62,21.451,2.087,0.9
116,2,1.92578747346062,0.48,0.483,6.02,5.04,6.14,3.18,17.936,1.345,4.7
126,1.4,1.4445352458976,0.351,0.312,-2.94,2.296,-1.6,4.54,19.417,1.353,3.9
136,1.1,1.08234053691541,0.092,0.097,-0.59,4.657,-0.56,3.94,18.136,1.213,0.7
146,1,1.03763076170379,0.63,0.6,5.05,6.34,4.86,2.54,17.254,1.311,0.1
6,4,3.94605311726447,1.653,1.604,2.48,1.859,2.31,0.59,2.836,0.358,1.9
16,9.5,9.52808559359253,0.217,0.191,10.06,1.003,10.13,0.69,3.26,0.186,0.1
26,8.4,5.4019577034892,18.8,15.35,15.62,14.884,16.48,3.01,15.415,1.575,4.9
36,6.5,6.61691228539376,2.502,3.059,8.43,9.481,8.35,3.38,19.061,1.659,0.7
46,4.6,5.8525097494004,2.53,2.441,2.17,9.111,2.44,2.53,19.298,1.736,4.5
