"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,4.03586542650067,0.281,0.275,4.19,0.53,4.31,0.36,2.618,0.191,0.5
16,9.5,8.6910024111592,1.934,1.789,9.02,1.087,9.03,0.59,2.935,0.278,0.9
26,8.4,8.39564028419012,0.203,0.2,8.96,1.825,9.08,0.75,3.62,0.235,1.9
36,6.5,7.03621245994396,1.808,1.738,6.65,0.886,6.53,0.6,3.935,0.243,0.7
46,4.6,4.43599159742274,1.397,1.262,5.51,1.35,5.43,0.96,4.579,0.252,1.3
56,3.5,3.48105381295166,2.338,2.594,3.56,1.198,3.48,0.83,4.792,0.318,0.9
66,4.3,4.23559303832306,0.664,0.689,2.37,2.534,2.44,1,5.282,0.483,2.5
76,3,2.89767427757204,0.338,0.365,4.18,2.42,4.05,1.34,6.738,0.379,2.3
86,2,1.99150871251403,0.435,0.353,2.64,2.511,2.92,1.28,6.693,0.588,0.1
96,1.8,1.82050817158786,0.674,0.757,2.26,0.958,2.14,1.29,6.172,0.49,1.1
106,1.6,1.64454133190463,0.253,0.231,0.35,2.613,0.54,0.94,5.515,0.438,0.1
116,2,1.91451735230402,0.258,0.277,0.99,2.143,0.76,1.12,5.284,0.484,2.1
126,1.4,1.46088897532614,0.524,0.55,2.06,1.626,1.97,0.99,5.978,0.293,1.3
136,1.1,1.09195742743984,0.174,0.196,1.56,1.874,1.41,1.05,5.725,0.472,0.3
146,1,0.886678431100111,1.261,1.358,1.69,0.621,1.57,0.92,5.657,0.445,0.3
6,4,4.04967362695745,0.281,0.326,4.78,1.241,4.7,0.51,2.741,0.176,1.1
16,9.5,9.06637402584713,1.934,2.3,9.42,1.705,9.48,0.67,3.43,0.309,1.7
26,8.4,8.38551759609837,0.203,0.14,7.91,1.203,7.63,0.75,3.705,0.283,0.1
36,6.5,6.74224244205978,1.808,1.881,6.4,1.453,6.24,0.71,3.696,0.258,1.5
46,4.6,4.91865471610319,1.397,1.445,5.06,0.624,5.18,0.72,4.091,0.204,0.7
56,3.5,2.78451456757199,2.338,2.001,3.07,2.442,3.31,0.85,4.844,0.413,2.3
66,4.3,4.26735733467575,0.664,0.593,4.52,3.685,4.44,0.95,6.342,0.527,3.7
76,3,3.02524213402095,0.338,0.326,3.61,3.341,3.66,1.11,6.454,0.619,0.3
86,2,1.99754261001935,0.435,0.499,1.47,3.09,1.07,1.18,6.576,0.619,3.3
96,1.8,1.840961354324,0.674,0.733,1.4,3.363,1.01,0.9,6.335,0.713,0.5
