"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,4.00972985750567,0.396,0.366,3.91,1.491,4,0.43,2.943,0.336,0.1
16,9.5,9.29693793408302,1.118,1.084,10.42,1.246,10.38,0.54,2.723,0.259,1.1
26,8.4,8.52801666317993,2.252,2.757,6.15,1.327,6.09,0.55,3.321,0.247,1.1
36,6.5,6.48870471796735,0.789,0.74,8.34,2.218,8.48,0.73,4.064,0.417,2.3
46,4.6,4.39120382985456,2.791,2.738,4.53,2.417,4.49,1.17,5.279,0.507,2.5
56,3.5,-1.75007316107668,16.69,16.5,6.01,11.174,6.24,2.42,12.117,1.788,4.9
66,4.3,4.35127263486708,0.241,0.218,4.65,0.767,4.89,3.07,17.496,1.169,1.5
76,3,2.83994654707841,0.877,0.793,2.91,2.337,3.25,2.86,16.817,0.868,0.3
86,2,2.05456495841216,0.592,0.502,3.25,6.52,2.22,2.69,14.733,1.389,1.1
96,1.8,1.86663529298414,0.48,0.375,2.86,10.319,1.89,3.65,17.253,2.1,4.5
106,1.6,1.50506909140826,0.267,0.282,-0.38,10.153,-1.24,3.41,17.333,1.872,0.9
116,2,1.95653015383678,0.291,0.268,0.47,10.16,-0.13,2.95,17.005,1.717,4.3
126,1.4,1.37027473307711,0.279,0.259,7.94,5.773,7.89,2,18.332,1.278,1.5
136,1.1,0.890106069496017,0.686,0.635,2.6,7.358,2.67,2.95,16.862,1.725,0.7
146,1,1.0436345166866,0.354,0.407,1.51,3.22,0.68,2.92,14.936,1.378,4.7
6,4,3.89617691641894,0.396,0.405,4.52,0.705,4.48,0.47,2.566,0.2,0.5
16,9.5,9.79965647862478,1.118,0.916,9.17,0.669,9.24,0.59,2.672,0.196,0.7
26,8.4,8.06679079726193,2.252,2.002,7.62,2.239,7.43,0.75,3.632,0.45,2.1
36,6.5,6.61991859213659,0.789,0.681,7.74,1.679,7.55,0.65,3.9,0.367,0.1
46,4.6,5.38613539521973,2.791,2.86,4.76,2.84,4.7,0.96,4.64,0.519,2.9
56,3.5,4.75686321863964,16.69,16.336,7.85,12.204,7.92,2.61,13.176,1.852,4.9
66,4.3,4.31933569987019,0.241,0.277,4.96,5.925,5.21,3.26,16.553,1.043,0.3
76,3,2.88505235769064,0.877,0.914,2.44,6.071,2.77,3.16,16.7,1.167,4.1
86,2,1.94359629528633,0.592,0.463,5.14,3.436,5.22,2.43,17.741,1.38,0.7
96,1.8,1.6695748334712,0.48,0.443,-8.67,6.37,-9.7,3.28,17.989,1.36,4.7
106,1.6,1.55864671037468,0.267,0.233,4.56,7.47,5.33,3.16,18.402,1.758,0.1
116,2,2.00164187898232,0.291,0.246,8.4,2.213,7.96,2.59,16.446,1.283,1.7
126,1.4,1.45674098145171,0.279,0.277,1.2,3.673,1.76,3.25,15.99,0.867,1.3
136,1.1,1.27188176625888,0.686,0.695,-8.35,11.516,-7.51,3.22,19.583,2.283,4.5
