"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,4.08753117453752,1.182,1.356,3.37,1.656,3.26,0.67,2.7,0.281,1.5
16,9.5,9.60987410465552,2.776,2.594,10.4,1.75,10.51,0.7,3.751,0.302,1.7
26,8.4,8.37657776071715,0.298,0.301,7.27,2.073,7.22,0.91,4.655,0.407,1.9
36,6.5,4.75004037914247,7.727,7.058,8.87,6.065,8.75,1.79,7.533,1.058,4.9
46,4.6,4.87400835379208,1.689,1.78,2.94,2.751,2.58,2.19,10.588,0.624,1.7
56,3.5,4.22742317190936,4.608,4.641,7.79,6.694,7.4,2.02,12.67,1.236,4.7
66,4.3,4.30292807376788,0.686,0.716,0.97,3.117,1.09,2.4,14.096,1.034,2.7
76,3,2.12706818239653,2.803,3.021,3.21,8.217,3.39,2.01,12.581,1.53,2.9
86,2,2.3731338788856,1.755,1.666,2.47,5.024,2.45,2.05,10.899,1.025,4.9
96,1.8,1.7847497289528,0.416,0.307,0.6,5.738,0.28,1.89,12.983,0.9,4.9
106,1.6,1.52964640560776,2.572,2.506,1.46,5.51,1.75,3.21,15.679,1.3,4.5
116,2,1.89590807503276,1.293,1.33,2.6,7.293,2.73,2.85,13.754,1.262,1.5
126,1.4,1.48523078958954,0.595,0.623,1.8,3.894,1.71,2.75,11.799,1.063,0.5
136,1.1,1.14102746918769,0.303,0.232,4.49,1.333,4.64,2.2,11.304,0.739,0.5
146,1,0.970522468631368,0.18,0.158,-2.72,2.904,-2.6,1.8,11.303,0.838,0.5
6,4,3.60535302310982,1.182,1.063,4.81,1.544,4.83,0.38,2.238,0.277,1.7
16,9.5,9.43555753763925,2.776,2.921,8.85,2.213,8.72,0.54,3.402,0.364,2.3
26,8.4,8.29917194011652,0.298,0.304,8.65,1.659,8.66,0.92,4.436,0.384,1.7
36,6.5,9.51924556822608,7.727,9.344,7.36,8.414,7.28,1.72,9.723,1.31,4.9
46,4.6,4.40425762994608,1.689,2.113,5.29,4.579,5.6,2.64,12.045,0.611,0.3
56,3.5,2.69256140962562,4.608,5.477,5.14,4.496,5.42,2.28,11.611,0.891,4.7
66,4.3,4.1026140228603,0.686,0.574,1.65,4.384,1.42,2.3,12.185,0.814,0.7
76,3,2.7561484196731,2.803,2.649,2.76,3.15,3.01,1.89,10.56,0.81,0.3
86,2,2.19431854695343,1.755,1.63,0.36,10.348,-0.65,2.63,15.333,1.965,4.9
96,1.8,1.72553145273699,0.416,0.407,6.75,7.716,6.67,2.84,15.633,1.502,0.5
106,1.6,2.00751632401594,2.572,2.562,4.48,2.363,4.75,2.29,14.293,0.879,3.5
116,2,1.9877742910952,1.293,1.115,-2.25,6.375,-2.23,2.91,12.865,1.28,0.1
