"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,4.64354670203444,3.355,2.967,3.53,4.394,3.37,0.72,4.87,0.677,4.5
16,9.5,9.70260544736687,4.321,4.402,8.95,6.354,8.67,2.04,9.02,1.403,4.9
26,8.4,8.26577100591216,0.38,0.313,8.17,6.542,8.88,1.63,9.054,1.005,1.9
36,6.5,6.52707553666135,2.845,2.409,5.85,5.665,5.78,2.02,8.524,0.907,4.9
46,4.6,3.79873027989046,2.482,2.664,4.82,4.274,4.7,1.68,8.902,0.932,0.9
56,3.5,3.07926464878529,9.693,10.926,5.85,7.163,6.22,2.97,11.054,1.324,4.9
66,4.3,4.26205623363591,0.131,0.142,4.7,5.633,4.55,2.21,13.805,1.164,4.9
76,3,3.08796409735103,0.75,0.633,4.42,4.501,4.98,2.37,14.774,0.946,0.1
86,2,1.84014726401797,0.524,0.702,-1.7,6.591,-1.81,2.17,12.549,1.086,0.5
96,1.8,1.9721342717824,2.913,2.774,7.9,5.092,7.61,1.63,11.017,1.139,4.9
106,1.6,1.72165509359296,0.382,0.359,-2.74,7.05,-2.81,2.03,14.416,1.162,4.9
116,2,1.53586504181282,1.005,0.945,1.65,5.149,1.19,2.82,15.237,1.387,1.3
126,1.4,1.36746313199263,0.272,0.311,2.87,3.514,2.86,2.08,13.634,1.042,0.1
136,1.1,0.934671982645238,1.443,1.251,3.1,3.428,3.18,2.77,13.731,1.163,3.9
146,1,0.535285538669117,2.61,2.999,-2.87,4.492,-3.12,2.41,13.408,0.969,0.5
6,4,3.98347471476124,3.355,3.356,4.44,2.047,4.57,0.7,3.25,0.391,2.1
16,9.5,7.67436831541665,4.321,5.179,8.61,5.163,8.91,1.13,6.292,0.835,4.9
26,8.4,8.34563664430118,0.38,0.372,7.47,0.808,7.45,1.41,8.093,0.662,0.5
36,6.5,5.93798153799516,2.845,3.33,8.32,3.587,8.4,1.58,8.98,0.685,3.5
46,4.6,5.05157471773181,2.482,2.708,2.61,4.725,2.27,1.87,10.643,1.145,4.7
56,3.5,0.993994854447079,9.693,9.339,1.81,7.15,2,2.22,14.214,1.47,4.9
66,4.3,4.24141167185117,0.131,0.16,5.94,2.689,5.95,2.76,15.344,1.041,0.7
76,3,2.88317667832025,0.75,0.766,9.57,8.603,9.59,2.46,13.852,1.378,0.7
86,2,1.87548187572851,0.524,0.552,-5.91,1.647,-6.01,1.65,10.028,0.811,0.3
96,1.8,2.78372848635188,2.913,3.644,7.31,4.424,6.88,1.94,10.846,1.009,3.9
106,1.6,1.71841732051355,0.382,0.3,-2.13,5.045,-2.62,1.58,10.753,0.916,1.1
116,2,1.6938731858548,1.005,0.983,1.67,7.439,0.93,2.22,12.219,1.406,4.9
126,1.4,1.44283257204772,0.272,0.269,2.88,6.751,2.81,2.55,12.191,1.164,1.7
136,1.1,1.05611874281076,1.443,1.74,2.37,4.003,2.42,2.37,11.101,0.721,4.3
146,1,1.61707456334383,2.61,2.839,3.83,1.481,3.54,1.78,11.507,0.842,1.3
6,4,4.32821586853453,3.355,2.847,3.94,2.627,3.94,0.67,3.588,0.415,2.7
16,9.5,9.13613892219322,4.321,4.403,10.44,4.863,10.66,1.07,6.567,0.923,4.9
26,8.4,8.30222345439702,0.38,0.398,7.58,1.649,8.04,1.36,8.279,0.607,0.1
