"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,3.69727697048975,1.394,1.218,3.53,1.269,3.57,0.6,3.254,0.278,1.3
16,9.5,9.85032285200987,4.063,4.143,9.25,2.936,9.13,0.88,4.465,0.504,3.1
26,8.4,8.17174097447876,2.271,2.18,8.76,2.835,9.08,1.2,5.733,0.482,2.9
36,6.5,6.33586167500169,0.857,0.867,5.61,1.996,5.67,1.27,7.363,0.356,1.9
46,4.6,4.3837350027167,2.012,1.614,5.52,2.436,5.27,1.32,7.619,0.668,2.1
56,3.5,3.7331720486857,2.574,2.827,2.44,2.861,2.3,1.29,7.545,0.533,0.9
66,4.3,4.26849277253723,0.495,0.425,4.72,0.884,4.85,1.17,7.115,0.524,0.7
76,3,2.93519083555634,0.254,0.241,2.46,4.388,1.93,1.62,8.306,0.748,4.3
86,2,2.18747162925898,0.652,0.647,4.61,4.218,5.36,1.5,8.082,0.881,0.9
96,1.8,1.78027689870793,0.196,0.231,1.36,2.995,1.52,1.54,7.398,0.684,3.1
106,1.6,1.54748931925363,0.259,0.226,-0.1,2.378,-0.75,1.65,7.834,0.667,0.5
116,2,2.2950705645216,1.567,1.403,2.24,5.863,2.37,1.58,9.543,0.785,4.7
126,1.4,1.36132780128987,0.309,0.275,5.17,5.733,5.47,2.1,9.321,1.186,0.7
136,1.1,1.09970468791335,0.246,0.278,-1.89,2.556,-1.91,1.48,7.474,0.537,0.7
146,1,1.12300703384848,0.52,0.6,0.71,0.855,0.82,1.42,6.868,0.478,1.1
6,4,3.56939207923996,1.394,0.966,4.15,1.703,4.11,0.59,2.888,0.335,1.7
16,9.5,8.72644400543185,4.063,4.648,8.85,2.684,8.99,0.71,4.45,0.609,2.7
26,8.4,8.21204316533117,2.271,3.02,8.8,2.64,9.18,1.28,5.729,0.533,2.9
36,6.5,6.45979623906002,0.857,1.084,6.96,2.512,6.99,1.32,6.795,0.646,2.1
46,4.6,4.41085156509233,2.012,1.717,5.47,1.045,5.76,1.39,7.23,0.404,0.3
56,3.5,3.36241166468741,2.574,3.167,2.01,0.986,1.94,1.35,7.188,0.508,0.3
66,4.3,4.36961524019968,0.495,0.565,4.82,2.494,5.17,1.22,7.086,0.538,2.5
76,3,3.02458000033105,0.254,0.224,3.01,2.875,2.99,1.56,7.026,0.681,0.7
86,2,1.9346962048511,0.652,0.795,0.77,1.474,0.46,0.87,6.718,0.415,1.1
96,1.8,1.82555224188119,0.196,0.177,3.8,5.365,3.82,1.69,9.053,1.116,4.7
106,1.6,1.58497996247136,0.259,0.23,0.28,3.74,0.41,1.8,9.442,0.735,0.9
116,2,2.16476798828904,1.567,2.029,3.03,3.485,3.43,1.26,7.962,0.723,0.7
126,1.4,1.4173513904642,0.309,0.328,2.22,2.142,2.45,1.09,7.497,0.426,2.1
136,1.1,1.06456216678196,0.246,0.254,0.25,0.762,0.25,1.47,7.96,0.454,0.9
146,1,0.981744042486986,0.52,0.549,-0.17,1.237,0.2,1.12,7.897,0.449,0.1
6,4,4.29960504576602,1.394,1.563,4.17,1.869,4.26,0.56,3.045,0.321,1.9
16,9.5,9.26422324745828,4.063,3.601,9.97,2.65,10.13,0.7,4.562,0.497,2.7
26,8.4,8.54251030590744,2.271,2.665,8.15,2.257,8.08,1.03,5.833,0.421,1.9
36,6.5,6.69232518681628,0.857,0.755,5.74,2.85,5.72,1.18,6.764,0.799,2.7
46,4.6,4.74230295676663,2.012,1.801,5.16,1.602,4.97,1.68,7.001,0.536,0.3
56,3.5,3.78318517350081,2.574,3.117,2.97,4.459,2.78,1.47,8.121,0.817,4.5
