"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,3.8849622500904,1.126,1.249,4.13,1.311,4.17,0.52,3.432,0.264,0.1
16,9.5,9.13869370869864,1.154,0.922,9.14,0.65,9.19,0.6,3.173,0.197,0.5
26,8.4,6.2492450846638,9.336,10.139,8.68,9,8.52,1.48,9.284,1.102,4.9
36,6.5,6.35129801096697,1.091,0.984,7.3,4.191,6.77,2.02,12.362,0.826,0.3
46,4.6,4.90841912798808,1.633,1.506,4.36,4.809,4.57,1.81,12.305,0.92,4.9
56,3.5,3.42725524271898,0.733,0.712,8.29,5.913,9.07,2.2,11.607,1.114,0.7
66,4.3,4.46592284391706,0.578,0.652,0.95,5.786,1.18,2.12,11.953,0.995,4.9
76,3,3.03836415137477,0.258,0.244,3.07,4.802,3.38,1.73,12.282,1.039,0.9
86,2,1.99291545220312,0.272,0.347,-0.04,1.12,-0.36,2.11,10.971,0.822,1.1
96,1.8,1.91522054690681,0.609,0.766,1.93,8.525,1.93,2.54,14.134,1.415,4.9
106,1.6,1.53083440527518,0.18,0.176,5.28,8.968,5.61,2.16,14.226,1.713,0.9
116,2,1.95460165578616,0.663,0.638,-3.84,6.936,-3.3,2.92,12.912,1.265,4.9
126,1.4,1.36495107615314,0.622,0.709,1.81,4.168,1.15,2.93,13.948,1.111,0.9
136,1.1,1.12631001090006,0.204,0.232,2.33,3.235,2.36,2.28,13.316,0.983,3.3
146,1,0.987148329547274,0.524,0.519,-0.54,4.502,-0.54,2.82,12.773,0.844,0.5
6,4,4.08748142231397,1.126,1.067,4.6,2.083,4.48,0.53,3.222,0.366,2.1
16,9.5,9.43172756163279,1.154,1.061,9.51,1.603,9.38,0.6,3.31,0.31,0.3
26,8.4,8.65392780288072,9.336,9.888,11.99,9.389,11.73,1.88,9.566,1.441,4.9
36,6.5,6.35157682192063,1.091,1.159,1.46,2.698,1.62,2.69,12.738,0.753,0.3
46,4.6,4.95190183398218,1.633,1.603,7,1.118,7.52,2.08,12.815,0.672,1.7
56,3.5,3.39757804282516,0.733,0.844,-0.29,8.066,-0.44,2.85,14.959,1.275,4.9
66,4.3,4.38242644944594,0.578,0.479,7.19,9.448,6.92,3,14.146,1.723,0.9
76,3,3.04108328007661,0.258,0.269,5.67,4.44,5.77,2.28,11.541,0.866,4.9
86,2,1.98025856963094,0.272,0.307,1.08,2.966,1.16,2.1,13.212,0.97,3.7
96,1.8,1.73632808735911,0.609,0.654,-1.48,4.59,-0.83,1.7,13.064,0.926,0.5
106,1.6,1.67961973130135,0.18,0.155,4.38,2.676,4.02,2.44,11.595,0.839,1.1
116,2,1.8711505426821,0.663,0.684,0.73,4.837,1.26,2.71,10.991,0.635,0.5
126,1.4,1.40361613847314,0.622,0.591,0.07,6.148,0.29,2.47,11.538,1.108,4.9
136,1.1,1.04105603165419,0.204,0.174,3.03,3.288,3.19,2.33,14.089,1.145,2.9
146,1,1.16238997622816,0.524,0.49,-0.26,2.878,-0.26,2.3,13.606,1.116,0.3
6,4,3.97561056514804,1.126,1.247,4.28,2.141,4.35,0.48,3.446,0.468,2.1
16,9.5,9.48061477863079,1.154,1.165,10.08,0.748,9.81,0.6,3.79,0.28,0.3
26,8.4,6.9452440831185,9.336,9.891,8.63,9.454,9.4,1.87,10.245,1.481,4.9
36,6.5,6.4083145135442,1.091,0.822,4.1,6.255,3.91,1.74,12.097,1.317,0.5
46,4.6,4.07053748382166,1.633,1.481,6.52,2.307,6.97,1.43,9.825,0.559,0.3
56,3.5,3.21169237902638,0.733,0.698,3.2,2.424,2.97,1.7,10.105,0.563,0.9
66,4.3,4.2577047652084,0.578,0.493,6.9,1.147,6.78,2.06,9.737,0.541,0.3
76,3,2.88258925731729,0.258,0.233,-0.74,2.96,-0.85,1.7,10.498,0.733,3.5
86,2,2.00185385571647,0.272,0.266,0.23,2.395,0.04,2.15,10.652,0.762,1.3
96,1.8,1.90127330119133,0.609,0.551,2.98,5.702,2.52,2.24,12.314,0.976,4.9
106,1.6,1.63024176078928,0.18,0.185,6.27,5.461,6.16,2.26,12.821,0.984,0.3
116,2,2.11240263197813,0.663,0.557,-1.17,3.035,-1.36,2.25,11.965,0.511,3.3
126,1.4,1.33516034362315,0.622,0.687,0.84,6.3,0.58,2.17,13.667,1.263,4.9
136,1.1,1.06577403241444,0.204,0.209,3.77,7.711,3.8,1.94,13.083,1.354,0.7
146,1,1.14369962179404,0.524,0.422,-2.79,4.351,-2.19,1.89,11.321,0.832,3.9
6,4,3.81418260516857,1.126,1.326,4.51,1.396,4.46,0.55,3.207,0.264,1.5
16,9.5,9.78595455239149,1.154,1.365,9.26,0.97,9.2,0.46,3.571,0.218,1.3
26,8.4,11.4837673187719,9.336,10.122,6.47,11.039,6.01,2.15,11.351,1.442,4.7
36,6.5,6.46276942554395,1.091,0.945,10.29,9.308,10.72,2.2,12.762,1.59,0.3
46,4.6,5.06087394413359,1.633,1.483,4.68,3.676,4.06,1.61,9.682,0.796,3.3
56,3.5,3.25031101714253,0.733,0.666,2.08,6.921,2.52,2.55,12.6,1.441,4.9
