"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,4.04726665445502,0.792,0.683,4.77,1.418,4.8,0.51,2.906,0.312,1.3
16,9.5,9.09444906088327,6.859,6.798,11.68,4.771,11.48,1.18,5.719,0.594,4.7
26,8.4,8.51788449440024,0.907,0.995,5.57,5.024,5.54,1.68,8.734,0.83,4.9
36,6.5,6.52720576746799,3.95,4.458,5.99,3.392,5.52,1.72,9.922,0.779,0.5
46,4.6,4.41627852393536,1.659,1.69,3.91,3.448,3.84,2.05,9.931,0.524,3.9
56,3.5,3.43435589723306,0.804,0.793,5.27,4.373,5.41,1.84,11.395,0.794,4.5
66,4.3,4.32461085947623,0.765,0.833,5.85,2.315,6.63,1.94,11.799,0.831,1.5
76,3,2.91480208193175,1.549,1.584,-0.9,2.945,-1.02,1.65,11.229,0.991,0.3
86,2,1.97132321565499,0.175,0.166,2.54,4.713,2.55,2.46,11.713,0.966,4.5
96,1.8,1.7713394297285,0.655,0.622,4.86,3.851,4.67,2.14,12.209,0.752,0.7
106,1.6,1.62589277174132,0.573,0.681,-0.74,4.746,-0.77,2.09,10.235,1.038,0.3
116,2,2.00521783101637,1.519,1.557,6.24,3.381,5.99,1.58,9.726,0.641,3.7
126,1.4,1.43369315283514,0.722,0.738,-3.46,7.2,-3.77,2.73,12.604,1.329,4.7
136,1.1,0.915270384779745,0.858,0.833,2.8,7.377,2.06,2.34,12.701,0.918,1.9
146,1,0.988027674411989,0.168,0.179,0.81,1.607,0.42,2.52,10.341,0.609,1.5
6,4,3.84850848350914,0.792,0.934,3.19,1.067,3.22,0.38,2.268,0.205,0.1
16,9.5,11.2201683582848,6.859,8.74,8.16,8.626,8.28,1.39,8.794,0.9,4.9
26,8.4,8.18721313860181,0.907,1.008,10.12,5.82,9.78,2.34,10.626,0.925,0.3
36,6.5,6.3649816340684,3.95,4.258,5.97,4.528,6.24,1.76,10.072,0.861,4.9
46,4.6,3.99563313813078,1.659,1.56,4.42,5.288,4.47,1.62,10.058,0.998,1.5
56,3.5,3.67270119733592,0.804,0.836,4.05,3.873,3.88,1.68,9.146,0.677,3.5
66,4.3,4.28715904576839,0.765,0.855,4.41,1.714,4.5,1.66,10.131,0.556,1.9
76,3,3.53437797661873,1.549,1.694,4.98,3.686,4.83,1.56,9.551,0.709,0.3
86,2,2.00975608216289,0.175,0.222,1.93,2.944,1.56,1.56,9.042,0.751,2.5
96,1.8,1.74263614848065,0.655,0.52,-1.26,4.911,-1.26,1.66,8.25,0.702,0.7
106,1.6,1.74099592503988,0.573,0.663,4.34,3.637,4.29,1.66,7.921,0.765,3.7
116,2,2.25756979976985,1.519,1.339,1.37,6.488,1.14,2.33,11.113,1.184,4.9
126,1.4,1.34351422975702,0.722,0.792,-1.98,6.877,-2.13,1.41,10.181,1.206,0.5
136,1.1,0.962512355263709,0.858,0.852,6.01,5.358,5.81,1.98,9.49,0.81,4.9
146,1,0.993721146515268,0.168,0.162,1.73,5.39,1.95,1.62,9.487,1.139,1.1
6,4,3.80354656967693,0.792,0.927,3.84,1.02,3.84,0.38,2.302,0.204,0.9
16,9.5,11.2239937262441,6.859,5.55,7.63,8.371,7.39,1.78,8.714,1.273,4.9
26,8.4,8.68189078722289,0.907,0.655,11.21,5.616,10.77,1.64,10.77,1.091,0.3
36,6.5,7.23037205062352,3.95,4.431,5.33,1.508,5.24,1.44,9.215,0.597,0.7
46,4.6,4.15133196493054,1.659,1.58,3.72,2.245,3.38,1.57,8.745,0.636,1.7
56,3.5,3.71409208343426,0.804,0.66,3.73,6.043,4.63,1.72,10.48,1.283,4.9
66,4.3,4.37790458247518,0.765,0.696,5.14,5.765,5.22,2.34,13.271,0.873,4.5
76,3,3.0943932123312,1.549,1.649,1.36,5.898,1.48,2.35,12.86,1.128,1.1
86,2,2.01680109598924,0.175,0.165,3.13,3.179,3.88,1.82,11.478,0.79,0.7
96,1.8,1.84846527609992,0.655,0.591,4.75,4.245,5.18,1.79,10.568,0.75,0.9
106,1.6,1.70961952158365,0.573,0.581,0.82,1.64,1.21,1.52,9.468,0.633,0.9
116,2,2.05869957226028,1.519,1.597,2.61,4.475,2.65,1.8,10.372,0.973,4.9
126,1.4,1.55974130875204,0.722,0.622,-1.17,4.879,-1.09,2.16,10.277,0.771,1.5
136,1.1,1.00603170960551,0.858,0.986,-0.78,5.129,-0.44,2.08,10.693,0.977,4.7
146,1,1.04229138966506,0.168,0.153,0.16,2.546,0.72,2.07,11.359,0.762,0.1
6,4,4.25886061166095,0.792,0.8,3.51,1.217,3.51,0.34,2.516,0.289,1.1
16,9.5,10.142803441558,6.859,5.634,9.93,6.678,9.61,1.12,7.258,0.829,4.9
26,8.4,8.90669150103948,0.907,0.918,7.61,5.935,7.34,2.2,11.26,1.097,4.9
36,6.5,5.23985189220263,3.95,2.749,8.19,5.206,8.5,2.17,12.156,0.916,0.3
46,4.6,4.75263247064502,1.659,1.29,3.63,3.127,3.51,1.5,9.915,0.724,0.1
56,3.5,3.50403822584491,0.804,0.739,3.35,4.064,3.05,1.9,10.188,0.878,3.9
66,4.3,4.36090910483735,0.765,0.736,6.25,5.442,5.4,2.25,12.207,1,4.9
76,3,2.77231261506985,1.549,1.607,6.13,7.32,6.12,2.33,11.169,1.125,0.3
86,2,2.02253352999216,0.175,0.145,-1.91,1.982,-1.99,1.81,8.924,0.502,1.7
96,1.8,2.02413646564959,0.655,0.604,3.01,2.253,3.05,2.04,9.536,0.602,2.7
106,1.6,1.62076565089717,0.573,0.547,-3.44,7.761,-3.42,2.22,12.282,1.589,4.9
116,2,1.57783104453516,1.519,1.352,2.65,7.368,2.86,2.19,12.544,1.299,0.9
126,1.4,1.57415705492974,0.722,0.704,1.44,2.137,1.7,1.84,10.52,0.685,0.7
136,1.1,1.25585836969373,0.858,0.862,1.02,4.872,0.75,2.12,10.982,0.968,4.5
146,1,1.02254661771626,0.168,0.187,1.83,7.093,1.65,2.85,13.471,1.091,4.9
6,4,4.02952032124805,0.792,0.827,4.44,2.048,4.42,0.56,3.39,0.391,2.1
16,9.5,8.94632198347036,6.859,6.522,11.32,4.46,11.25,1.3,6.051,0.714,4.3
26,8.4,8.49303911640807,0.907,0.943,6.06,2.371,6.2,1.62,7.695,0.619,2.5
36,6.5,6.18786632620253,3.95,4.168,5.87,11.991,5.45,2.13,14.394,1.838,4.9
46,4.6,4.99578077903787,1.659,1.479,2.29,10.798,2.52,2.48,15.516,2.273,1.1
56,3.5,3.42942481227755,0.804,0.881,5.47,3.125,5.49,2.34,11.009,0.785,0.9
66,4.3,4.54843194249646,0.765,0.843,3.8,5.483,4.2,2.41,10.79,1.046,4.7
76,3,3.00127265624343,1.549,1.489,3.06,3.701,2.73,2.69,13.246,0.905,3.9
86,2,2.03385561179646,0.175,0.156,3.01,4.586,2.89,1.9,12.974,1.105,0.3
96,1.8,1.84898940875872,0.655,0.766,1.91,0.79,1.9,1.66,12.492,0.918,0.1
106,1.6,1.57902458326258,0.573,0.537,2.59,2.246,2.77,2.22,11.386,0.766,0.1
116,2,1.64897104086591,1.519,1.384,-1.03,0.851,-1.01,2.04,11.588,0.647,0.3
126,1.4,1.29616492208376,0.722,0.667,4.3,4.751,4.67,2.11,10.399,0.665,0.1
136,1.1,1.18595023775149,0.858,1.012,-0.12,5.471,-0.23,2.35,10.865,1.069,4.9
146,1,1.04222295797495,0.168,0.183,0.73,4.245,0.67,2.34,11.251,0.763,0.1
6,4,3.97168900626253,0.792,0.622,4.77,0.656,4.78,0.36,2.339,0.167,0.1
16,9.5,11.8255040578595,6.859,7.694,9.09,7.588,9.04,1.44,7.957,0.905,4.9
26,8.4,8.66695637705244,0.907,1.099,6.78,3.275,6.82,1.85,10.628,1.025,0.9
36,6.5,6.83904231647762,3.95,4.206,9.44,2.82,9.64,1.61,9.978,0.592,2.7
46,4.6,4.75796279208094,1.659,1.821,3.53,4.138,4.33,1.67,9.966,1.003,0.5
56,3.5,3.56557355934391,0.804,0.781,1.04,1.544,0.6,1.49,8.743,0.587,0.3
66,4.3,4.40672540062934,0.765,0.666,6.31,2.924,7.12,1.43,9.319,0.812,2.1
76,3,3.64071973710406,1.549,1.529,2.44,1.162,2.13,1.53,9.774,0.619,1.9
86,2,1.96999408776798,0.175,0.146,5.44,1.579,5.8,1.61,9.397,0.707,0.3
96,1.8,1.67629475510955,0.655,0.583,-1.94,7.442,-1.96,2.27,12.012,1.196,4.9
106,1.6,1.70882640447797,0.573,0.48,2.41,6.528,2.5,2.67,12.929,1.012,0.7
116,2,2.25203844647192,1.519,1.106,1.45,5.055,1.26,1.43,9.502,0.955,0.3
126,1.4,1.51033642020262,0.722,0.646,-0.38,8.336,0.22,2.22,11.179,1.268,4.9
136,1.1,0.840302734682483,0.858,0.762,1.94,0.922,3.02,2.65,14.233,0.862,3.5
146,1,1.03998931227068,0.168,0.149,2.83,8.205,3.14,2.17,11.151,1.368,0.9
6,4,4.07515897668408,0.792,0.907,3.73,1.473,3.62,0.53,2.627,0.284,1.5
16,9.5,10.1558716248534,6.859,8.058,8.6,6.073,8.27,1.37,6.785,0.756,4.9
26,8.4,8.33806691742812,0.907,0.922,10.26,4.899,10.46,1.69,9.633,0.778,4.9
36,6.5,6.30798042536781,3.95,3.701,7.3,5.62,7.89,1.75,10.254,1.01,1.1
46,4.6,4.03470548450233,1.659,1.376,3.54,5.848,3.53,1.99,9.806,1.111,4.9
56,3.5,3.46324957348936,0.804,0.832,2.87,3.807,2.35,2.05,11.91,0.935,3.5
66,4.3,4.69870660027679,0.765,0.799,4.31,6.349,4.51,1.56,11.488,1.097,0.1
76,3,2.67611532311267,1.549,1.821,2.21,4.032,3.16,1.42,9.964,0.874,4.7
86,2,1.94236409160675,0.175,0.153,1.48,2.443,1.15,2.11,10.441,0.922,1.3
96,1.8,1.90671352546405,0.655,0.727,2.86,2.768,2.47,2.33,10.104,0.725,3.1
