"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,3.99735020190817,0.288,0.27,3.73,1.256,3.65,0.41,2.448,0.247,1.3
16,9.5,9.40815699647194,0.915,0.836,9.6,0.995,9.54,0.51,3.016,0.216,0.9
26,8.4,7.44055407936755,2.377,2.028,9.12,2.887,9.22,0.71,4.078,0.321,2.7
36,6.5,7.23692459565196,3.294,3.287,4.54,3.808,4.51,0.97,6.187,0.527,3.9
46,4.6,4.69869784197698,2.655,2.189,5.39,2.615,5.2,1.28,6.774,0.652,0.5
56,3.5,3.87524195731297,2.28,2.182,3.75,3.386,3.87,1.25,7.3,0.586,3.3
66,4.3,4.25882814330668,0.287,0.297,3.94,2.497,4.29,1.42,8.872,0.559,2.1
76,3,3.16911353997053,0.517,0.537,2.75,4.75,2.49,1.66,9.529,0.674,4.5
86,2,1.87243660247085,0.763,0.736,1.61,5.713,1.8,1.83,9.263,1.046,0.1
96,1.8,1.66935166202269,1.232,0.972,1.73,1.836,1.16,1.36,7.556,0.57,1.9
106,1.6,1.66606291272971,0.284,0.297,2.58,3.628,2.27,1.14,7.281,0.619,0.5
116,2,1.96000615529475,0.487,0.558,2.62,6.241,2.81,1.45,8.767,1.02,4.9
126,1.4,1.39307293740557,0.878,0.729,2.21,3.282,2.17,2.26,10.299,0.869,0.5
136,1.1,0.926468879943011,0.719,0.687,-0.05,3.126,-0.32,1.38,9.15,0.737,0.1
146,1,1.0026370765751,0.582,0.55,1.2,3.503,1.66,1.28,7.899,0.689,0.5
6,4,4.02296898646169,0.288,0.305,4.14,0.294,4.27,0.49,2.581,0.147,0.1
16,9.5,9.5173830987722,0.915,0.805,9.39,0.444,9.48,0.52,2.585,0.162,0.3
26,8.4,8.42555224913657,2.377,2.533,8.02,2.119,7.81,0.6,3.364,0.333,2.3
36,6.5,7.63056322479957,3.294,3.534,6.73,2.598,6.88,1.18,4.85,0.487,2.7
46,4.6,4.4790787225708,2.655,2.445,4.15,3.114,4.41,0.73,6.405,0.527,2.9
56,3.5,3.90851106782688,2.28,2.639,2.92,4.125,2.96,1.26,8.36,0.73,4.1
66,4.3,4.33005348498283,0.287,0.3,4.63,4.661,4.38,1.36,7.66,0.745,0.5
76,3,3.07554708063047,0.517,0.479,1.65,5.478,1.43,1.73,8.373,1.037,4.7
86,2,2.06855529688714,0.763,0.812,3.6,2.994,3.59,1.76,10.49,0.709,3.3
96,1.8,2.27178404911651,1.232,1.413,2.54,0.473,2.37,1.75,11.268,0.816,1.3
