"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,3.93707324889474,0.78,0.789,3.87,1.151,3.65,0.46,2.914,0.237,1.3
16,9.5,9.08649807412134,1.246,1.312,9.58,1.001,9.6,0.59,3.206,0.332,1.1
26,8.4,8.33896187997896,0.403,0.412,8.52,0.837,8.47,0.65,3.218,0.189,0.1
36,6.5,6.28701023135615,1.855,1.278,5.84,2.196,5.94,0.77,3.886,0.393,2.1
46,4.6,3.25934176529425,2.435,2.287,6.38,0.694,6.22,0.89,4.519,0.261,0.3
56,3.5,3.45853329217902,5.046,4.995,-0.06,5.889,-0.19,1.21,7.046,1.047,4.9
66,4.3,4.50894348204416,0.722,0.737,7.79,1.468,8.04,2.02,9.236,0.581,0.1
76,3,2.80145647048816,2.138,1.619,1.31,2.459,1.01,2.02,9.022,0.826,1.5
86,2,1.91254267243083,1.261,1.057,2.21,0.856,2.01,1.65,9.642,0.395,0.3
96,1.8,1.82586034640212,0.063,0.061,3.01,2.549,3.01,1.85,9.331,0.739,0.9
106,1.6,1.5304862244869,0.367,0.445,-0.27,3.38,0.29,1.75,9.674,0.568,3.3
116,2,2.02167444209082,1.219,1.15,3.61,2.571,3.38,1.88,10.327,0.759,2.1
126,1.4,1.35302797828711,0.184,0.156,-0.28,2.705,-0.18,1.9,11.146,0.733,2.5
136,1.1,1.21697301376096,0.705,0.618,3.42,5.631,3.66,1.35,9.6,0.741,0.1
146,1,0.967911664548614,0.303,0.284,3.47,3.038,3.5,1.34,8.562,0.531,3.3
6,4,4.11938624427267,0.78,0.756,4.55,0.484,4.53,0.4,2.184,0.141,0.1
16,9.5,9.51707506992608,1.246,1.297,8.7,2.328,8.77,0.59,3.086,0.346,2.3
26,8.4,8.3718005814796,0.403,0.32,9.19,1.788,9.2,0.51,3.413,0.25,0.1
36,6.5,6.51112343049379,1.855,1.231,6.32,2.723,6.26,0.87,4.036,0.508,2.7
46,4.6,5.08902846283572,2.435,2.76,3.8,1.267,3.72,1,5.134,0.39,1.5
56,3.5,3.55050188398432,5.046,5.611,2.22,2.622,2.35,0.88,5.649,0.467,2.7
66,4.3,4.56239871745762,0.722,0.702,6.75,1.339,6.83,1.23,6.354,0.423,1.7
76,3,3.13942078427625,2.138,1.669,1.13,4.69,1.1,1.45,7.993,0.88,4.5
86,2,1.85157904674064,1.261,1.304,3.01,3.393,3.06,1.88,8.199,0.458,0.3
96,1.8,1.79706898242894,0.063,0.067,3.05,4.265,3.4,2.04,8.989,0.743,4.3
106,1.6,1.51868377501253,0.367,0.404,-1.69,5.25,-1.39,1.49,8.523,1.034,0.5
116,2,1.8680952255401,1.219,1.248,5.82,3.899,6.12,1.7,7.854,0.593,3.7
126,1.4,1.42737366737791,0.184,0.139,2.09,0.814,1.7,1.91,8.507,0.549,1.5
136,1.1,1.20354706907048,0.705,0.88,-2.54,2.533,-2.84,1.74,9.421,0.809,2.5
146,1,0.973926868783923,0.303,0.302,2.21,4.205,2.25,1.65,8.512,0.879,0.7
6,4,3.88852612649795,0.78,0.991,3.43,0.699,3.42,0.47,2.533,0.161,0.7
16,9.5,9.25338228953896,1.246,1.523,9.95,1.797,10.04,0.54,3.215,0.36,1.9
26,8.4,8.32636155907777,0.403,0.361,7.14,1.232,7.13,0.52,3.592,0.231,0.1
36,6.5,6.45614722851408,1.855,1.548,7.11,2.167,6.97,0.77,3.709,0.377,2.3
46,4.6,4.10095756695311,2.435,2.424,3.9,0.629,3.86,0.9,4.419,0.282,0.1
56,3.5,3.25214128891961,5.046,4.391,5.52,5.943,6,1.11,7.227,0.809,4.9
66,4.3,4.22497827099696,0.722,0.774,2.97,1.428,3.08,1.92,9.267,0.645,1.3
76,3,2.47982495419826,2.138,2.067,3.77,3.039,3.89,1.9,8.92,0.714,0.7
86,2,2.15612354265981,1.261,1.584,1.14,1.886,1.33,2.15,8.965,0.482,0.9
96,1.8,1.78707898994108,0.063,0.074,-1.04,4.077,-0.96,1.34,8.189,0.751,0.1
106,1.6,1.62789250535257,0.367,0.38,5.08,2.641,5.04,1.73,7.875,0.642,3.1
116,2,2.12872217370511,1.219,1.445,2.85,3.184,3.03,1.1,6.841,0.472,0.5
126,1.4,1.37433992992184,0.184,0.169,-0.82,1.103,-0.79,1.19,6.574,0.356,1.1
136,1.1,1.15156784000381,0.705,0.746,3.43,4.264,3.22,1.28,7.718,0.65,3.9
146,1,1.05667328796491,0.303,0.313,-0.34,3.567,-0.34,1.57,8.054,0.648,0.9
6,4,4.10773979918999,0.78,0.718,4.14,0.852,3.78,0.46,2.82,0.162,0.7
16,9.5,9.55155919946124,1.246,1.34,9.71,1.934,9.61,0.64,3.354,0.342,1.9
26,8.4,8.31935460351832,0.403,0.411,8.11,0.857,8.02,0.58,4.03,0.195,0.5
36,6.5,5.93282631572748,1.855,1.627,6.32,1.432,6.22,0.79,4.022,0.341,1.3
46,4.6,4.06036164223438,2.435,2.505,4.12,2.654,4.04,0.93,4.737,0.385,2.5
56,3.5,3.76301583559287,5.046,5.726,3.99,3.678,3.85,1.16,6.82,0.744,3.9
66,4.3,4.46690657117487,0.722,0.655,5.87,2.078,5.62,1.58,8.141,0.59,2.1
76,3,3.17383795844919,2.138,2.365,0.44,3.924,0.41,1.44,9.249,0.9,3.5
86,2,1.93574516068428,1.261,1.391,2.66,1.882,2.44,1.01,9.954,0.914,0.1
96,1.8,1.77194995529859,0.063,0.051,3.74,2.919,4.1,2.14,10.411,0.755,0.3
106,1.6,1.73224635257713,0.367,0.412,-2.08,6.293,-1.37,1.6,10.804,1.302,4.9
116,2,2.14706388282299,1.219,1.137,2.73,7.583,3.42,1.64,10.469,1.07,0.9
126,1.4,1.42585133956655,0.184,0.147,4.45,0.939,4.32,1.42,6.905,0.476,0.5
136,1.1,1.08200076284258,0.705,0.843,-0.55,5.987,-0.58,1.5,9.82,1.164,4.9
146,1,0.921082939370246,0.303,0.305,1.2,4.537,1.42,1.83,9.687,0.837,0.9
6,4,4.08818424960782,0.78,0.929,3.42,0.75,3.45,0.43,2.731,0.175,0.7
16,9.5,10.0197592853247,1.246,1.581,10.56,2.204,10.56,0.52,3.518,0.416,2.1
