"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,4.07005741355691,0.639,0.692,4.69,0.339,4.68,0.37,2.291,0.175,0.1
16,9.5,9.55528626953944,0.251,0.226,9.54,0.775,9.5,0.53,2.498,0.22,0.7
26,8.4,8.40619374097056,0.665,0.713,8.77,1.133,8.9,0.5,2.882,0.258,1.1
36,6.5,6.13310811304672,2.628,2.813,5.69,1.646,5.77,0.58,3.469,0.288,1.7
46,4.6,6.10633426046534,10.248,7.614,6.2,8.157,6.1,1.42,8.71,1.21,4.9
56,3.5,3.82324867764739,2.387,2.638,4.68,1.844,4.94,2.53,11.999,0.554,1.1
66,4.3,4.53702375472416,0.617,0.53,3.95,1.205,3.11,2.55,11.949,0.652,0.3
76,3,2.93098346682773,0.503,0.478,2.46,3.942,2.28,2.67,11.655,0.783,0.3
86,2,2.0055314513931,0.206,0.198,-1.78,10.33,-1.45,3.29,15.175,1.715,4.9
96,1.8,1.94197863544373,1.233,1.193,5.82,6.626,6,3.96,19.327,1.376,4.9
106,1.6,1.4180240695411,0.68,0.77,2.96,10.861,2.87,3.53,17.234,1.85,1.3
116,2,1.83210515763213,1.338,1.658,-0.88,5.124,-0.95,2.12,12.748,1.057,0.7
126,1.4,1.32571052453121,1.232,1.749,4.47,6.691,4.7,2.23,13.519,1.036,4.9
136,1.1,1.55447921999317,1.478,1.281,2.96,6.83,3.3,2.81,12.775,1.011,0.3
146,1,1.03572198626126,0.254,0.291,-5.53,6.825,-5.05,2.02,13.207,0.934,4.9
6,4,3.9020679848404,0.639,0.665,4.24,1.347,4.07,0.48,2.498,0.226,1.3
16,9.5,9.53983970092363,0.251,0.186,9.69,0.929,9.87,0.56,2.944,0.187,0.7
26,8.4,8.36578981745959,0.665,0.665,8.22,0.821,8.13,0.55,3.129,0.224,0.5
36,6.5,6.8482180950007,2.628,2.141,6.29,2.428,6.17,0.79,4.085,0.434,2.5
46,4.6,4.05235223905978,10.248,11.876,10.12,9.812,9.61,2.21,10.367,1.22,4.9
56,3.5,3.26161955696521,2.387,3.163,-0.62,6.756,-0.74,2.44,13.229,1.34,1.1
