"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,4.03173476368399,0.407,0.347,3.33,0.522,3.35,0.51,2.544,0.201,0.1
16,9.5,9.47494339984062,0.144,0.1,9.61,0.268,9.56,0.43,2.606,0.197,0.5
26,8.4,7.55212527605151,2.225,2.362,7.63,1.749,7.6,0.6,3.101,0.403,1.7
36,6.5,6.88353876365638,2.514,2.315,6.73,2.044,6.96,0.84,3.879,0.35,1.9
46,4.6,4.87927736806289,1.095,0.928,4.87,1.271,4.97,1.03,4.665,0.275,1.5
56,3.5,3.28403448506486,0.859,1.024,1.79,2.095,2.02,1.31,5.182,0.514,2.1
66,4.3,4.29844898147683,0.109,0.129,6.91,1.503,7.11,0.9,5.771,0.376,1.5
76,3,2.99989473579878,0.273,0.237,2.62,2.31,2.64,1.23,6.511,0.482,2.3
86,2,1.99181086987756,0.425,0.428,1.54,2.957,1.54,1.05,6.117,0.506,0.1
96,1.8,1.49920946698145,3.232,2.875,1.13,3.541,1.22,1.26,6.521,0.605,3.5
106,1.6,1.59095359772913,0.219,0.171,1.07,2.908,1.61,1.24,7.26,0.478,0.1
116,2,2.01675128020171,0.399,0.461,3.81,1.715,3.47,1.54,6.739,0.589,2.1
126,1.4,1.41815438074811,0.303,0.272,0.95,0.446,0.93,1.43,6.509,0.403,0.7
136,1.1,1.26962006741395,0.529,0.583,0.68,1.086,0.63,1.41,6.422,0.539,1.3
146,1,1.02918288171942,0.354,0.379,2.51,2.935,2.3,1.63,6.829,0.484,2.9
6,4,3.96473582394676,0.407,0.456,4.27,1.044,4.18,0.44,2.521,0.226,1.1
16,9.5,9.51053926602196,0.144,0.131,9.65,0.874,9.77,0.47,2.588,0.187,0.1
26,8.4,8.29092217849426,2.225,2.068,8.3,2.502,8.19,0.66,3.532,0.373,2.5
36,6.5,6.65677940971139,2.514,2.379,6.56,0.674,6.43,0.7,4.244,0.298,0.5
46,4.6,4.52443307583292,1.095,1.142,4.36,2.193,4.5,0.7,4.735,0.428,2.3
56,3.5,3.75802372490145,0.859,0.8,4.34,1.607,4.29,0.95,5.112,0.382,0.3
66,4.3,4.30963959307209,0.109,0.106,3.52,2.336,3.28,0.96,5.22,0.493,2.5
76,3,3.0140519078335,0.273,0.245,2.51,3.057,2.71,1.06,6.573,0.476,3.3
86,2,2.0636827643965,0.425,0.398,1.77,2.077,2.25,1.22,6.908,0.534,0.1
