"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,4.43264428380137,2.283,2.331,4.49,2.062,4.5,0.71,3.127,0.259,2.1
16,9.5,9.43897087823859,1.962,1.615,8.6,3.193,8.75,0.96,5.049,0.488,3.3
26,8.4,8.19304610765285,4.182,3.174,9.07,0.917,9.13,0.92,6.069,0.459,0.9
36,6.5,6.32825525234995,1.143,1.005,7.11,1.431,7.01,1.06,5.986,0.41,1.9
46,4.6,4.15824387206697,1.796,1.918,5.29,4.42,5.56,1.58,7.548,0.839,4.3
56,3.5,3.26035289876601,0.907,0.914,2.86,4.626,3,1.58,7.552,0.929,0.7
66,4.3,4.82973949457303,1.864,1.656,3.07,6.015,3.94,1.16,8.396,1.04,4.9
76,3,2.93867860981084,0.765,0.979,5.03,4.648,4.93,1.58,9.516,0.851,0.1
86,2,2.02745783999515,0.271,0.272,1.73,3.249,1.65,1.47,7.415,0.656,1.1
96,1.8,1.78325845918464,0.183,0.187,1.05,2.363,1.24,1.09,6.937,0.536,2.7
106,1.6,1.65376161704554,0.531,0.532,1.38,2.99,1.09,1.59,8.056,0.664,2.9
116,2,2.09345608780446,0.421,0.496,1.74,3.104,1.06,1.66,9.214,0.71,3.5
126,1.4,1.35211672665014,0.148,0.155,0.82,0.716,0.59,2.12,9.57,0.612,0.5
136,1.1,1.05784335086239,0.409,0.421,4.08,4.532,4.1,1.81,8.157,0.684,0.1
146,1,0.886903296127091,1.414,1.252,0.76,4.299,0.89,1.32,8.382,0.646,4.1
6,4,3.42597937882321,2.283,2.365,4.34,2.243,4.3,0.65,3.581,0.446,2.1
16,9.5,9.16481237244554,1.962,2.17,9.69,0.665,9.83,0.86,4.185,0.268,0.5
26,8.4,7.72218826685375,4.182,3.723,7.88,4.182,7.94,1.09,6.054,0.657,3.9
36,6.5,6.56359333154933,1.143,1.196,6.53,0.113,6.67,1.22,7.075,0.408,0.7
46,4.6,3.95392685058529,1.796,2.514,5.15,1.122,5.58,1.44,7.379,0.499,0.3
56,3.5,3.53109022864603,0.907,0.906,2.38,2.106,2.32,1.61,7.682,0.667,2.1
66,4.3,4.06785197677385,1.864,2,5.92,3.923,5.93,1.44,8.565,0.768,3.7
76,3,2.96242209919213,0.765,0.637,1.16,4.742,0.86,1.67,8.229,0.756,0.5
86,2,2.03229921474781,0.271,0.286,3.37,2.524,3.37,1.14,6.408,0.707,0.1
