"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,3.45496984563741,1.495,1.407,3.83,1.04,3.74,0.74,3.454,0.222,1.3
16,9.5,9.55825680918321,0.287,0.24,9.24,1.559,8.95,0.63,3.226,0.318,0.1
26,8.4,8.58283621230115,1.612,1.182,8.66,1.902,8.67,0.7,3.638,0.371,1.9
36,6.5,7.14857302497224,2.057,1.821,5.77,1.957,5.62,0.78,4.457,0.493,1.9
46,4.6,5.20922738374753,3.114,2.994,4.7,2.868,4.56,1.25,5.648,0.414,2.5
56,3.5,3.46300133884834,0.336,0.33,4.37,1.699,4.37,1.27,6.047,0.376,0.1
66,4.3,4.32888399630862,0.445,0.379,3.02,2.103,3.1,1.06,5.498,0.414,0.1
76,3,3.00294055975646,0.639,0.597,4.31,2.834,3.97,1.15,5.78,0.564,2.7
86,2,1.91659378333463,0.652,0.644,2.41,1.486,2.5,1.31,6.351,0.444,1.3
96,1.8,1.89012804456967,0.535,0.472,0.07,6.131,0.24,1.72,8.771,1.103,4.9
106,1.6,1.58003483117144,0.27,0.311,2.61,4.497,2.71,1.63,10.34,0.718,0.1
116,2,1.81347724096615,0.841,0.95,0.52,4.651,0.22,1.26,7.627,0.746,1.3
126,1.4,1.65150564090551,0.656,0.661,3.47,2.77,3.59,0.84,5.643,0.6,0.3
136,1.1,1.07133954952728,0.4,0.371,-0.92,4.45,-0.85,1.15,6.37,0.83,4.3
146,1,1.03905104993904,0.322,0.285,1.89,3.82,1.65,1.64,7.063,0.752,0.5
6,4,4.35801923769776,1.495,1.281,4.52,1.976,4.58,0.58,3.261,0.427,1.9
16,9.5,9.47717457721735,0.287,0.326,9,1.005,8.78,0.8,3.528,0.246,0.3
26,8.4,8.22780555648322,1.612,1.593,8.9,1.545,8.83,0.79,3.911,0.322,1.7
36,6.5,5.93854443543449,2.057,2.637,5.44,1.999,5.43,0.93,4.652,0.377,2.1
46,4.6,4.1990061595527,3.114,3.148,5.36,1.197,5.16,0.92,5.226,0.416,1.3
56,3.5,3.47130003104891,0.336,0.343,2.4,1.657,2.65,0.97,5.615,0.552,1.9
66,4.3,4.38116755257096,0.445,0.4,4.84,5.985,4.97,1.35,8.446,1.01,4.9
76,3,3.13546123582464,0.639,0.472,3.41,4.923,3.23,1.47,9.007,0.847,0.7
86,2,2.10915315320195,0.652,0.788,2.54,3.285,2.53,1.22,6.714,0.581,1.1
96,1.8,1.78510514942057,0.535,0.63,1.46,2.122,1.43,1.03,6.127,0.392,2.1
106,1.6,1.52827594425399,0.27,0.298,1.27,3.105,0.87,1.29,7.682,0.721,3.3
116,2,1.71246511966279,0.841,0.723,3.32,3.985,3.48,1.05,6.914,0.777,1.3
126,1.4,1.27611397193075,0.656,0.709,0.84,1.806,0.62,1.13,5.728,0.384,2.1
136,1.1,1.03221581542944,0.4,0.393,0.42,2.823,0.39,1.08,6.339,0.465,2.9
146,1,0.960799175464411,0.322,0.325,0.66,2.375,0.84,1.31,6.837,0.437,0.3
6,4,3.91805615802023,1.495,1.746,4.48,1.579,4.37,0.46,2.947,0.346,1.5
16,9.5,9.53766501643105,0.287,0.381,9.4,0.638,9.33,0.57,3.267,0.199,0.3
26,8.4,8.11681719537023,1.612,1.858,8.42,2.319,8.35,0.82,4.015,0.373,2.1
36,6.5,6.70561791034236,2.057,2.028,6.62,1.706,6.71,0.78,4.325,0.335,0.1
46,4.6,4.67921772873627,3.114,2.639,3.87,3.37,4.02,1.05,5.283,0.518,3.5
56,3.5,3.51001611724253,0.336,0.374,4.18,5.105,4.1,1.25,8.046,1.097,4.9
66,4.3,4.29057976591113,0.445,0.442,4.81,4.156,4.74,1.47,8.525,0.75,0.1
76,3,3.11905925594227,0.639,0.696,0.54,4.653,1.01,1.83,8.473,0.774,4.9
86,2,1.96013343895684,0.652,0.528,3.84,5.803,3.6,1.68,8.042,0.764,2.1
96,1.8,1.84620791939862,0.535,0.482,1.36,2.278,1.57,1.09,6.345,0.498,2.1
106,1.6,1.63744465517603,0.27,0.243,2.45,0.812,2.08,1,6.536,0.301,0.3
116,2,1.79551799091619,0.841,0.901,0.84,2.057,1.06,1.31,6.892,0.412,2.1
126,1.4,1.22715979173571,0.656,0.619,1.87,1.588,1.78,1.25,7.008,0.424,1.5
136,1.1,1.02330920914768,0.4,0.493,1.01,2.896,0.97,1.27,6.953,0.716,0.5
146,1,0.987358135299737,0.322,0.286,0.33,3.918,0.06,1.29,7.104,0.789,3.9
6,4,4.18100192723671,1.495,1.688,4.91,2.041,5.12,0.62,2.976,0.358,1.9
16,9.5,9.56906631179503,0.287,0.273,9.57,0.478,9.45,0.61,3.516,0.214,0.1
26,8.4,8.27298216110041,1.612,1.552,7.49,2.118,7.54,0.73,4.271,0.388,2.3
36,6.5,7.12479544477064,2.057,2.105,6.71,1.14,6.8,0.89,4.714,0.316,1.5
46,4.6,5.18681124584682,3.114,2.977,4.86,2.039,4.89,0.94,5.198,0.437,1.9
56,3.5,3.47240656557953,0.336,0.277,4.58,1.16,4.41,1,5.397,0.449,0.1
66,4.3,4.24407779493956,0.445,0.524,2.85,1.539,2.87,1.06,5.353,0.408,1.5
76,3,2.98420607725473,0.639,0.586,3.36,1.585,3.4,1.13,6.085,0.411,1.9
86,2,1.99786447815384,0.652,0.575,0.73,2.929,0.7,1.27,6.834,0.564,2.9
96,1.8,1.78068975476507,0.535,0.496,3.99,1.657,4.1,1.39,7.139,0.635,0.3
106,1.6,1.5343907923978,0.27,0.242,3.36,3.356,3.47,1.15,6.321,0.878,0.1
116,2,1.90114183879565,0.841,0.864,-1.11,1.489,-1.46,0.91,5.131,0.286,0.1
126,1.4,1.39861897040492,0.656,0.648,0.92,2.627,1.03,1.12,5.572,0.594,2.5
136,1.1,1.0917180950868,0.4,0.362,1.42,1.499,1.6,0.97,5.979,0.406,0.3
146,1,0.985257841570891,0.322,0.34,2.15,1.282,1.91,0.89,6.016,0.372,1.9
6,4,4.04020326064436,1.495,1.443,3.81,2.345,3.88,0.55,2.924,0.414,2.3
16,9.5,9.45555039739582,0.287,0.246,9.84,0.582,10.05,0.65,3.663,0.235,0.3
26,8.4,8.64850028891153,1.612,1.585,7.81,1.494,7.78,0.72,3.485,0.333,0.3
36,6.5,6.61812538066355,2.057,1.737,7.78,2.432,7.92,0.91,3.937,0.491,2.5
46,4.6,4.70540487865326,3.114,2.696,2.64,3.086,2.76,0.93,5.647,0.52,3.1
56,3.5,3.43562375990376,0.336,0.365,6.47,2.036,6.14,1.24,6.215,0.431,0.1
66,4.3,4.27040678865317,0.445,0.447,2.43,0.695,2.14,1.08,5.668,0.427,0.9
76,3,3.13192619216598,0.639,0.73,2.53,2.961,2.44,1.29,6.324,0.449,3.1
86,2,2.2098876057482,0.652,0.602,3.19,2.665,3.38,1.08,6.796,0.619,0.5
96,1.8,1.94347108178262,0.535,0.471,0.72,1.43,0.6,1.04,5.731,0.395,0.5
106,1.6,1.58245303278711,0.27,0.251,1.01,1.227,0.99,0.89,5.543,0.339,0.5
116,2,1.72531008028096,0.841,0.719,2.13,1.621,2.11,1.27,5.439,0.369,1.5
126,1.4,1.32463070560588,0.656,0.58,2.76,3.102,2.42,1.39,6.763,0.532,3.5
136,1.1,1.15381523884962,0.4,0.44,2.09,1.083,2.26,1.33,7.099,0.429,0.9
146,1,1.09614306622113,0.322,0.263,-0.29,2.068,-0.06,1.55,6.888,0.44,0.3
6,4,3.79612189293755,1.495,1.603,4.01,1.153,3.92,0.46,2.82,0.17,1.3
16,9.5,9.5561090975835,0.287,0.244,9.62,0.162,9.43,0.49,3.19,0.273,0.1
26,8.4,8.03793668542997,1.612,1.781,8.45,0.76,8.32,0.38,3.059,0.253,0.1
36,6.5,6.49917402837528,2.057,1.739,5.45,2.57,5.65,0.63,4.03,0.352,2.7
46,4.6,4.63110388329039,3.114,3.013,5.75,1.54,5.61,1.07,4.861,0.385,1.5
56,3.5,3.57745999017719,0.336,0.335,1.96,2.908,1.97,1.03,5.627,0.516,2.9
66,4.3,4.30354383908111,0.445,0.385,6.53,2.142,6.32,1.21,6.076,0.394,0.3
76,3,3.00497642095065,0.639,0.659,1.19,3.627,1.17,1.29,6.942,0.655,3.5
86,2,2.12990824997308,0.652,0.517,2.15,2.878,2.17,1.69,8.049,0.675,3.3
96,1.8,1.82928211825718,0.535,0.51,1.13,3.281,0.92,1.8,8.252,0.796,1.3
106,1.6,1.56217054736582,0.27,0.222,2.78,3.017,2.59,1.18,6.603,0.555,0.1
116,2,1.85981024619648,0.841,0.962,2.27,1.764,2.51,1.25,5.788,0.307,0.5
126,1.4,1.42312704437708,0.656,0.628,2.71,2.483,2.85,1.14,6.009,0.504,2.1
136,1.1,1.12300057676721,0.4,0.526,-0.02,2.227,0.1,1.29,6.903,0.411,2.3
146,1,1.05582984475457,0.322,0.299,0.38,2.955,0.57,1.24,6.625,0.538,0.3
6,4,3.97442111982257,1.495,1.596,3.58,1.596,3.5,0.42,2.599,0.2,1.5
16,9.5,9.56422254546451,0.287,0.278,9.95,1.609,9.75,0.52,3.381,0.295,1.7
26,8.4,8.46038667539106,1.612,1.456,8.36,0.304,8.38,0.76,3.591,0.265,0.3
36,6.5,5.95048634414964,2.057,2.019,6.87,3.328,7.01,0.87,4.949,0.636,3.3
46,4.6,4.25273154972436,3.114,3.692,4.39,0.22,4.46,1.17,5.905,0.416,0.5
56,3.5,3.51483575554782,0.336,0.291,2.53,1.229,2.58,1.32,5.891,0.395,0.1
66,4.3,4.40597562555014,0.445,0.45,5.93,3.374,5.65,1.36,7.001,0.465,3.1
76,3,2.84974493468905,0.639,0.543,0.97,2.896,0.53,1.05,7.678,0.532,0.3
86,2,1.86417226075437,0.652,0.715,2.9,1.708,2.81,1.47,6.504,0.58,0.3
96,1.8,1.82750649593186,0.535,0.536,3.75,4.105,3.58,1.03,7.161,0.731,3.7
106,1.6,1.55497957689523,0.27,0.266,1.21,4.2,1.12,1.44,7.44,0.925,0.3
116,2,2.08576017548858,0.841,0.921,1.59,2.143,1.73,1.16,6.531,0.499,1.9
126,1.4,1.49625025344433,0.656,0.649,-0.81,3.159,-0.77,1.01,5.878,0.556,0.5
136,1.1,1.07810265240927,0.4,0.39,2.11,4.082,1.88,1.06,6.733,0.851,4.3
146,1,0.968565547269094,0.322,0.336,0.85,3.849,1.01,1.3,6.95,0.623,0.3
6,4,4.11393787461437,1.495,1.765,3.83,2.079,3.8,0.57,3.173,0.331,2.3
16,9.5,9.51768194008291,0.287,0.306,9.59,1.042,9.69,0.51,3.72,0.215,0.1
