"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,3.94890067453152,0.234,0.239,3.6,0.908,3.73,0.53,2.967,0.201,0.5
16,9.5,9.81855147169715,1.374,1.75,9.41,1.209,9.42,0.64,3.284,0.276,1.3
26,8.4,8.38312380852168,0.733,0.783,8.99,0.806,8.94,0.74,3.611,0.253,0.5
36,6.5,7.22489684325063,9.176,9.253,8.38,7.139,7.97,1.18,7.821,0.995,4.9
46,4.6,5.75119580044396,4.197,4.05,3.69,3.385,3.53,1.98,10.647,0.704,3.7
56,3.5,3.2222929813954,0.857,0.946,3.41,3.98,3.5,2.11,12.637,1.028,4.3
66,4.3,4.37556898598831,0.536,0.619,2.54,6.954,1.74,1.89,11.001,1.336,0.5
76,3,2.98515104331836,0.159,0.152,0.72,12.688,0.92,3.05,14.879,1.701,4.9
86,2,1.96011457074562,0.425,0.338,4.93,10.539,5.67,3.11,17.308,2.368,1.3
96,1.8,1.83335505621898,0.313,0.293,3.04,10.177,2.6,2.65,16.551,1.593,4.9
106,1.6,1.48947542794447,0.664,0.659,-1.22,5.3,-1.75,3.11,19.178,1.789,4.9
116,2,2.01265732479171,0.136,0.123,4.56,11.873,5.17,3.48,16.616,2.239,0.3
126,1.4,1.40057571914644,0.877,0.842,0.87,2.464,0.79,2.09,12.283,0.618,3.1
136,1.1,1.03337063570921,0.517,0.57,-5.31,8.319,-5.14,2.64,14.63,1.872,4.7
146,1,0.937975814799634,0.415,0.458,7.02,7.971,6.32,3.66,15.256,1.728,0.5
6,4,4.00900630325354,0.234,0.245,5.06,0.926,4.96,0.51,3.125,0.165,1.1
16,9.5,9.20004307304092,1.374,1.128,8.39,1.359,8.31,0.57,2.991,0.243,0.5
26,8.4,8.46189796894439,0.733,0.831,9.16,1.566,9.3,0.53,3.1,0.356,1.5
36,6.5,7.05394330781788,9.176,7.876,8.55,10.33,8.85,1.96,10.503,1.158,4.9
46,4.6,5.36573464853492,4.197,3.339,1.92,2.778,1.59,3.09,15.04,1.061,2.5
56,3.5,3.32988133504499,0.857,0.859,4.48,5.636,4.03,2.06,14.846,1.201,0.1
66,4.3,4.24377610878151,0.536,0.56,2.32,5.145,2.42,2.39,12.166,1.027,0.7
76,3,3.01628452618802,0.159,0.134,5.75,0.657,5.45,1.98,11.213,0.536,0.3
86,2,1.97809589037107,0.425,0.523,3.34,3.582,3.52,2.13,10.428,0.655,0.1
96,1.8,1.82084846628007,0.313,0.285,1.16,6.713,1.32,2.15,11.717,1.508,4.9
106,1.6,1.68472197840436,0.664,0.664,1.56,3.931,1.09,2.49,13.513,0.947,0.9
116,2,1.99015312822084,0.136,0.158,-0.05,4.108,-0.03,2.46,11.791,0.68,1.3
126,1.4,1.48235184488277,0.877,0.871,2.47,4.744,2.66,1.76,12.371,0.938,4.3
136,1.1,1.04426477161972,0.517,0.511,0.75,2.793,0.76,2.48,12.748,0.77,0.9
146,1,1.12004466294884,0.415,0.41,1.66,4.418,1.5,2.22,11.734,0.77,1.1
6,4,3.95419093148702,0.234,0.151,3.2,0.708,3.19,0.54,2.733,0.223,0.9
16,9.5,9.83533844748044,1.374,1.335,9.74,1.511,9.78,0.68,3.142,0.287,1.5
26,8.4,8.47919453476021,0.733,0.609,8.51,1.654,8.65,0.5,3.129,0.263,0.3
36,6.5,5.14258637363854,9.176,10.202,7,6.013,6.62,1.22,6.672,1.02,4.9
46,4.6,5.59713899131204,4.197,4.429,4.19,6.592,4.65,2.19,10.965,1.179,4.9
56,3.5,3.55547397860034,0.857,0.857,6.18,1.319,6.09,2.23,12.366,0.779,1.3
66,4.3,4.51052705959864,0.536,0.535,-1.68,6.678,-1.41,2.39,14.113,1.138,4.9
76,3,3.09729472796589,0.159,0.15,5.45,8.729,5.89,2.73,18.569,1.485,4.9
86,2,1.93320166248943,0.425,0.442,3.99,11.376,3.53,3.49,16.211,2.145,0.7
96,1.8,1.80043067625304,0.313,0.267,0.67,1.721,0.29,2.54,12.021,0.81,0.1
106,1.6,1.68993045158965,0.664,0.696,1.37,3.117,1.42,2.35,12.109,0.932,3.5
116,2,2.02766976725904,0.136,0.119,2.55,3.329,3.11,2.18,11.861,0.735,1.1
126,1.4,1.09550111113766,0.877,0.77,0.51,9.009,0.81,3.07,15.004,1.724,4.9
136,1.1,1.05853166495092,0.517,0.492,3.09,8.227,3.56,3.6,14.492,1.333,1.9
146,1,1.00304866386243,0.415,0.375,-0.43,4.834,0.66,1.95,11.682,1.046,0.7
6,4,3.99984728441226,0.234,0.216,3.23,1.316,3.11,0.43,2.643,0.251,1.3
16,9.5,9.37510165514081,1.374,1.128,10.44,0.907,10.48,0.5,3.011,0.198,0.9
26,8.4,8.52493652858914,0.733,0.689,7.84,1.475,7.75,0.58,3.453,0.303,1.5
36,6.5,7.57695879657766,9.176,8.766,4.78,7.687,4.91,1.64,8.625,1.154,4.9
46,4.6,4.95131921952169,4.197,5.199,3.46,5.185,3.45,2.44,13.037,0.829,4.7
56,3.5,3.41879024489891,0.857,0.889,5.03,5.916,5.33,2.02,12.313,1.224,0.5
66,4.3,4.42747847311862,0.536,0.44,7.02,7.917,7.41,2.95,13.864,1.744,4.9
76,3,2.97385332452268,0.159,0.147,3.79,6.05,3.85,2.61,14.242,1.387,0.3
86,2,2.06842585613503,0.425,0.454,0.9,10.199,1.5,3.46,17.262,1.538,4.7
96,1.8,1.75628722486976,0.313,0.373,2.77,11.069,2.64,2.45,15.968,1.786,1.7
106,1.6,1.78757075269625,0.664,0.563,0.55,1.48,0.07,2.31,11.261,0.588,2.5
116,2,2.02204250234676,0.136,0.16,0.77,6.976,0.42,1.9,13.522,0.917,4.9
126,1.4,1.48138569443543,0.877,1.044,4.85,1.569,4.7,2.96,14.892,1.226,1.7
136,1.1,1.22487580556462,0.517,0.475,-4,1.87,-3.56,3.4,14.895,0.649,1.7
146,1,1.13028903079633,0.415,0.42,2.65,3.118,3.1,2.09,15.262,0.928,1.7
6,4,3.9027979756798,0.234,0.258,4.21,1.393,4.28,0.58,3.359,0.272,0.1
16,9.5,9.37040205498415,1.374,1.468,9.36,1.033,9.42,0.55,2.989,0.221,1.1
26,8.4,8.45504442048842,0.733,0.608,8.63,0.839,8.58,0.63,3.389,0.299,0.9
36,6.5,6.45716240913611,9.176,12.081,2.58,7.681,2.51,1.58,8.162,0.866,4.9
46,4.6,5.22856105754005,4.197,4.655,10.29,2.626,10.34,1.81,11.179,0.925,0.9
56,3.5,3.37623781834611,0.857,0.767,-0.3,4.292,0.31,1.82,11.587,0.978,4.5
66,4.3,4.30377949199059,0.536,0.529,4.04,12.097,3.45,2.87,16.801,1.839,4.9
76,3,2.98583715752801,0.159,0.154,5.82,11.937,5.33,2.95,17.517,2.79,1.1
86,2,1.99140205787097,0.425,0.394,1.56,4.955,1.92,2.07,13.45,0.93,4.7
96,1.8,1.79030546545903,0.313,0.372,3.17,4.699,3.4,3.03,13.285,0.777,0.1
106,1.6,1.78887045775588,0.664,0.723,1.68,2.465,1.58,2.55,12.806,1.021,1.9
116,2,2.01918072333387,0.136,0.151,-1.4,11.344,-0.77,2.43,16.871,1.877,4.7
126,1.4,1.24106613839458,0.877,0.872,4.32,8.649,5.78,3.87,17.978,1.171,0.9
136,1.1,1.01279526216334,0.517,0.496,0.21,9.795,0.51,2.57,13.594,1.44,0.3
146,1,0.876526677726343,0.415,0.435,3.4,5.897,3.26,1.84,11.281,1.145,4.9
6,4,3.96109451787291,0.234,0.289,4.13,0.931,4.23,0.48,2.629,0.159,0.9
16,9.5,9.64358428956092,1.374,1.217,9.75,1.422,9.73,0.6,3.074,0.267,1.5
26,8.4,8.43791787272893,0.733,0.516,8.48,0.895,8.42,0.78,3.397,0.165,0.1
36,6.5,5.90600587696645,9.176,8.859,6.56,7.66,6.73,1.53,8.294,1.208,4.9
46,4.6,3.86662082387408,4.197,4.41,5.14,3.623,5.11,1.71,10.416,0.746,0.3
56,3.5,3.45734876449426,0.857,0.96,2.26,12.577,2.52,3.41,15.481,1.844,4.9
66,4.3,4.43203334774543,0.536,0.423,2.24,12.24,1.61,4.02,16.134,1.859,1.1
76,3,3.00131758574882,0.159,0.141,8.28,3.427,8.33,2.08,10.289,0.9,0.7
86,2,2.06549693961914,0.425,0.466,-2.4,3.522,-2.87,2.19,10.547,0.897,3.3
96,1.8,1.81183533940473,0.313,0.344,6.91,6.765,6.87,1.78,12.937,1.192,4.9
106,1.6,1.70489980801659,0.664,0.644,-5.6,3.545,-6.3,2.12,14.677,1.013,4.3
116,2,2.0096301574768,0.136,0.109,9.5,7.001,8.68,2.99,13.484,1.063,0.1
126,1.4,1.83936936840817,0.877,0.784,-2.03,8.817,-1.98,2.78,14.346,1.489,4.9
136,1.1,1.11506119853905,0.517,0.499,0.45,8.353,0.83,2.77,14.212,1.08,0.1
146,1,1.137507011502,0.415,0.377,2.14,10.504,2.13,2.6,15.937,1.418,4.7
6,4,4.03270340708929,0.234,0.246,3.28,1.777,3.24,0.51,2.902,0.262,0.5
16,9.5,9.66840991625264,1.374,1.621,9.26,1.094,9.25,0.39,2.365,0.234,1.1
26,8.4,8.50256670221833,0.733,0.73,8.58,1.326,8.68,0.54,3.004,0.239,1.1
36,6.5,8.2827279123182,9.176,9.657,8.41,6.347,8.7,1.1,7.394,0.92,4.9
46,4.6,4.90701027760308,4.197,4.533,6.11,5.75,5.54,1.9,11.358,1.036,4.7
56,3.5,3.64367022227825,0.857,0.919,-1.35,2.845,-1.39,2.36,12.629,0.75,1.5
66,4.3,4.38428313103118,0.536,0.552,5.77,1.79,5.83,2.05,13.179,0.801,2.3
76,3,3.02840225996119,0.159,0.174,1.51,4.25,1.54,2.47,13.553,1.013,4.1
86,2,2.00873851871825,0.425,0.386,6.25,2.402,6.43,2.68,14.361,0.988,3.3
96,1.8,1.84216807075924,0.313,0.267,-1.22,5.433,-1.32,2.65,14.134,1.087,1.1
106,1.6,1.68728406562024,0.664,0.562,4.9,4.714,4.89,2.21,12.207,0.828,0.1
116,2,1.9988063252405,0.136,0.132,-5.43,6.382,-5.68,1.97,13.108,1.141,4.9
126,1.4,1.196625496049,0.877,0.816,8.18,3.316,8.54,3.06,14.638,1.095,2.1
136,1.1,1.03513724127096,0.517,0.586,-1.71,6.125,-2.06,2.56,13.75,1.12,0.7
146,1,0.912438392094468,0.415,0.305,4.06,1.187,4.02,2.67,12.274,0.766,1.1
