"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,3.7190156668764,1.419,1.838,3.65,0.953,3.66,0.54,2.84,0.212,1.1
16,9.5,9.49435869494708,0.108,0.11,10.22,0.689,10.05,0.54,2.951,0.185,0.3
26,8.4,8.54520093581247,0.84,0.735,7.53,1.152,7.36,0.51,3.152,0.22,1.3
36,6.5,6.49399717384275,0.95,0.826,6.81,2.233,6.9,0.78,3.918,0.368,2.3
46,4.6,5.64701054753553,6.443,5.757,7.04,4.183,6.91,1.09,6.255,0.652,4.3
56,3.5,3.5951492561702,1.78,1.117,-0.84,2.195,-0.67,1.24,8.038,0.516,2.1
66,4.3,4.28202635924609,0.84,0.87,5.77,3.801,6.22,1.29,8.849,0.729,3.7
76,3,3.06195154291974,0.599,0.458,3.3,3.492,3.24,1.59,9.249,0.824,0.3
86,2,1.98558625568791,0.289,0.226,0.46,4.839,0.28,1.78,9.773,1.001,4.7
96,1.8,1.82889556636586,0.099,0.112,3.66,4.328,3.2,1.66,10.116,0.662,0.1
106,1.6,1.56589723916375,0.214,0.226,1.93,3.551,1.9,1.71,9.518,0.634,3.7
116,2,2.03814650875157,0.765,0.8,1.58,4.206,0.82,2.2,9.316,0.84,1.1
126,1.4,1.63885205334309,0.85,0.835,1.75,2.56,1.48,1.47,8.091,0.659,0.5
136,1.1,1.35165382143596,0.831,0.945,1.73,2.28,1.62,1.06,7.24,0.577,1.1
146,1,1.01377938331618,0.082,0.086,1.68,2.846,1.64,1.16,7.276,0.525,2.9
6,4,3.99362363892433,1.419,1.532,5.04,0.992,5.04,0.67,3.351,0.249,0.9
16,9.5,9.51230118581842,0.108,0.104,9.07,1.632,9.12,0.56,3.218,0.389,0.3
26,8.4,8.50223347800923,0.84,0.673,8.37,1.064,8.37,0.46,2.899,0.197,1.1
36,6.5,6.20959674761948,0.95,0.985,5.42,0.918,5.62,0.56,3.105,0.196,0.7
46,4.6,4.57453546899143,6.443,5.565,5.13,5.103,5.45,1.43,6.125,0.895,4.9
56,3.5,3.1401253172757,1.78,1.547,4.34,6.075,4.07,1.96,10.226,1.123,4.9
66,4.3,4.30290306982005,0.84,0.978,5.3,6.292,5.56,2.03,9.879,1.27,0.1
76,3,2.97613551946087,0.599,0.491,1.83,4.589,1.99,1.57,8.742,0.715,4.7
86,2,2.02256791047148,0.289,0.276,0.72,3.828,0.36,1.47,9.419,0.849,0.9
96,1.8,1.7922920407318,0.099,0.092,1.67,4.185,1.41,1.48,9.441,0.825,3.9
106,1.6,1.62288022662078,0.214,0.221,5.69,2.563,5.39,1.69,9.922,0.694,1.1
116,2,2.0180942881102,0.765,0.893,-0.13,3.283,-0.72,1.77,9.013,0.744,0.7
126,1.4,1.38766008379084,0.85,0.852,1.99,4.528,1.54,1.67,9.441,0.906,4.9
136,1.1,1.05258788466754,0.831,0.838,-0.87,1.558,-1.33,1.65,10.03,0.729,0.3
146,1,1.00158824400531,0.082,0.072,-0.16,3.093,0.27,1.79,9.807,0.68,1.1
6,4,4.21753576288145,1.419,1.761,4.91,2.083,4.99,0.44,2.824,0.397,2.1
16,9.5,9.50017009874287,0.108,0.08,8.93,1.468,8.96,0.62,3.222,0.287,0.1
26,8.4,8.63149026214419,0.84,0.831,7.38,1.975,7.35,0.57,3.305,0.378,1.9
36,6.5,6.73837770255679,0.95,0.82,7.01,0.832,7.06,0.96,4.012,0.234,0.5
