"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,3.83023746550888,1.454,1.34,3.3,0.702,3.08,0.47,2.599,0.169,0.7
16,9.5,9.54827334877138,0.365,0.282,9.53,1.754,9.52,0.55,3.057,0.251,1.7
26,8.4,8.64484839937809,5.538,6.392,8.74,6.663,8.24,1.54,7.916,1.198,4.9
36,6.5,5.47437321348457,4.296,3.649,7.84,5.21,8.61,1.96,8.519,0.781,1.7
46,4.6,4.25237392932346,1.304,1.33,5.88,2.772,5.65,1.22,7.438,0.538,2.7
56,3.5,3.53772194242726,0.298,0.259,1.55,5.849,1.51,1.7,9.61,1.196,4.9
66,4.3,4.29865798915354,0.103,0.08,4.65,2.279,4.82,2.23,11.354,0.809,2.1
76,3,3.04820585035929,1.338,1.346,5.52,3.684,4.67,2.07,11.077,0.812,1.5
86,2,1.9071584019342,0.513,0.455,-0.46,1.852,-0.66,2.04,11.172,0.775,1.7
96,1.8,1.78989181106074,0.272,0.254,1.23,3.616,1.42,2.06,10.077,0.7,0.1
106,1.6,1.52590692307618,0.409,0.388,4.11,1.561,3.8,1.53,9.806,0.703,2.5
116,2,1.9109632462671,0.469,0.508,0.05,7.2,0.22,2,12.584,1.398,4.9
126,1.4,1.46167829669166,0.293,0.309,1.89,8.014,1.69,2.11,11.652,1.375,1.9
136,1.1,1.08865127573294,0.421,0.401,-3.48,6.754,-3.72,2.15,10.851,1.29,4.9
146,1,1.02576024352683,0.735,0.696,4.53,5.295,4.66,2.45,12.056,0.873,0.1
6,4,3.73413004319133,1.454,1.558,4.24,0.902,4.27,0.47,2.936,0.217,0.9
16,9.5,9.50020033534032,0.365,0.479,8.78,0.695,8.6,0.51,2.894,0.208,0.1
26,8.4,8.53480418600906,5.538,5.529,9.28,6.685,9.36,1.4,7.252,0.791,4.9
36,6.5,7.03265468904234,4.296,4.271,5.57,2.746,5.9,1.59,10.052,0.691,3.1
46,4.6,4.67002783610282,1.304,1.027,4.51,3.825,4.44,1.73,9.778,0.913,0.1
56,3.5,3.56507198825329,0.298,0.328,4.75,3.096,4.91,1.51,8.711,0.751,1.1
66,4.3,4.27495967215816,0.103,0.104,2.4,5.064,2.65,1.5,9.489,0.879,4.7
76,3,3.41715379467524,1.338,1.49,3.86,5.574,4.09,1.47,9.484,1.019,0.7
86,2,1.96054040742598,0.513,0.486,0.53,1.268,0.68,1.24,7.299,0.371,0.3
96,1.8,1.84989456541623,0.272,0.217,3.62,2.532,3.46,1.42,7.71,0.611,2.9
106,1.6,1.61950098288547,0.409,0.424,6.89,5.767,6.8,1.64,9.712,1.313,4.9
116,2,2.02755315808349,0.469,0.45,-2.7,6.144,-2.42,1.85,9.628,1.11,1.1
126,1.4,1.38894439155211,0.293,0.236,0.34,4.367,0.21,1.76,8.412,0.755,4.1
136,1.1,1.02615064659031,0.421,0.466,4.13,0.7,3.71,1.76,9.593,0.576,1.3
146,1,0.915160231351531,0.735,0.719,-3.86,3.789,-4.12,1.79,8.373,0.884,0.1
6,4,4.09495731093644,1.454,1.282,3.81,0.466,3.95,0.39,2.714,0.215,0.1
16,9.5,9.47320196664151,0.365,0.339,9.77,1.742,10.11,0.54,3.299,0.299,1.3
26,8.4,7.80421360140903,5.538,5.08,8.41,3.584,8.47,0.83,5.247,0.506,3.5
36,6.5,6.66012091685413,4.296,3.896,8.74,3.35,8.95,1.43,7.027,0.523,3.5
46,4.6,4.54008736641059,1.304,1.385,0.66,3.586,0.97,1.32,8.641,0.598,3.5
56,3.5,3.53038122864941,0.298,0.19,5.34,4.362,5.77,1.52,10.055,0.74,4.5
66,4.3,4.2565318237038,0.103,0.101,4.13,1.99,3.62,1.91,11.021,0.784,1.3
76,3,3.28988030587132,1.338,1.291,2.12,4.143,2.07,2.42,11.554,0.75,4.1
86,2,2.06782882347725,0.513,0.541,4.55,4.207,4.36,2.16,11.608,0.665,0.9
96,1.8,1.77363185275508,0.272,0.249,1.85,2.621,1.52,1.84,10.977,0.673,1.7
106,1.6,1.58842968537001,0.409,0.445,0.26,5.919,-0.16,2.11,9.887,0.974,0.9
116,2,2.08578682604125,0.469,0.455,3.76,5.423,3.76,1.93,9.225,1.012,4.9
126,1.4,1.36258554342859,0.293,0.308,1.71,2.588,1.14,1.87,10.684,0.576,1.3
136,1.1,1.11699518450105,0.421,0.47,-0.34,2.969,-0.56,1.55,9.654,0.756,0.1
146,1,1.21407655629033,0.735,0.565,1.84,3.453,2.03,1.45,8.528,0.648,0.3
6,4,4.65082092219752,1.454,1.259,3.22,1.269,3.32,0.41,2.532,0.293,0.1
16,9.5,9.52775073811255,0.365,0.369,9.49,1.79,9.62,0.58,2.713,0.296,1.9
26,8.4,9.26770998172013,5.538,5.166,8.01,5.535,8.23,1.25,6.337,0.998,4.9
36,6.5,7.23781315104787,4.296,3.588,6.63,6.563,6.94,2.07,10.771,1.37,4.9
46,4.6,4.47854277720538,1.304,1.03,4.13,4.676,3.84,2.06,11.736,0.945,0.3
56,3.5,3.45851112961741,0.298,0.255,5.88,4.241,5,1.51,9.912,0.689,0.5
66,4.3,4.32868114675491,0.103,0.121,1.81,3.655,2.22,1.81,9.713,0.862,3.1
76,3,2.88950372053117,1.338,1.172,6.79,2.965,7.23,1.59,9.729,0.697,0.5
86,2,1.85044974873142,0.513,0.568,-1.44,4.258,-1.7,1.74,8.219,0.72,0.1
96,1.8,1.75258153649174,0.272,0.25,5.28,3.374,5.78,1.59,7.863,0.595,3.3
106,1.6,1.55009614211901,0.409,0.318,-1.71,6.181,-1.37,1.64,10.669,1.186,4.9
116,2,2.12317542309877,0.469,0.386,3.83,6.956,3.65,1.78,9.971,0.932,0.1
126,1.4,1.40624168259983,0.293,0.353,2.06,3.283,2.04,1.4,8.054,0.506,3.3
136,1.1,1.10955077283513,0.421,0.341,0.97,3.276,1.29,1.43,8.049,0.625,0.3
146,1,0.860623065969756,0.735,0.797,0.19,4.604,0.61,1.61,8.508,0.886,4.3
6,4,4.13542730465035,1.454,1.264,4.08,1.902,4.01,0.51,3.272,0.298,1.9
