"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,3.8980058622699,0.276,0.277,3.72,0.331,3.76,0.53,2.621,0.153,0.3
16,9.5,9.56797222231243,0.26,0.259,10.2,1.374,10.09,0.57,2.958,0.253,1.5
26,8.4,8.11544458522836,2.928,2.713,7.75,0.937,7.61,0.56,3.357,0.282,0.7
36,6.5,5.98109649182798,2.221,1.963,4.6,2.354,4.72,0.71,4.227,0.418,2.5
46,4.6,2.76145100644973,11.452,12.521,5.13,12.645,5.64,2.34,13.518,1.797,4.9
56,3.5,3.46857281754184,2.126,2.148,10.61,4.958,10.16,2.42,17.928,1.265,0.1
66,4.3,4.55406166467794,0.677,0.789,3.74,2.177,4.23,2.8,16.963,1.137,0.1
76,3,2.93617378724822,0.845,0.856,-1.29,7.466,-1.63,3.17,15.071,1.262,0.3
86,2,2.05992924133844,0.174,0.187,2.29,2.572,2.65,2.55,13.979,0.947,2.5
96,1.8,2.4178217146905,1.567,1.643,6.55,7.87,6.4,2.59,16.264,1.224,4.9
106,1.6,1.71706593678614,2.138,2.175,2.09,9.601,1.78,2.6,15.269,1.648,1.3
116,2,1.82297942770648,0.858,0.939,-1.39,4.992,-1.69,2.08,12.794,1.1,4.9
126,1.4,0.754704122607242,2.697,2.223,0.86,7.345,1.23,2.76,15.08,1,4.9
136,1.1,1.07361013009685,0.309,0.205,0.63,8.444,0.46,2.59,15.118,1.503,0.7
146,1,0.988041616105418,0.33,0.283,-2.51,5.57,-2.84,2.52,13.463,1.087,4.7
6,4,4.01922592033164,0.276,0.25,3.39,1.203,3.4,0.39,2.544,0.245,0.1
16,9.5,9.46939726576127,0.26,0.257,9.63,1.308,9.71,0.41,2.659,0.233,1.3
26,8.4,8.56598181433614,2.928,3.155,9.22,3.235,9.08,0.79,4.258,0.445,3.1
36,6.5,6.71316427504702,2.221,2.207,7.19,2.196,7.14,0.91,5.653,0.434,2.3
46,4.6,2.48149490795803,11.452,10.825,4.09,10.986,4.38,2.28,12.597,1.657,4.9
56,3.5,3.76798618964634,2.126,2.423,1.69,6.315,2.05,2.85,16.033,1.027,1.7
66,4.3,4.44067824786495,0.677,0.734,8.24,3.672,8.78,2.71,13.931,0.922,0.3
76,3,2.87364182922377,0.845,0.963,4.66,4.499,4.63,2.44,13.638,0.882,4.3
86,2,1.98593293484984,0.174,0.227,0.08,5.789,0.77,2.79,15.213,1.461,4.9
96,1.8,1.70225022742177,1.567,1.458,-2.81,7.923,-3.28,2.55,14.847,1.508,2.1
106,1.6,1.34215731716616,2.138,2.311,3.23,5.981,3.41,2.57,13.613,1.214,4.9
