"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,4.02158068713103,1.004,0.863,4.03,0.727,4.07,0.59,2.841,0.148,0.5
16,9.5,9.48466475649999,0.748,0.768,9.35,0.894,9.35,0.54,2.791,0.197,0.1
26,8.4,8.4097033060677,0.747,0.582,9.34,0.549,9.23,0.5,2.774,0.174,0.3
36,6.5,6.64047715045517,1.114,1.207,7.14,1.464,7.16,0.49,3.007,0.269,1.5
46,4.6,4.6503900544475,1.42,1.559,3.03,2.678,3.13,0.96,4.478,0.539,2.5
56,3.5,3.61991612390276,0.477,0.418,3.87,1.879,3.91,0.84,4.75,0.316,0.1
66,4.3,4.27540109562646,0.092,0.096,3.94,0.895,3.75,0.71,4.448,0.363,1.1
76,3,3.18461348562639,0.661,0.691,2.87,1.125,2.85,0.7,4.411,0.347,0.1
86,2,2.20307237029831,0.911,0.871,1.78,1.665,1.75,0.96,4.563,0.281,1.7
96,1.8,1.61785341338696,0.992,0.955,2.36,2.177,2.04,0.82,4.504,0.414,0.3
106,1.6,1.53040087634126,0.256,0.29,1.81,1.614,1.87,0.87,4.033,0.305,1.7
116,2,1.78655534262202,0.852,0.829,2.88,1.283,2.84,0.79,4.63,0.3,1.1
126,1.4,1.31972193864506,0.517,0.44,0.91,1.723,1.03,1.36,5.016,0.31,1.7
136,1.1,1.19169117766511,0.97,0.94,0.7,1.739,0.97,0.92,5.024,0.308,0.5
146,1,0.887929131309346,0.347,0.268,1.97,1.71,2.01,0.8,4.97,0.443,1.3
6,4,3.89530689697538,1.004,0.946,4.18,1.233,4.47,0.55,3.088,0.177,0.5
16,9.5,9.61853117817698,0.748,0.881,8.86,0.504,8.92,0.62,2.855,0.167,0.3
26,8.4,8.53075985405829,0.747,0.751,8.53,0.49,8.64,0.43,2.919,0.183,0.3
36,6.5,6.5413727258009,1.114,1.041,6.45,0.681,6.56,0.55,3.082,0.173,0.7
46,4.6,4.65966473923228,1.42,1.43,5.05,2.32,5.02,0.73,3.889,0.39,2.3
56,3.5,3.57045318106058,0.477,0.585,3.42,1.371,3.6,0.87,4.213,0.275,0.3
66,4.3,4.28880144692259,0.092,0.103,4.73,1.984,4.6,0.71,4.715,0.463,1.9
76,3,3.18475030093645,0.661,0.627,2.5,1.366,2.52,0.68,4.85,0.314,0.3
86,2,2.27091496793068,0.911,1.021,1.87,1.333,1.72,0.69,4.525,0.336,0.1
96,1.8,1.80564836687818,0.992,0.945,2.49,1.165,2.55,0.91,4.013,0.263,0.1
106,1.6,1.6066506950791,0.256,0.307,1.06,1.668,1.1,0.71,3.992,0.372,1.9
116,2,2.23629133609329,0.852,0.722,2,2.613,2.31,1.08,5.265,0.663,2.7
126,1.4,1.39080162612468,0.517,0.466,1.91,2.425,2.04,1.22,5.981,0.543,2.3
136,1.1,0.884678190348918,0.97,1.049,0.86,3.899,0.72,1.13,5.487,0.657,0.1
146,1,1.02052051359443,0.347,0.315,1.38,2.65,1.23,0.82,4.66,0.526,2.7
6,4,3.93710534929673,1.004,1.001,3.73,1.517,3.75,0.35,2.838,0.292,1.5
16,9.5,9.62430348739153,0.748,0.752,9.75,1.214,9.66,0.65,2.962,0.247,0.1
26,8.4,8.13872264817352,0.747,0.642,8.5,1.067,8.63,0.49,2.758,0.199,1.1
36,6.5,6.49156069110085,1.114,1.193,6.81,1.816,6.86,0.65,3.487,0.298,1.9
46,4.6,4.31890819824178,1.42,1.406,4.72,2.737,4.8,0.82,4.634,0.57,2.7
