"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.639,4.02,0.695,4.02,0.13,2.786,0.056,0.9
16,9.5,0.251,9.5,0.341,9.49,0.13,2.885,0.039,0.5
26,8.4,0.665,8.39,0.748,8.39,0.13,2.968,0.07,0.7
36,6.5,2.628,6.32,2.606,6.35,0.22,4.039,0.104,2.5
46,4.6,10.248,5.01,10.485,5.11,0.57,11.462,0.345,4.9
56,3.5,2.387,3.1,4.072,3.21,0.64,16.126,0.235,3.7
66,4.3,0.617,4.16,1.643,4.04,0.78,16.657,0.21,1.3
76,3,0.503,2.88,1.234,2.98,0.6,16.8,0.202,1.1
86,2,0.206,2.01,0.41,1.97,0.85,16.888,0.27,0.1
96,1.8,1.233,2.42,3.692,2.36,0.69,16.509,0.303,1.9
106,1.6,0.68,1.46,2.002,1.48,0.67,16.077,0.249,0.3
116,2,1.338,1.9,1.729,2.01,0.81,16.408,0.251,2.5
126,1.4,1.232,1.51,1.462,1.61,0.8,16.569,0.272,1.1
136,1.1,1.478,1.5,2.882,1.5,0.63,16.5,0.238,1.3
146,1,0.254,1,0.184,1.09,0.66,16.185,0.194,0.7
