"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,3.89594812979243,0.849,0.923,5.16,0.787,5.07,0.39,2.207,0.165,0.9
16,9.5,8.81862994303476,2.486,2.195,8.46,2.944,8.5,0.64,3.758,0.369,3.1
26,8.4,8.38234029986972,0.461,0.496,7.94,0.709,7.9,0.97,4.754,0.266,0.7
36,6.5,7.17141081817069,1.855,1.568,6.7,1.185,6.68,0.88,4.743,0.343,0.1
46,4.6,4.37512039761897,1.241,1.199,5.68,3.65,5.59,1.04,5.695,0.621,3.9
56,3.5,3.02058770262237,3.627,3.96,4.47,1.122,4.62,1.55,7.105,0.412,1.3
66,4.3,4.28327746219617,0.292,0.326,0.93,1.58,0.71,0.9,6.944,0.395,0.9
76,3,2.79330558477579,0.487,0.456,4.97,3.1,4.83,1.29,7.241,0.628,3.1
86,2,2.01319032999625,0.554,0.362,2.2,3.228,2.52,1.57,7.43,0.706,0.7
96,1.8,1.77950740846297,0.176,0.163,1.56,3.487,1.37,1.13,7.179,0.688,3.3
106,1.6,2.50664032546323,3.419,3.693,1.03,3.564,0.97,1.77,9.421,0.668,3.7
116,2,2.09537084256088,1.763,1.71,-0.48,2.498,0.12,2.06,9.065,0.6,0.7
126,1.4,1.37794336494379,0.592,0.705,4.35,5.374,4.29,1.84,10.349,0.848,4.9
136,1.1,1.09252395320311,0.489,0.516,0.7,5.143,0.46,1.49,10.244,1.083,0.7
146,1,0.836884324595361,0.504,0.572,1.68,4.043,1.95,1.47,8.182,0.723,0.7
6,4,3.96511443026913,0.849,0.806,4.47,1.331,4.35,0.65,3.035,0.248,0.3
16,9.5,8.94998998175437,2.486,2.277,10.1,3.526,10.01,0.72,4.359,0.466,3.5
26,8.4,8.21126681835369,0.461,0.412,7.14,1.764,7.08,0.94,5.36,0.344,0.7
36,6.5,6.3313943816548,1.855,1.891,6.29,0.828,6.35,0.9,5.196,0.34,0.7
46,4.6,4.95540036881113,1.241,1.135,6.62,1.868,6.92,0.8,4.884,0.396,0.3
56,3.5,3.52489031045549,3.627,3.743,2.26,4.54,2.29,1.08,6.256,0.76,4.7
66,4.3,4.41795236313151,0.292,0.319,5.23,0.843,5.33,1.55,8.075,0.554,1.1
76,3,3.13080823401311,0.487,0.412,1.47,3.395,1.44,1.44,7.448,0.529,0.1
86,2,1.99165788712977,0.554,0.668,1.43,4.198,1.78,1.35,7.031,0.679,4.3
96,1.8,1.78705526283987,0.176,0.153,4.34,3.841,3.89,1.66,7.745,0.681,1.3
106,1.6,1.79229621920454,3.419,3.3,0.35,6.603,0.81,1.81,9.419,1.123,4.9
116,2,2.13262052908473,1.763,1.56,1.93,4.467,1.6,2.02,10.639,0.743,1.3
126,1.4,1.42933221743983,0.592,0.642,1.98,3.456,1.98,1.46,8.889,0.622,0.3
136,1.1,1.08788577483719,0.489,0.471,0.86,1.196,0.07,1.5,8.311,0.489,2.1
146,1,0.938615218278985,0.504,0.497,0.57,0.51,0.57,1.52,8.153,0.46,0.3
6,4,3.96256585858496,0.849,0.944,4.03,1.275,4.15,0.51,3.071,0.199,1.1
16,9.5,9.03509130304654,2.486,2.436,9.84,3.111,9.85,0.88,4.52,0.46,2.9
26,8.4,8.28967378632714,0.461,0.347,8.79,2.159,8.6,0.91,5.26,0.468,0.3
36,6.5,6.26775187971934,1.855,2.067,6.95,1.622,7.03,0.65,4.738,0.353,1.5
46,4.6,4.81344453521122,1.241,1.351,4.25,1.431,4.56,0.92,4.804,0.326,0.3
56,3.5,4.32326283464546,3.627,3.055,3.32,4.543,3.53,1.06,6.519,0.841,4.3
66,4.3,4.27361385908803,0.292,0.301,3.15,4.305,2.92,1.46,9.206,0.709,4.1
76,3,3.02137107016723,0.487,0.54,3.58,4.096,3.91,1.69,9.007,0.823,0.1
86,2,1.98938096906556,0.554,0.67,2.72,3.995,2.87,1.05,7.305,0.515,0.1
96,1.8,1.77693661213455,0.176,0.215,1.49,3.749,1.71,1.41,7.118,0.582,3.9
106,1.6,2.81636047409534,3.419,3.07,-0.22,2.064,-0.12,1.59,8.018,0.565,2.1
116,2,1.93385946214163,1.763,1.767,5,3.567,5.46,1.53,9.212,0.586,3.7
126,1.4,1.39235642300946,0.592,0.748,0.48,3.842,1.04,1.59,9.054,0.653,0.3
136,1.1,1.1056888095738,0.489,0.384,0.72,4.533,0.74,1.48,9.234,0.722,4.5
146,1,1.10172701827779,0.504,0.508,0.41,2.588,-0.22,1.92,10.203,0.618,1.1
6,4,3.72290087588171,0.849,0.736,5.01,0.755,5.12,0.43,2.718,0.195,0.3
16,9.5,10.092453818155,2.486,2.531,8.81,3.109,8.93,0.74,4.15,0.508,3.1
26,8.4,8.30488001877886,0.461,0.404,7.59,2.075,7.95,0.55,4.833,0.357,0.5
36,6.5,7.1039485808802,1.855,1.779,6.77,1.595,6.89,0.87,4.381,0.304,1.5
46,4.6,4.23129995020352,1.241,1.351,4.44,1.19,4.36,0.93,4.738,0.35,1.1
56,3.5,3.21654167126345,3.627,3.931,5.6,4.546,5.3,1.18,6.744,0.696,4.7
66,4.3,4.22099245043234,0.292,0.257,1.13,2.145,1.24,1.32,7.844,0.451,0.5
76,3,2.9476868455576,0.487,0.495,5.93,1.59,6.23,1.37,7.561,0.477,0.1
86,2,2.15027208601325,0.554,0.534,-0.6,2.639,-0.56,1.58,8.699,0.653,2.3
96,1.8,1.76158724902774,0.176,0.156,4.98,1.512,4.82,1.7,8.913,0.462,0.3
106,1.6,2.22128886533723,3.419,3.55,-0.93,2.823,-1.38,1.63,9.362,0.694,2.9
116,2,2.30544507274058,1.763,1.558,5.48,3.043,5.61,1.5,9.19,0.71,1.3
126,1.4,1.61797171489496,0.592,0.693,-0.02,4.209,-0.15,1.69,7.545,0.86,0.5
136,1.1,1.12267869381001,0.489,0.462,-4.27,8.615,-4.54,1.59,10.965,1.654,4.9
146,1,0.950184695885399,0.504,0.537,5.77,4.722,5.59,2.05,13.059,1.176,0.1
6,4,3.7563619855706,0.849,0.885,4.62,0.682,4.54,0.58,3.018,0.251,0.5
16,9.5,9.54803352378826,2.486,2.75,8.27,1.788,8.21,0.59,3.519,0.348,1.7
26,8.4,8.33761950254613,0.461,0.429,9.49,1.184,9.51,0.55,3.765,0.253,0.1
36,6.5,6.23402146232511,1.855,2.002,7.87,1.589,7.86,0.7,3.902,0.273,1.3
46,4.6,5.41712037599714,1.241,1.264,3.1,2.61,2.96,1.06,5.067,0.476,2.7
