"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,3.99204691978285,0.296,0.365,4.32,1.622,4.2,0.65,2.943,0.29,1.7
16,9.5,9.5295521081797,0.21,0.198,9.84,1.182,9.97,0.57,3.114,0.271,0.3
26,8.4,8.67471453245433,1.287,1.111,7.9,1.032,7.92,0.47,3.014,0.199,1.1
36,6.5,6.21017227298115,7.711,9.007,6.43,6.369,6.31,1.41,7.201,0.841,4.9
46,4.6,5.03744051568754,2.259,2.384,6.1,2.451,6.58,1.68,9.703,0.619,1.3
56,3.5,2.97723774424777,1.769,2.113,4.77,3.427,4.76,1.85,10.63,0.928,3.1
66,4.3,4.30406167629381,0.344,0.286,5.57,3.579,5.52,2.51,11.192,0.806,3.9
76,3,3.00822603889093,0.101,0.1,0.49,4.726,1.2,2.02,11.138,1.043,1.3
86,2,2.47024696697458,1.937,1.92,3.6,4.618,3.39,1.42,9.161,0.756,0.3
96,1.8,1.88599051367362,0.303,0.252,-1.58,3.692,-1.12,1.5,8.95,0.83,3.7
106,1.6,1.83711348386516,0.744,0.871,5.41,5.521,5.08,2.23,11.526,1.032,4.9
116,2,2.0254014154802,0.846,0.752,-3.92,1.864,-4.42,2.53,12.32,0.89,2.7
126,1.4,1.32927956601746,2.239,1.603,4.72,5.654,5.41,1.92,11.905,1.08,1.1
136,1.1,1.23263393252794,0.872,0.886,2.49,3.93,2.46,1.84,10.742,0.766,4.1
146,1,0.952246644967674,0.858,0.915,-0.97,5.29,-0.8,1.99,10.106,0.791,1.1
6,4,4.0062166018735,0.296,0.229,3.47,0.317,3.54,0.53,2.53,0.176,0.3
16,9.5,9.54815628570718,0.21,0.256,10.13,0.457,10.15,0.41,2.443,0.158,0.1
26,8.4,8.76513545671998,1.287,0.964,8.62,1.025,8.54,0.46,2.597,0.238,0.9
36,6.5,5.74106217713559,7.711,9.676,7.03,5.487,6.92,1.3,6.422,0.809,4.9
46,4.6,5.07083522314587,2.259,2.139,4.02,2.198,3.81,1.89,7.91,0.556,0.5
56,3.5,3.27180115220286,1.769,1.698,2.29,5.536,1.83,1.7,9.619,1.131,4.9
66,4.3,4.31509761285102,0.344,0.274,5.24,4.592,4.53,1.83,9.885,0.894,0.3
76,3,2.96739409999558,0.101,0.084,3.62,4.901,3.89,1.85,10.314,0.91,4.7
86,2,2.16848380609305,1.937,1.958,4.52,3.493,5.02,2.16,11.535,0.807,3.3
96,1.8,1.78233491734577,0.303,0.29,-0.53,1.625,-0.36,2.79,11.625,0.799,1.3
106,1.6,1.99450847022841,0.744,0.803,0.99,5.285,0.89,2.34,10.773,1.006,0.3
116,2,1.88888657021901,0.846,0.962,3.43,0.421,3.31,1.66,9.199,0.585,1.5
126,1.4,1.42148109494158,2.239,2.32,3.84,6.002,4.21,1.81,10.688,0.958,4.9
136,1.1,1.32433442534795,0.872,1.051,-5.59,5.258,-4.88,2.35,11.25,0.956,0.1
146,1,1.22205059398974,0.858,0.832,3.61,4.42,3.35,2.03,11.044,1.025,4.3
6,4,3.96491962837199,0.296,0.326,3.96,0.952,4.03,0.5,2.813,0.193,0.1
16,9.5,9.49588231098025,0.21,0.192,9.72,1.229,9.65,0.53,2.973,0.259,1.1
26,8.4,8.67297867389165,1.287,1.192,7.84,1.028,7.74,0.56,3.325,0.229,0.9
36,6.5,5.65647514644358,7.711,8.298,8.78,5.788,9.13,1.16,6.953,0.835,4.9
46,4.6,4.22863469422903,2.259,2.283,2.54,6.64,2.95,2.12,10.753,1.339,4.9
56,3.5,3.44587230221134,1.769,1.877,3.93,3.649,3.7,2.55,11.926,0.788,1.1
66,4.3,4.27695666848125,0.344,0.288,4.15,5.738,3.84,1.74,10.82,1.419,2.1
76,3,2.97230754453186,0.101,0.107,4.23,5.331,4.58,2.17,10.289,0.948,4.7
86,2,1.84676151553523,1.937,1.689,0.23,1.832,0.04,2.41,11.113,0.618,1.1
96,1.8,1.76918896074596,0.303,0.289,3.64,2.847,2.93,1.81,10.624,0.516,1.3
106,1.6,1.48425754340989,0.744,0.809,1.07,5.066,0.33,1.84,11.555,1.005,4.3
116,2,1.899406320843,0.846,0.796,2.91,4.684,2.47,2,11.799,0.881,0.7
126,1.4,1.44799284544523,2.239,1.906,2.38,3.232,2.4,1.99,11.191,0.651,3.1
136,1.1,1.22950703054734,0.872,1.028,-2.23,3.314,-2.13,2.24,12.115,0.769,3.7
146,1,1.00636895598042,0.858,0.767,3.71,1.951,4.12,2.35,12.68,0.663,1.1
6,4,3.98089037799689,0.296,0.323,4.22,1.713,4.3,0.43,2.772,0.269,0.1
16,9.5,9.51598187447578,0.21,0.182,9.27,1.032,9.32,0.45,2.37,0.164,1.1
26,8.4,8.51673439252338,1.287,1.636,7.87,1.288,7.98,0.61,2.756,0.229,1.3
36,6.5,5.16482974377016,7.711,7.873,4.24,5.661,4.48,0.97,6.39,0.743,4.9
46,4.6,4.90810508478204,2.259,2.042,6.97,1.196,7.22,1.61,8.744,0.61,1.5
56,3.5,3.81217315318953,1.769,1.65,3.86,6.955,3.22,1.73,11.093,1.191,4.9
66,4.3,4.38313569261124,0.344,0.325,4.41,6.866,4.59,2.31,10.619,1.015,0.7
76,3,2.98113165205096,0.101,0.108,1.12,4.792,1.42,1.85,10.069,0.826,4.7
86,2,1.76057874958757,1.937,1.824,6.17,4.47,6.02,2.06,12.172,0.835,4.3
96,1.8,1.82380211875601,0.303,0.19,0.19,5.769,0.31,2.15,11.401,0.845,0.9
106,1.6,1.4406967024868,0.744,0.678,1.24,1.602,1.55,1.65,9.997,0.556,0.9
116,2,2.01553745823957,0.846,1.024,1.61,6.315,1.43,1.93,11.939,1.18,4.7
126,1.4,1.55759006246672,2.239,2.073,1.94,5.216,2.15,1.83,12.298,0.881,0.5
136,1.1,0.843854778132826,0.872,0.867,-0.15,5.031,-0.43,2.29,12.42,0.902,4.7
146,1,0.932782017308138,0.858,0.751,1.95,4.592,1.57,2.33,12.758,1.476,0.9
6,4,4.06470226547169,0.296,0.243,3.3,0.922,3.29,0.51,2.652,0.183,0.9
16,9.5,9.46042068956112,0.21,0.175,9.68,0.95,9.62,0.48,2.629,0.188,0.1
26,8.4,8.37453962280317,1.287,1.403,7.84,1.864,7.85,0.55,2.919,0.322,1.9
36,6.5,9.6661267452943,7.711,6.38,6.17,5.297,6.21,1.27,6.262,0.811,4.9
46,4.6,4.08977667318377,2.259,1.893,4.93,5.559,4.86,1.81,9.673,0.744,4.9
56,3.5,3.40470543606472,1.769,1.668,3.92,0.979,4.39,2.34,11.215,0.558,0.9
66,4.3,4.19212970120015,0.344,0.315,3.66,2.372,3.56,1.58,11.217,0.736,1.3
76,3,3.01223775416093,0.101,0.099,5.33,2.355,5.18,2.27,10.762,0.702,2.1
86,2,1.88474874392535,1.937,2.205,0.75,2.646,0.34,2.12,11.275,0.644,2.3
96,1.8,1.76394436503967,0.303,0.306,1.08,1.386,1.07,1.96,11.897,0.687,1.3
106,1.6,1.54122037352935,0.744,0.695,4.87,5.8,5.03,1.98,9.977,1.044,0.7
116,2,1.91898422616258,0.846,0.864,3.7,4.797,3.27,2.1,10.095,0.715,4.7
126,1.4,1.10752411046616,2.239,2.346,-2.25,5.006,-1.55,2.4,12.34,0.904,4.5
136,1.1,1.12901525273015,0.872,0.816,-0.55,5.266,-0.83,2.52,12.015,1.202,0.5
146,1,0.989224479080046,0.858,0.826,3.95,6.726,4.29,2.78,12.451,1.22,4.9
6,4,3.99178310581287,0.296,0.232,4.15,1.356,4.11,0.55,3.144,0.247,0.1
16,9.5,9.49013066699802,0.21,0.213,9.02,0.879,8.88,0.53,2.749,0.159,0.5
26,8.4,8.63190734571763,1.287,1.391,8.94,0.513,8.96,0.41,2.594,0.142,0.7
36,6.5,5.48255181430038,7.711,8.793,7.46,7.75,7.37,1.14,8.231,0.992,4.9
46,4.6,4.75310859778852,2.259,2.421,3.69,1.368,3.76,1.76,11.148,0.693,0.3
56,3.5,3.48525689631023,1.769,1.786,4.05,2.891,4.38,1.51,11.493,0.895,3.1
66,4.3,4.27372765535055,0.344,0.338,3.42,4.327,3.21,1.81,10.437,1.085,0.9
76,3,3.01724745146465,0.101,0.093,3.18,3.461,3.03,2.01,10.591,0.844,3.5
86,2,2.07794079974155,1.937,2.071,1.15,5.005,1.27,1.74,11.954,0.913,4.7
96,1.8,1.8169187806026,0.303,0.28,1.48,7.104,2.3,2.27,10.666,1.208,0.9
106,1.6,1.79411447003609,0.744,0.827,4.75,1.671,4.38,1.42,8.857,0.644,2.5
116,2,2.0572301418794,0.846,0.885,-1.98,3.452,-1.68,2.01,9.31,0.632,3.5
126,1.4,0.805174745578234,2.239,1.947,4.46,7.943,4.26,2.28,12.346,1.724,4.7
136,1.1,1.02498954924185,0.872,0.833,1.85,6.929,1.3,2.73,13.366,1.19,1.1
146,1,0.994349352440009,0.858,0.618,-1.55,3.578,-0.72,2.13,11.074,0.84,0.5
6,4,4.0156221098616,0.296,0.23,4.4,0.495,4.48,0.51,2.504,0.188,0.3
16,9.5,9.502522623972,0.21,0.197,8.73,1.404,8.86,0.4,3.004,0.31,1.3
26,8.4,8.45022111251625,1.287,1.154,8.59,1.196,8.48,0.61,3.058,0.247,0.1
36,6.5,8.7774126633731,7.711,6.897,5.23,6.554,4.65,1.18,6.931,0.858,4.9
46,4.6,5.07700075926495,2.259,2.341,7.21,3.324,7.51,1.73,8.652,0.578,1.3
56,3.5,3.7354833789903,1.769,1.902,4.56,1.163,4.41,1.83,8.202,0.589,0.1
66,4.3,4.25406778330685,0.344,0.318,2.39,2.806,2.41,1.75,8.76,0.546,2.9
76,3,2.99762932743025,0.101,0.101,3.41,5.212,3.55,2.1,10.08,0.935,4.9
86,2,2.1184029311987,1.937,2.075,0.16,4.698,-0.06,1.59,10.853,1.044,0.1
