"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,3.97706734339981,0.821,0.914,4.57,1.606,4.65,0.5,2.787,0.239,1.5
16,9.5,9.13618775167984,3.17,2.927,8.65,2.472,8.91,0.83,4.13,0.42,2.3
26,8.4,8.51668511217553,1.855,1.642,8.63,1.838,8.63,0.89,5.031,0.358,1.5
36,6.5,6.61612082940648,0.302,0.317,6.85,0.893,6.78,1.19,5.203,0.41,0.3
46,4.6,4.49508686688598,0.809,0.881,4.13,2.316,4.06,1.16,5.684,0.555,2.1
56,3.5,3.00454641105577,1.821,1.83,4.06,1.605,4.1,1.19,5.955,0.323,0.5
66,4.3,4.24750048452638,0.745,0.636,4.55,2.192,4.81,1.12,5.699,0.279,2.1
76,3,3.06453916325036,0.588,0.463,2.84,2.774,2.48,1.04,6.832,0.498,2.9
86,2,1.9386112312192,0.501,0.499,2.16,3.555,2.23,1.3,7.002,0.751,0.9
96,1.8,1.67737791768313,0.655,0.635,2.21,2.102,1.99,0.92,6.244,0.47,2.3
106,1.6,1.38197582270345,1.219,1.1,1.09,3.523,0.79,1.25,7.222,0.699,3.7
116,2,1.94333662368709,0.652,0.692,1.43,3.392,1.41,1.56,7.555,0.587,0.7
126,1.4,1.48444125362723,0.278,0.284,1.83,2.806,2.16,1.52,6.967,0.58,2.3
136,1.1,1.04383358279557,0.378,0.359,1.11,0.831,1.2,1.71,7.724,0.548,1.5
146,1,1.04990813638419,0.196,0.18,-1.23,3.794,-1.42,1.09,6.372,0.601,0.1
6,4,3.87228326815121,0.821,0.843,5.11,1.727,5.18,0.7,2.782,0.313,1.7
16,9.5,9.85860236861238,3.17,3.249,9.08,2.447,9.04,0.79,3.879,0.484,2.3
26,8.4,8.55263959070593,1.855,1.28,8.48,1.413,8.74,0.81,4.845,0.349,1.7
36,6.5,6.49755067761557,0.302,0.327,5.6,2.279,5.8,0.95,5.39,0.366,2.3
46,4.6,4.6584473765412,0.809,0.771,4.82,2.228,4.74,0.97,5.886,0.349,0.5
56,3.5,2.97341973770136,1.821,1.653,3.94,1.578,4.29,0.77,4.858,0.335,0.5
66,4.3,4.33433703535456,0.745,0.757,3.04,5.703,2.77,1.16,7.15,0.908,4.9
76,3,3.17211446769108,0.588,0.658,3.87,4.313,3.92,1.54,8.268,0.759,1.5
86,2,1.8720529496817,0.501,0.463,1.12,3.134,0.83,1.17,6.275,0.465,0.7
96,1.8,1.88876873960222,0.655,0.729,4.23,0.194,3.84,1,5.608,0.337,0.5
106,1.6,1.39288915383031,1.219,0.893,-0.24,2.561,-0.01,1.12,6.08,0.447,2.7
116,2,1.822916323685,0.652,0.617,3.11,1.701,2.99,1.07,6.498,0.404,0.7
126,1.4,1.40603194816467,0.278,0.254,0.33,1.811,0.52,1,5.702,0.44,0.1
136,1.1,1.13627608712209,0.378,0.351,1,5.329,1.26,1.51,7.489,0.871,4.9
146,1,0.939265485519579,0.196,0.177,1.99,3.534,1.91,1.47,8.225,0.704,0.3
