"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,3.98312559614161,0.814,0.661,4.22,0.598,4.19,0.38,2.126,0.104,0.1
16,9.5,9.48104500374023,1.145,1.113,8.62,1.465,8.66,0.41,2.534,0.347,1.5
26,8.4,8.21056840971867,0.665,0.568,9.6,1.867,9.58,0.65,3.305,0.294,1.9
36,6.5,6.34995982847019,2.883,3.168,4.37,2.532,4.13,0.83,4.484,0.47,2.3
46,4.6,4.72943496924181,1.855,1.837,5.28,0.929,5.39,0.98,5.237,0.302,0.3
56,3.5,3.51105878753975,0.725,0.675,3.5,1.245,3.29,0.8,5.077,0.35,0.1
66,4.3,4.28417562103887,0.612,0.459,5.32,1.143,5.01,0.94,4.899,0.255,1.1
76,3,3.09674368407877,0.677,0.555,2.42,0.781,1.88,1.17,5.102,0.336,0.1
86,2,1.87750490090458,0.872,0.688,2.28,2.189,2.47,1.1,5.053,0.411,2.1
96,1.8,1.82447311991347,0.088,0.087,2.18,1.371,2.1,0.99,6.067,0.415,1.9
106,1.6,1.56655886465399,0.588,0.581,3.44,1.749,3.63,0.96,6.486,0.506,1.7
116,2,2.05352619458088,0.63,0.515,0.21,2.766,0.26,1.09,5.891,0.414,0.9
126,1.4,1.17640842780117,0.379,0.304,1.8,2.359,2.03,0.81,4.71,0.46,0.3
136,1.1,1.19726897569503,0.343,0.418,0.98,2.407,0.99,0.67,3.234,0.378,0.3
146,1,1.02819545916988,0.656,0.766,1.71,4.448,1.58,0.89,5.051,0.595,4.3
6,4,4.12950509551723,0.814,0.742,3.76,1.076,3.79,0.39,2.279,0.211,1.1
16,9.5,9.59080161866883,1.145,1.086,10.24,1.759,10.17,0.48,3.099,0.365,1.7
26,8.4,8.44942222748754,0.665,0.597,8.23,1.73,8.13,0.57,3.197,0.345,0.3
36,6.5,5.46164403303001,2.883,3.444,6.48,2.768,6.56,0.76,3.663,0.491,2.7
46,4.6,4.62116022973293,1.855,2.152,3.84,1.338,3.71,0.94,4.675,0.357,1.3
56,3.5,3.53602810649685,0.725,0.883,3.43,2.427,3.61,0.77,5.714,0.362,2.5
66,4.3,4.22350069095604,0.612,0.628,5.09,2.187,4.91,1.18,6.422,0.479,2.5
76,3,2.95908001415166,0.677,0.653,3.17,2.328,2.7,1.33,6.302,0.464,0.1
86,2,1.95934308229452,0.872,0.839,1.86,2.424,2.1,1.11,5.302,0.453,0.5
96,1.8,1.79711523684222,0.088,0.106,2.61,0.755,2.55,0.83,4.857,0.322,0.5
106,1.6,1.58466184245007,0.588,0.557,1.53,2.766,1.31,1.12,5.597,0.503,2.7
116,2,1.94425646514235,0.63,0.718,0.42,1.878,0.24,0.9,5.952,0.387,0.3
126,1.4,1.54004374737429,0.379,0.392,1.15,2.296,1.15,0.96,5.08,0.424,0.3
136,1.1,1.14021691995459,0.343,0.336,1.1,2.634,0.98,0.96,5.257,0.485,2.7
146,1,0.874548383026178,0.656,0.677,0.99,0.506,1.05,1.02,6.227,0.386,0.7
6,4,4.03919117527503,0.814,0.84,4.21,1.3,4.22,0.6,2.665,0.312,1.1
16,9.5,9.61087154446837,1.145,1.016,9.59,1.304,9.71,0.56,2.707,0.179,0.1
26,8.4,8.43010254132674,0.665,0.606,8.03,2.062,7.98,0.57,3.066,0.41,2.1
36,6.5,6.03423901461279,2.883,2.217,6.84,2.312,6.77,0.81,4.562,0.516,2.1
46,4.6,4.96131389359376,1.855,1.592,4.52,1.008,4.54,0.81,4.896,0.353,0.5
56,3.5,3.51305611450338,0.725,0.586,2.07,2.829,2.16,0.97,5.509,0.445,2.9
66,4.3,4.1213357127662,0.612,0.607,5.56,2.631,5.53,1.13,5.469,0.558,0.3
76,3,3.07359174357793,0.677,0.687,3.2,1.03,3.24,0.98,4.878,0.312,0.3
86,2,2.17068450964198,0.872,0.876,2.57,3.937,2.48,1.22,6.295,0.69,3.9
96,1.8,1.81318994262384,0.088,0.113,1.1,4.648,1.14,0.89,5.706,0.741,0.7
106,1.6,1.57125108663107,0.588,0.515,2.07,3.208,1.97,0.98,4.557,0.56,3.3
116,2,2.12985017168388,0.63,0.627,1.16,1.471,1.36,1.14,5.886,0.248,1.7
126,1.4,1.28146478430337,0.379,0.465,1.31,0.94,1.4,1.22,5.913,0.34,0.5
136,1.1,1.17175328067271,0.343,0.311,-0.12,2.09,0.05,1.26,6.09,0.408,1.9
146,1,1.16763826265301,0.656,0.612,3.92,0.898,3.77,1.03,6.79,0.375,0.3
6,4,3.96778890589372,0.814,0.891,3.99,1.764,3.78,0.58,2.859,0.318,1.7
16,9.5,9.50642736279068,1.145,1.219,9.64,1.18,9.6,0.78,3.447,0.301,0.9
26,8.4,8.39812680419084,0.665,0.551,8.7,1.918,8.43,0.71,4.321,0.388,2.1
36,6.5,6.60148164974723,2.883,2.542,5.67,1.681,5.55,0.95,4.351,0.338,0.1
46,4.6,5.15833863564639,1.855,1.365,5.81,2.246,5.59,0.83,4.628,0.376,2.1
56,3.5,3.33180810936298,0.725,0.73,3.57,1.84,3.59,1.17,5.379,0.443,1.7
66,4.3,4.45016990795999,0.612,0.528,2.16,1.824,2.38,0.88,5.397,0.34,0.7
76,3,3.03434287301554,0.677,0.623,5.83,1.235,5.94,0.87,5.059,0.438,0.1
86,2,2.04649560037136,0.872,0.889,0.04,2.411,-0.03,1.07,5.219,0.518,2.3
96,1.8,1.80616531726461,0.088,0.085,2.47,2.019,2.34,1.44,5.453,0.436,0.1
106,1.6,1.65990035188976,0.588,0.484,1.36,1.249,1.43,0.86,5.41,0.328,1.3
116,2,1.8888370884635,0.63,0.542,3.73,1.665,3.55,1.15,5.156,0.359,0.5
126,1.4,1.39704620886931,0.379,0.343,-0.65,1.797,-0.64,0.77,5.308,0.423,1.5
136,1.1,1.14278861456271,0.343,0.328,1.59,2.042,1.55,1.01,5.782,0.477,2.1
146,1,0.977742444232776,0.656,0.558,1.16,2.912,1.41,1.2,6.467,0.635,3.1
6,4,3.99662190614544,0.814,0.657,4.4,0.817,4.33,0.48,2.44,0.111,0.1
16,9.5,9.41763943025556,1.145,1.045,8.26,1.203,8.33,0.53,2.565,0.197,1.3
26,8.4,8.36868256530395,0.665,0.543,8.74,1.473,8.68,0.55,3.359,0.305,1.5
36,6.5,6.03007839407518,2.883,2.366,6.19,2.541,6.16,0.59,4.377,0.45,2.7
46,4.6,4.62408642946715,1.855,1.886,6.89,2.76,6.85,1.08,5.816,0.653,2.9
56,3.5,3.38940711731277,0.725,0.661,1.78,3.301,2.15,0.74,5.442,0.514,0.1
66,4.3,4.23800982127785,0.612,0.605,3.51,1.891,3.71,0.9,4.917,0.49,1.9
76,3,2.99500695009775,0.677,0.658,5.03,1.761,5.18,0.91,4.917,0.323,0.3
86,2,1.99092744847964,0.872,0.787,-0.23,1.127,-0.41,0.71,4.147,0.21,0.7
96,1.8,1.80432766672816,0.088,0.078,2.38,2.722,2.33,0.91,5.092,0.627,2.7
106,1.6,1.77472776695638,0.588,0.519,2.88,1.015,2.94,1.05,5.741,0.383,0.9
116,2,1.98993836080537,0.63,0.69,1.2,0.934,0.63,1.09,5.606,0.386,1.5
126,1.4,1.41579448800619,0.379,0.401,1.25,2.904,1.03,1.15,6.519,0.441,2.9
136,1.1,1.13025052087238,0.343,0.268,1.25,2.142,1.55,1.13,6.561,0.415,0.1
146,1,0.695167822947845,0.656,0.527,1.93,1.068,1.69,1.05,5.893,0.295,0.5
6,4,3.75204992404961,0.814,0.81,4.61,0.712,4.6,0.53,2.557,0.132,0.9
16,9.5,9.78607316627349,1.145,1.258,9.41,2.087,9.19,0.63,3.396,0.382,1.9
26,8.4,8.43998937446007,0.665,0.61,7.94,1.659,7.79,0.72,4.29,0.346,1.7
36,6.5,5.9376144049085,2.883,2.747,6.11,2.919,6.12,0.97,5.48,0.643,2.7
46,4.6,4.73622490759474,1.855,1.705,6.04,0.059,6.14,0.99,6.222,0.389,0.7
56,3.5,3.69989674858813,0.725,0.686,2.6,1.708,2.5,1.28,6.283,0.454,1.7
66,4.3,4.18949948320358,0.612,0.572,4.81,2.832,4.66,1.17,6.193,0.594,0.5
76,3,2.99061053817605,0.677,0.681,2.33,1.755,2.28,1.05,5.754,0.49,1.7
86,2,1.69992413372337,0.872,0.745,1.57,1.771,1.38,0.89,5.837,0.389,0.3
96,1.8,1.80784078715389,0.088,0.087,3.79,2.298,3.8,1.02,5.846,0.483,2.3
