"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,3.88431269198052,0.848,0.772,4.31,1.604,4.29,0.39,2.585,0.276,1.5
16,9.5,9.55239055336673,0.458,0.424,9.58,0.414,9.57,0.45,2.95,0.186,0.1
26,8.4,8.32314043391954,2.655,2.764,8.68,2.328,8.54,0.75,3.822,0.447,2.3
36,6.5,6.48745003655642,0.549,0.613,4.35,1.159,4.38,0.63,4.518,0.365,1.1
46,4.6,4.38489419462652,1.57,1.261,6.03,4.037,6.1,1.15,6.081,0.549,4.1
56,3.5,2.31466432112415,3.541,3.806,2.59,3.309,2.45,1.17,6.609,0.638,0.1
66,4.3,4.53184272111414,2.239,2.213,7.78,3.712,7.83,1.25,6.848,0.784,3.9
76,3,3.01332162014318,0.289,0.277,0.83,2.09,0.69,1.43,7.851,0.667,2.3
86,2,2.04401826634081,0.341,0.281,1.49,2.139,1.65,1.7,7.862,0.43,0.1
96,1.8,1.86244716225224,0.342,0.35,2.12,1.744,1.76,1.61,7.686,0.403,1.3
106,1.6,1.39093259131658,1.219,1.184,2.99,1.788,2.88,1.04,7.676,0.515,1.7
116,2,2.12700749919955,0.495,0.493,-0.48,3.135,-0.55,1.04,7.273,0.713,0.1
126,1.4,1.42510134527415,0.79,0.568,2.17,9.042,2.18,2.15,10.943,1.326,4.9
136,1.1,1.14398100866651,0.425,0.459,-0.56,7.583,-0.63,2.08,12.035,1.338,1.3
146,1,0.962306915362943,0.343,0.299,1.99,1.774,2.5,1.93,9.557,0.391,0.1
6,4,3.88907879036414,0.848,0.65,3.4,0.667,3.25,0.53,2.551,0.211,0.9
16,9.5,9.62022748696428,0.458,0.449,10.29,0.645,10.43,0.6,2.747,0.233,0.5
26,8.4,7.45312290835796,2.655,2.829,7.65,3.04,7.55,0.58,4.114,0.568,3.1
36,6.5,6.46563259506393,0.549,0.46,7.33,2.031,7.41,0.77,4.59,0.294,0.1
46,4.6,4.65016501560162,1.57,1.76,5.29,2.204,5.23,0.86,4.668,0.427,1.7
56,3.5,3.4263053152971,3.541,4.208,0.5,3.841,0.6,1.36,6.517,0.769,4.1
