"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,4.06383313766879,0.45,0.47,3.94,1.13,3.88,0.55,2.778,0.259,1.1
16,9.5,9.41905310861739,0.288,0.295,9.94,1.392,9.93,0.41,2.554,0.241,0.1
26,8.4,8.58541173648191,1.869,1.593,8.25,1.664,8.16,0.65,2.819,0.307,1.7
36,6.5,6.51516660930972,0.461,0.552,4.84,1.768,4.72,0.77,3.613,0.376,1.7
46,4.6,4.35769211337585,4.097,3.297,5.99,3.817,6.07,1.01,5.598,0.664,3.9
56,3.5,3.72299890750034,2.951,3.224,4.17,3.038,4.14,1.32,7.325,0.625,2.9
66,4.3,4.29992260426851,0.278,0.225,3.6,1.072,3.86,1.71,7.815,0.471,1.1
76,3,2.93139895671736,1.284,1.158,4.74,0.844,4.57,1.41,7.888,0.465,0.5
86,2,1.48089126449713,1.293,1.205,0.54,2.437,0.39,1.18,7.589,0.668,0.3
96,1.8,1.78985025275198,0.292,0.261,0.06,2.194,0.04,1.29,7.629,0.475,2.3
106,1.6,1.60026931441019,0.841,0.695,2.19,5.581,2.81,2.09,9.602,0.96,4.9
116,2,1.96480826817366,0.668,0.74,1.3,5.783,1.12,1.34,9.589,0.867,0.7
126,1.4,1.38968239571847,0.27,0.202,4.06,0.721,4.11,1.29,7.36,0.573,0.1
136,1.1,1.04856180309638,1.379,1.406,0.35,4.1,0.15,1.68,8.52,0.919,4.3
146,1,0.957667936568723,0.387,0.417,1.68,4.653,2.15,1.41,8.218,0.684,0.7
6,4,3.90002774863478,0.45,0.498,3.13,1.45,3.27,0.55,2.985,0.274,1.7
16,9.5,9.59945387887707,0.288,0.306,9.35,1.67,9.37,0.54,2.767,0.274,0.1
26,8.4,9.08399286280035,1.869,1.78,8.28,2.534,8.2,0.78,3.392,0.36,2.5
36,6.5,6.62260933778496,0.461,0.392,7.1,0.72,7.16,0.82,4.21,0.287,1.1
46,4.6,4.44768954687497,4.097,4.7,2.81,2.901,2.75,0.89,5.035,0.609,2.9
56,3.5,4.83522033710927,2.951,3.806,4.61,1.821,4.69,1.29,6.308,0.507,1.7
66,4.3,4.39700020711901,0.278,0.273,4.02,2.261,3.84,1.19,6.718,0.503,1.9
76,3,3.6270414245205,1.284,1.258,4.07,4.895,4.05,1.56,8.993,0.911,4.9
86,2,2.11260913201555,1.293,1.181,0.76,5.351,1.19,1.5,8.452,0.857,0.5
96,1.8,1.80285382942891,0.292,0.241,1.78,5.533,1.34,1.34,8.754,0.884,4.9
106,1.6,1.60028844333992,0.841,0.86,2.93,4.73,2.96,1.78,9.125,0.789,0.7
116,2,1.90918163600893,0.668,0.592,2.28,2.741,2.24,1.18,7.062,0.553,0.5
