"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,3.98876432481472,0.076,0.079,4.23,0.698,4.22,0.54,2.823,0.2,0.1
16,9.5,9.80713154506335,1.596,1.675,9.19,1.419,9.23,0.67,3.126,0.199,1.5
26,8.4,9.10839186787778,2.949,2.595,8.37,0.964,8.23,0.57,3.5,0.278,1.1
36,6.5,6.17027846793881,2.041,1.973,6.82,4.08,6.97,0.9,5.536,0.662,4.1
46,4.6,3.96914963954169,4.608,3.943,3.82,8.304,3.25,2.27,10.457,1.079,4.9
56,3.5,3.34237398657232,5.754,5.615,3.58,5.811,4.07,1.84,11.803,1.072,0.1
66,4.3,4.28439712693031,0.119,0.12,3.19,9.529,3.42,2.21,14.332,1.621,4.9
76,3,3.23508335526841,0.85,0.874,4.94,9.462,5.16,1.62,14.904,1.422,0.1
86,2,1.78662374172477,1.477,1.374,2,3.634,2.35,2.05,10.127,0.781,0.5
96,1.8,1.94070983923154,0.542,0.439,1.6,4.546,1.38,2.07,10.427,0.912,4.9
106,1.6,1.56667025937842,0.293,0.279,2.37,2.621,2.23,1.56,11.049,0.788,1.5
116,2,2.02294948734043,0.076,0.062,4.9,5.567,5.26,1.58,9.465,0.858,1.9
126,1.4,1.39672730733858,0.282,0.213,-1.19,3.558,-1.2,1.5,8.494,0.833,3.7
136,1.1,0.960212343159667,1.232,1.443,-3.35,3.488,-3.32,1.65,9.74,0.612,3.7
146,1,1.06653769912013,0.573,0.571,4.16,3.544,4,1.73,10.734,0.66,2.9
6,4,4.00647554440548,0.076,0.087,5.07,1.753,5.13,0.51,2.829,0.332,0.3
16,9.5,9.37958893986352,1.596,1.617,9.37,1.894,9.32,0.5,2.948,0.3,1.9
26,8.4,8.12155922448145,2.949,3.031,8.47,4.084,8.5,0.93,5.259,0.65,4.3
36,6.5,6.53529115693762,2.041,1.977,6.02,2.027,5.82,1.17,6.516,0.399,0.1
46,4.6,4.96440250196303,4.608,4.95,3.63,2.535,3.7,1.35,6.581,0.531,2.1
56,3.5,3.66029502153852,5.754,5.526,2.98,10.988,3,2.68,13.429,1.896,4.9
66,4.3,4.30050913272401,0.119,0.119,4.94,9.66,4.24,2.17,13.397,1.766,1.1
76,3,3.1526451652218,0.85,0.784,3.69,8.694,3.47,2.04,12.882,1.171,4.9
86,2,1.76868641205664,1.477,1.699,-0.01,8.357,-0.3,2.42,13.147,1.425,2.5
96,1.8,1.71526004492437,0.542,0.464,3.69,3.243,3.57,2.61,11.112,0.817,3.5
106,1.6,1.61663217625126,0.293,0.231,-1.47,1.883,-0.76,2.13,12.095,0.742,2.1
116,2,1.96877961384186,0.076,0.074,6.88,5.151,7.27,1.98,10.58,1.07,0.1
126,1.4,1.42608921657663,0.282,0.288,0.91,1.158,1.02,1.86,9.357,0.662,1.7
136,1.1,1.21475882706142,1.232,1.261,-2,4.703,-1.55,1.99,10.467,0.797,4.3
146,1,1.11401123902463,0.573,0.507,1.73,5.187,1.69,2.06,10.081,1.069,1.1
6,4,4.00389920853683,0.076,0.068,3.9,1.071,3.9,0.43,2.621,0.242,0.3
16,9.5,9.34983703314148,1.596,1.508,9.29,2.442,9.08,0.54,3.318,0.402,2.3
26,8.4,8.96460682185361,2.949,3.137,7.81,2.256,7.83,0.85,4.723,0.402,2.3
36,6.5,6.40127757022747,2.041,2.146,7.51,0.916,7.52,1.03,5.408,0.242,1.3
46,4.6,6.90720020276377,4.608,5.041,3.35,3.826,2.91,1.28,6.239,0.59,3.9
56,3.5,3.62867076563373,5.754,5.282,5.08,6.36,5.84,1.69,10.24,1.113,4.9
66,4.3,4.32920420749263,0.119,0.126,2.5,8.967,3.24,3.07,14.656,1.712,4.9
76,3,2.96990825305219,0.85,1.124,2.2,10.489,2.38,2.45,13.856,1.538,1.1
86,2,2.30550856221068,1.477,1.468,5.97,5.386,6.09,1.73,10.699,1.01,4.9
96,1.8,1.87403952111542,0.542,0.568,-1.32,3.552,-0.61,1.97,11.922,0.967,3.1
106,1.6,1.5327835643301,0.293,0.384,0.8,4.918,0.6,2.18,12.48,1.059,0.7
116,2,2.01077793507153,0.076,0.069,3.09,3.905,3.03,1.61,9.825,0.829,0.3
126,1.4,1.23985956680647,0.282,0.338,2.48,8.583,2.1,2.78,11.845,1.558,4.9
136,1.1,1.1457456908961,1.232,0.899,0.35,8.566,0.32,2.11,12.706,1.204,0.7
146,1,1.10376295459443,0.573,0.468,0.99,0.753,1.1,1.84,9.058,0.589,0.3
