"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,4.08191159472571,3.114,2.895,5.03,2.721,4.92,0.53,3.965,0.439,2.7
16,9.5,9.78047136948385,2.595,2.729,9.11,0.512,9.13,0.68,4.869,0.361,0.7
26,8.4,8.2700844977265,2.949,2.85,7.02,3.815,6.83,1.15,5.775,0.594,3.7
36,6.5,6.14286159882052,1.659,1.786,7.17,2.664,7.12,1.32,7.398,0.524,2.5
46,4.6,4.88091697643284,0.959,0.938,3.71,3.602,4.09,1.31,7.242,0.635,1.3
56,3.5,3.3657213449224,0.717,0.693,4.83,4.102,4.97,1.03,7.262,0.584,4.1
66,4.3,4.45721433875974,1.284,1.176,4.95,3.314,4.56,1.65,7.85,0.601,0.3
76,3,3.00628048811435,0.847,0.726,2.58,5.825,3.24,1.66,9.267,0.955,4.9
86,2,2.01145386300829,0.323,0.266,1.29,5.444,1.01,1.72,9.921,1.198,1.1
96,1.8,1.7799303053731,0.196,0.197,2.1,1.791,1.64,1.17,7.513,0.488,1.3
106,1.6,1.58221398751208,0.51,0.611,1.69,1.046,1.8,1.27,7.029,0.585,0.7
116,2,1.84773074957388,0.8,0.613,1.64,2.898,1.54,1.31,7.642,0.794,3.1
126,1.4,1.36950192797486,0.149,0.151,1.91,2.975,1.59,1.56,7.828,0.679,0.3
136,1.1,1.09318497316107,0.223,0.242,1.61,3.013,1.37,1.13,7.821,0.681,3.1
146,1,0.986858825937439,0.164,0.144,1.97,2.146,1.74,1.71,7.942,0.524,0.9
6,4,4.12748446839415,3.114,2.834,4.74,2.559,4.48,0.6,3.883,0.476,2.5
16,9.5,9.96269436667837,2.595,2.214,8.45,3.671,8.46,1.01,5.904,0.546,3.9
26,8.4,8.77925860156113,2.949,2.467,8.84,1.525,8.95,1.17,7.007,0.512,0.1
36,6.5,6.07858265036951,1.659,1.241,6.76,2.433,6.3,1.36,6.994,0.568,1.9
46,4.6,4.5145956665919,0.959,1.128,3.74,3.497,3.92,1.53,6.487,0.424,0.7
