"publication_id","experiment_id","treatment_id","nsamp","t1","t2","w1","w2","errorw1","errorw2","igr.mu","igr.sd","fr.mu","fr.sd","prey_type","exp_id","experiment","t"
"cap_20","1","2",24,90,105,55.55556,83.95062,7.40742,24.69136,2.435897,0.48718,5.44554583333333,0.278466666666667,"grass_shrimp","cap_20_1_2","cap_20_1",97.5
"cap_20","1","2",24,105,120,83.95062,100,24.69136,32.09876,1.282051,0.410257,2.66089125,2.07301916666667,"grass_shrimp","cap_20_1_2","cap_20_1",112.5
"cap_20","1","2",24,120,135,100,120.9877,32.09876,51.85194,1.205128,0.358974,3.32611375,0.402228333333333,"grass_shrimp","cap_20_1_2","cap_20_1",127.5
"cap_20","1","2",24,135,150,120.9877,132.0988,51.85194,59.2594,0.5641026,0.2820513,1.54702958333333,0.3712875,"grass_shrimp","cap_20_1_2","cap_20_1",142.5
"cap_20","1","2",24,150,172,132.0988,146.9136,59.2594,56.7902,0.4871795,0.4102564,1.50061875,0.340346666666667,"grass_shrimp","cap_20_1_2","cap_20_1",161
"cap_20","1","2",24,172,195,146.9136,161.7284,56.7902,66.6666,0.5641026,0.1538461,1.45420791666667,0.6497525,"grass_shrimp","cap_20_1_2","cap_20_1",183.5
"cap_20","1","2",24,195,210,161.7284,172.8395,66.6666,79.0124,0.4871795,0.3333333,1.37685625,0.154703333333333,"grass_shrimp","cap_20_1_2","cap_20_1",202.5
"cap_20","1","2",24,210,225,172.8395,183.9506,79.0124,86.4198,0.4358974,0.4102564,1.54702958333333,0.278465833333334,"grass_shrimp","cap_20_1_2","cap_20_1",217.5
"cap_20","1","3",24,75,90,30.8642,54.32099,2.46914,14.81482,3.512821,0.307693,5.60024583333333,0.123766666666666,"grass_shrimp","cap_20_1_3","cap_20_1",82.5
"cap_20","1","3",24,90,105,54.32099,82.71605,14.81482,27.1605,2.666667,0.307692,5.22895833333333,0.340349999999998,"grass_shrimp","cap_20_1_3","cap_20_1",97.5
"cap_20","1","3",24,105,120,82.71605,108.642,27.1605,34.56796,1.820513,0.358974,1.65532166666667,0.185644166666667,"grass_shrimp","cap_20_1_3","cap_20_1",112.5
"cap_20","1","3",24,120,135,108.642,134.5679,34.56796,46.9136,1.410256,0.333334,2.42883666666667,0.185643333333333,"grass_shrimp","cap_20_1_3","cap_20_1",127.5
"cap_20","1","3",24,135,150,134.5679,143.2099,46.9136,46.9136,0.4615385,0.2564103,1.1757425,0.0928216666666666,"grass_shrimp","cap_20_1_3","cap_20_1",142.5
"cap_20","1","3",24,150,172,143.2099,158.0247,46.9136,61.7284,0.4615385,0.3333333,1.299505,0.0928216666666666,"grass_shrimp","cap_20_1_3","cap_20_1",161
"cap_20","1","3",24,172,195,158.0247,172.8395,61.7284,69.1358,0.5641026,0.1794872,1.20668333333333,0.0928216666666666,"grass_shrimp","cap_20_1_3","cap_20_1",183.5
"cap_20","1","3",24,195,210,172.8395,187.6543,69.1358,79.0124,0.5128205,0.2051282,1.14480208333333,0.309405833333334,"grass_shrimp","cap_20_1_3","cap_20_1",202.5
"cap_20","1","3",24,210,225,187.6543,198.7654,79.0124,93.827,0.3846154,0.2051282,1.34591583333333,0.0928216666666668,"grass_shrimp","cap_20_1_3","cap_20_1",217.5
"cap_20","1","3",24,225,240,198.7654,217.284,93.827,101.2346,0.5128205,0.2820513,2.15037125,0.464109166666667,"grass_shrimp","cap_20_1_3","cap_20_1",232.5
"cla_89","1","10",36,40,54,NA,NA,NA,NA,6.40501044281218,1.10431186085688,NA,NA,"mysids","cla_89_1_10","cla_89_1_",47
"cla_89","1","11",36,40,54,NA,NA,NA,NA,11.3575716635858,2.76658792285184,NA,NA,"mysids","cla_89_1_11","cla_89_1_",47
"cla_89","1","12",36,40,54,NA,NA,NA,NA,12.5210780874721,6.12919845393925,NA,NA,"mysids","cla_89_1_12","cla_89_1_",47
"cla_89","1","2",36,40,54,NA,NA,NA,NA,0.118187852327483,3.30925968859688,NA,NA,"mysids","cla_89_1_2","cla_89_1",47
"cla_89","1","3",36,40,54,NA,NA,NA,NA,3.35994510589503,3.45327775360071,NA,NA,"mysids","cla_89_1_3","cla_89_1",47
"cla_89","1","4",36,40,54,NA,NA,NA,NA,7.14328960104931,2.35797946045517,NA,NA,"mysids","cla_89_1_4","cla_89_1",47
"cla_89","1","5",36,40,54,NA,NA,NA,NA,8.20078663902221,1.84358673078066,NA,NA,"mysids","cla_89_1_5","cla_89_1",47
"cla_89","1","6",36,40,54,NA,NA,NA,NA,8.88522105778383,6.30370428034107,NA,NA,"mysids","cla_89_1_6","cla_89_1",47
"cla_89","1","7",36,40,54,NA,NA,NA,NA,6.20786920138783,5.98348826347039,NA,NA,"mysids","cla_89_1_7","cla_89_1",47
"cla_89","1","8",36,40,54,NA,NA,NA,NA,-3.26684813455938,6.68219071068189,NA,NA,"mysids","cla_89_1_8","cla_89_1",47
"cla_89","1","9",36,40,54,NA,NA,NA,NA,1.49940473000149,0.963903078812362,NA,NA,"mysids","cla_89_1_9","cla_89_1",47
"cor_08","1","1",30,20,27,2.449664,3.322148,0.302014,0.268457,4.181416,0.712389,16.65,0.5,"shrimp","cor_08_1_1","cor_08_1",23.5
"cor_08","1","1",30,27,34,3.322148,4.060403,0.268457,0.402685,5.327434,0.805309,15.09,1,"shrimp","cor_08_1_1","cor_08_1",30.5
"cor_08","1","1",30,34,41,4.060403,4.66443,0.402685,0.436242,4.769912,0.557523,15.45,1.8,"shrimp","cor_08_1_1","cor_08_1",37.5
"cor_08","1","1",30,41,48,4.66443,6.006711,0.436242,0.402685,5.265487,1.300885,14.37,6.1,"shrimp","cor_08_1_1","cor_08_1",44.5
"cor_08","1","2",30,20,27,2.416107,2.852349,0.268457,0.201342,4.212389,0.681416,11.5,0.2,"starved_shrimp","cor_08_1_2","cor_08_1",23.5
"cor_08","1","2",30,27,34,2.852349,3.691275,0.201342,0.436241,2.60177,0.743363,10.9,0.4,"starved_shrimp","cor_08_1_2","cor_08_1",30.5
"cor_08","1","2",30,34,41,3.691275,4.127517,0.436241,0.369127,1.672566,0.89823,8.74,1,"starved_shrimp","cor_08_1_2","cor_08_1",37.5
"cor_08","1","2",30,41,48,4.127517,5.067114,0.369127,0.973155,2.849558,1.424779,6.22,2,"starved_shrimp","cor_08_1_2","cor_08_1",44.5
"cor_08","1","3",30,20,27,2.348993,3.053691,0.2349,0.302014,4.646018,1.300885,10.3,0.4,"enriched_shrimp","cor_08_1_3","cor_08_1",23.5
"cor_08","1","3",30,27,34,3.053691,4.295302,0.302014,0.671141,3.066372,0.588495,9.9,0.8,"enriched_shrimp","cor_08_1_3","cor_08_1",30.5
"cor_08","1","3",30,34,41,4.295302,6.073826,0.671141,0.90604,1.951327,1.269912,8.62,1.8,"enriched_shrimp","cor_08_1_3","cor_08_1",37.5
"cor_08","1","3",30,41,48,6.073826,8.691275,0.90604,1.342282,3.685841,0.340708,6.9,3,"enriched_shrimp","cor_08_1_3","cor_08_1",44.5
"cor_08b","1","1",90,1,8,0.12,0.21,0.02,0.04,8,0.5,16.6,0.1,"mysids","cor_08b_1_1","cor_08b_1",4.5
"cor_08b","1","1",90,8,15,0.21,0.34,0.04,0.06,6.8,0.5,9.9,0.4,"mysids","cor_08b_1_1","cor_08b_1",11.5
"cor_08b","1","1",90,15,22,0.34,0.47,0.06,0.07,6.1,0.2,13.3,0.4,"mysids","cor_08b_1_1","cor_08b_1",18.5
"cor_08b","1","2",90,1,8,NA,NA,NA,NA,10,0.2,18.7,0.2,"mysids","cor_08b_1_2","cor_08b_1",4.5
"cor_08b","1","2",90,8,15,NA,NA,NA,NA,6.6,0.4,11.2,0.3,"mysids","cor_08b_1_2","cor_08b_1",11.5
"cor_08b","1","2",90,15,22,NA,NA,NA,NA,6.5,0.4,14.6,1.2,"mysids","cor_08b_1_2","cor_08b_1",18.5
"cor_08b","2","1",60,22,29,NA,NA,NA,NA,5.2,0.8,10.4,0.6,"grass shrimp","cor_08b_2_1","cor_08b_2",25.5
"cor_08b","2","1",60,29,36,NA,NA,NA,NA,5.5,0.5,14.1,0.5,"grass shrimp","cor_08b_2_1","cor_08b_2",32.5
"cor_08b","2","1",60,36,43,NA,NA,NA,NA,4.6,0.5,9.9,0.1,"grass shrimp","cor_08b_2_1","cor_08b_2",39.5
"cor_08b","2","2",60,22,29,NA,NA,NA,NA,10,0.3,14.2,0.7,"grass shrimp","cor_08b_2_2","cor_08b_2",25.5
"cor_08b","2","2",60,29,36,NA,NA,NA,NA,5.5,0.5,14,0.8,"grass shrimp","cor_08b_2_2","cor_08b_2",32.5
"cor_08b","2","2",60,36,43,NA,NA,NA,NA,5.1,0.7,10.6,0.8,"grass shrimp","cor_08b_2_2","cor_08b_2",39.5
"dom_01a","1","1",20,0,10,NA,NA,NA,NA,11.8,4.1,33.7,13.5,"mysids","dom_01a_1_1","dom_01a_1",5
"dom_01a","1","1",17,10,20,NA,NA,NA,NA,9.8,1.8,22,7.9,"grass_shrimp","dom_01a_1_1","dom_01a_1",15
"dom_01a","1","1",10,20,30,NA,NA,NA,NA,8.1,2.2,17.3,3.9,"grass_shrimp","dom_01a_1_1","dom_01a_1",25
"dom_01a","1","1",5,30,40,NA,NA,NA,NA,7.3,0.7,16.7,1,"grass_shrimp","dom_01a_1_1","dom_01a_1",35
"dom_01b","1","1",30,0,10,0.23,NA,0.06,NA,2.66,NA,NA,NA,"artemia","dom_01b_1_1","dom_01b_1",5
"dom_01b","1","1",30,10,20,NA,NA,NA,NA,4.7,NA,NA,NA,"artemia","dom_01b_1_1","dom_01b_1",15
"dom_01b","1","1",30,20,30,NA,NA,NA,NA,8.1,NA,NA,NA,"grass_shrimp","dom_01b_1_1","dom_01b_1",25
"dom_01b","1","1",30,30,40,NA,2.653563,NA,2.211302,10.7,NA,NA,NA,"grass_shrimp","dom_01b_1_1","dom_01b_1",35
"dom_01b","1","1",30,40,50,2.653563,7.960688,2.211302,3.538084,8.99,NA,NA,NA,"grass_shrimp","dom_01b_1_1","dom_01b_1",45
"dom_01b","1","1",30,50,60,7.960688,15.47912,3.538084,8.84521,6.98,NA,NA,NA,"grass_shrimp","dom_01b_1_1","dom_01b_1",55
"dom_01b","1","1",30,60,70,15.47912,30.95823,8.84521,16.36364,7,NA,7.66,NA,"grass_shrimp","dom_01b_1_1","dom_01b_1",65
"dom_01b","1","1",30,70,80,30.95823,38.0344,16.36364,21.2285,1.82,NA,5.69,NA,"crabs","dom_01b_1_1","dom_01b_1",75
"dom_01b","1","1",30,80,90,38.0344,45.55283,21.2285,24.32433,1.97,NA,8.74,NA,"crabs","dom_01b_1_1","dom_01b_1",85
"dom_01b","1","1",30,90,100,45.55283,53.07125,24.32433,34.93857,1.49,NA,9.56,NA,"crabs","dom_01b_1_1","dom_01b_1",95
"dom_01b","1","1",30,100,110,53.07125,60.58968,34.93857,36.26536,1.27,NA,11.19,NA,"crabs","dom_01b_1_1","dom_01b_1",105
"dom_01b","1","1",30,110,120,60.58968,74.74201,36.26536,37.14987,2.07,NA,NA,NA,"crabs","dom_01b_1_1","dom_01b_1",115
"dom_01b","1","2",30,0,10,0.22,0.47,0.05,0.12,7.59,NA,NA,NA,"mysids","dom_01b_1_2","dom_01b_1",5
"dom_01b","1","2",30,10,20,NA,1.47,NA,0.12,11.4,NA,NA,NA,"mysids","dom_01b_1_2","dom_01b_1",15
"dom_01b","1","2",30,20,30,NA,NA,NA,NA,11.77,NA,NA,NA,"grass_shrimp","dom_01b_1_2","dom_01b_1",25
"dom_01b","1","2",30,30,40,NA,11.94103,37.14987,4.4226,9.28,NA,NA,NA,"grass_shrimp","dom_01b_1_2","dom_01b_1",35
"dom_01b","1","2",30,40,50,11.94103,23.4398,4.4226,7.51843,6.64,NA,NA,NA,"grass_shrimp","dom_01b_1_2","dom_01b_1",45
"dom_01b","1","2",30,50,60,23.4398,42.01474,7.51843,12.38329,5.9,NA,NA,NA,"grass_shrimp","dom_01b_1_2","dom_01b_1",55
"dom_01b","1","2",30,60,70,42.01474,53.95577,12.38329,14.59459,2.55,NA,13.99,NA,"grass_shrimp","dom_01b_1_2","dom_01b_1",65
"dom_01b","1","2",30,70,80,53.95577,68.10811,14.59459,22.55528,2.21,NA,10.29,NA,"crabs","dom_01b_1_2","dom_01b_1",75
"dom_01b","1","2",30,80,90,68.10811,82.26044,22.55528,26.53563,1.83,NA,4.49,NA,"crabs","dom_01b_1_2","dom_01b_1",85
"dom_01b","1","2",30,90,100,82.26044,98.62408,26.53563,36.26536,1.85,NA,7.03,NA,"crabs","dom_01b_1_2","dom_01b_1",95
"dom_01b","1","2",30,100,110,98.62408,110.1229,36.26536,45.11053,1.15,NA,7.23,NA,"crabs","dom_01b_1_2","dom_01b_1",105
"dom_01b","1","2",30,110,120,110.1229,125.1597,45.11053,48.2064,1.31,NA,NA,NA,"crabs","dom_01b_1_2","dom_01b_1",115
"dom_01b","2","3",20,0,10,0.18,0.28,0.03,0.05,4.42,NA,NA,NA,"artemia","dom_01b_2_3","dom_01b_2",5
"dom_01b","2","3",20,10,20,NA,NA,NA,NA,12.73,NA,NA,NA,"grass_shrimp","dom_01b_2_3","dom_01b_2",15
"dom_01b","2","3",20,20,30,NA,2.774566,NA,1.618497,9.32,NA,NA,NA,"grass_shrimp","dom_01b_2_3","dom_01b_2",25
"dom_01b","2","3",20,30,40,2.774566,4.855491,1.618497,1.618497,6.13,NA,NA,NA,"grass_shrimp","dom_01b_2_3","dom_01b_2",35
"dom_01b","2","3",20,40,50,4.855491,8.092486,1.618497,4.393063,5.38,NA,NA,NA,"grass_shrimp","dom_01b_2_3","dom_01b_2",45
"dom_01b","2","3",20,50,60,8.092486,13.17919,4.393063,6.705197,4.98,NA,NA,NA,"grass_shrimp","dom_01b_2_3","dom_01b_2",55
"dom_01b","2","3",20,60,70,13.17919,21.96532,6.705197,9.71098,5.06,NA,NA,NA,"crabs","dom_01b_2_3","dom_01b_2",65
"dom_01b","2","3",20,70,80,21.96532,33.06358,9.71098,12.94797,4.1,NA,NA,NA,"crabs","dom_01b_2_3","dom_01b_2",75
"dom_01b","2","3",20,80,90,33.06358,42.54335,12.94797,27.97687,2.5,NA,NA,NA,"crabs","dom_01b_2_3","dom_01b_2",85
"dom_01b","2","4",20,0,10,0.17,0.52,0.05,0.14,11.18,NA,NA,NA,"mysids","dom_01b_2_4","dom_01b_2",5
"dom_01b","2","4",20,10,20,NA,NA,NA,NA,9.39,NA,NA,NA,"grass_shrimp","dom_01b_2_4","dom_01b_2",15
"dom_01b","2","4",20,20,30,NA,3.468208,27.97687,1.387284,9.53,NA,NA,NA,"grass_shrimp","dom_01b_2_4","dom_01b_2",25
"dom_01b","2","4",20,30,40,3.468208,6.011561,1.387284,2.312139,5.58,NA,NA,NA,"grass_shrimp","dom_01b_2_4","dom_01b_2",35
"dom_01b","2","4",20,40,50,6.011561,14.10405,2.312139,3.69942,8.48,NA,NA,NA,"grass_shrimp","dom_01b_2_4","dom_01b_2",45
"dom_01b","2","4",20,50,60,14.10405,23.58382,3.69942,8.32369,5.12,NA,NA,NA,"grass_shrimp","dom_01b_2_4","dom_01b_2",55
"dom_01b","2","4",20,60,70,23.58382,38.84393,8.32369,8.3237,5.06,NA,NA,NA,"crabs","dom_01b_2_4","dom_01b_2",65
"dom_01b","2","4",20,70,80,38.84393,51.56069,8.3237,7.63006,2.76,NA,NA,NA,"crabs","dom_01b_2_4","dom_01b_2",75
"dom_01b","2","4",20,80,90,51.56069,64.73988,7.63006,9.94219,2.32,NA,NA,NA,"crabs","dom_01b_2_4","dom_01b_2",85
"dom_02","1","1",30,0,10,0.22,NA,0.017,NA,7.615385,NA,NA,NA,"mysids","dom_02_1_1","dom_02_1",5
"dom_02","1","1",30,10,20,NA,NA,NA,NA,11.40659,NA,NA,NA,"mysids","dom_02_1_1","dom_02_1",15
"dom_02","1","1",30,20,30,NA,NA,NA,NA,11.76923,NA,NA,NA,"grass_shrimp","dom_02_1_1","dom_02_1",25
"dom_02","1","1",30,30,40,5.171504,13.29815,4.432718,5.1715,9.296703,NA,NA,NA,"grass_shrimp","dom_02_1_1","dom_02_1",35
"dom_02","1","1",30,40,50,13.29815,24.37995,5.1715,8.12664,6.659341,NA,NA,NA,"grass_shrimp","dom_02_1_1","dom_02_1",45
"dom_02","1","1",30,50,60,24.37995,43.58839,8.12664,12.55936,5.920398,NA,NA,NA,"grass_shrimp","dom_02_1_1","dom_02_1",55
"dom_02","1","1",30,60,70,43.58839,54.67018,12.55936,14.77572,2.577114,NA,NA,NA,"grass_shrimp","dom_02_1_1","dom_02_1",65
"dom_02","1","1",30,70,80,54.67018,67.96834,14.77572,22.90238,2.263682,NA,NA,NA,"grass_shrimp","dom_02_1_1","dom_02_1",75
"dom_02","1","1",30,80,90,67.96834,82.74406,22.90238,25.11873,1.845771,NA,NA,NA,"grass_shrimp","dom_02_1_1","dom_02_1",85
"dom_02","1","1",30,90,100,82.74406,98.99736,25.11873,36.9393,1.845771,NA,NA,NA,"grass_shrimp","dom_02_1_1","dom_02_1",95
"dom_02","1","1",30,100,110,98.99736,110.8179,36.9393,43.58843,1.114428,NA,NA,NA,"grass_shrimp","dom_02_1_1","dom_02_1",105
"dom_02","1","1",30,110,120,110.8179,124.8549,43.58843,46.5435,1.288557,NA,NA,NA,"grass_shrimp","dom_02_1_1","dom_02_1",115
"dom_02","2","2",30,0,10,0.074,NA,0.016,NA,12.82418,NA,NA,NA,"mysids","dom_02_2_2","dom_02_2",5
"dom_02","2","2",30,10,20,NA,NA,NA,NA,5.472527,NA,NA,NA,"mysids","dom_02_2_2","dom_02_2",15
"dom_02","2","2",30,20,30,NA,NA,NA,NA,7.846154,NA,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",25
"dom_02","2","2",30,30,40,NA,NA,NA,NA,5.43956,NA,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",35
"dom_02","2","2",30,40,50,NA,NA,NA,NA,5.274725,NA,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",45
"dom_02","2","2",30,50,60,NA,NA,NA,NA,5.711443,NA,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",55
"dom_02","2","2",30,60,70,NA,NA,NA,NA,3.865672,NA,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",65
"dom_02","2","2",30,70,80,NA,NA,NA,NA,2.925373,NA,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",75
"dom_02","2","2",30,80,90,NA,NA,NA,NA,1.532338,NA,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",85
"dom_02","2","2",30,90,100,12.55937,16.2533,4.43272,5.91029,2.960199,NA,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",95
"dom_02","2","2",30,100,110,16.2533,19.20844,5.91029,7.38786,1.323383,NA,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",105
"dom_02","2","2",30,110,120,19.20844,23.64116,7.38786,11.08179,2.228856,NA,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",115
"dom_02","2","2",30,120,130,23.64116,29.55145,11.08179,12.55937,2.333333,NA,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",125
"dom_02","2","2",30,130,140,29.55145,38.41689,12.55937,16.2533,2.402985,NA,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",135
"dom_02","2","2",30,140,150,38.41689,45.80475,16.2533,18.46966,2.0199,NA,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",145
"dom_02","2","2",30,150,160,45.80475,53.19261,18.46966,22.16359,1.288557,NA,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",155
"dom_02","2","2",30,160,170,53.19261,70.1847,22.16359,31.02902,2.751244,NA,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",165
"dom_02","2","2",30,170,180,70.1847,83.48285,31.02902,37.67811,1.776119,NA,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",175
"dom_02","2","2",30,180,190,83.48285,108.6016,37.67811,46.54358,2.646766,NA,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",185
"dom_02","2","2",30,190,200,108.6016,133.7203,46.54358,67.22955,1.985075,NA,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",195
"dom_02","2","2",30,200,210,133.7203,164.0106,67.22955,68.7071,2.0199,NA,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",205
"dom_02","2","2",30,210,220,164.0106,201.6887,68.7071,82.7441,2.089552,NA,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",215
"dom_03a","1","1",24,1,5,0.233,0.3,0.05,0.1578948,NA,NA,NA,NA,"crangon","dom_03a_1_1","dom_03a_1",3
"dom_03a","1","1",24,5,10,0.3,0.4368421,0.1578948,0.2,NA,NA,NA,NA,"crangon","dom_03a_1_1","dom_03a_1",7.5
"dom_03a","1","1",24,10,15,0.4368421,0.5789474,0.2,0.2210527,NA,NA,NA,NA,"crangon","dom_03a_1_1","dom_03a_1",12.5
"dom_03a","1","1",24,15,20,0.5789474,0.7789474,0.2210527,0.3157895,NA,NA,NA,NA,"crangon","dom_03a_1_1","dom_03a_1",17.5
"dom_03a","1","1",24,20,25,0.7789474,1.110526,0.3157895,0.4578946,NA,NA,NA,NA,"crangon","dom_03a_1_1","dom_03a_1",22.5
"dom_03a","1","1",24,25,30,1.110526,1.505263,0.4578946,0.426315,NA,NA,NA,NA,"crangon","dom_03a_1_1","dom_03a_1",27.5
"dom_03a","1","1",24,30,35,1.505263,1.847368,0.426315,0.536842,NA,NA,NA,NA,"crangon","dom_03a_1_1","dom_03a_1",32.5
"dom_03a","1","2",24,1,5,0.233,0.2736842,0.05,0.1157895,NA,NA,NA,NA,"crangon","dom_03a_1_2","dom_03a_1",3
"dom_03a","1","2",24,5,10,0.2736842,0.3947368,0.1157895,0.1578947,NA,NA,NA,NA,"crangon","dom_03a_1_2","dom_03a_1",7.5
"dom_03a","1","2",24,10,15,0.3947368,0.5421053,0.1578947,0.2,NA,NA,NA,NA,"crangon","dom_03a_1_2","dom_03a_1",12.5
"dom_03a","1","2",24,15,20,0.5421053,0.7526316,0.2,0.231579,NA,NA,NA,NA,"crangon","dom_03a_1_2","dom_03a_1",17.5
"dom_03a","1","2",24,20,25,0.7526316,0.9894737,0.231579,0.3368419,NA,NA,NA,NA,"crangon","dom_03a_1_2","dom_03a_1",22.5
"dom_03a","1","2",24,25,30,0.9894737,1.394737,0.3368419,0.494737,NA,NA,NA,NA,"crangon","dom_03a_1_2","dom_03a_1",27.5
"dom_03a","1","2",24,30,35,1.394737,1.610526,0.494737,0.742106,NA,NA,NA,NA,"crangon","dom_03a_1_2","dom_03a_1",32.5
"dom_03a","1","3",24,1,5,0.233,0.3105263,0.05,0.0894736,NA,NA,NA,NA,"crangon","dom_03a_1_3","dom_03a_1",3
"dom_03a","1","3",24,5,10,0.3105263,0.4368421,0.0894736,0.2052631,NA,NA,NA,NA,"crangon","dom_03a_1_3","dom_03a_1",7.5
"dom_03a","1","3",24,10,15,0.4368421,0.5684211,0.2052631,0.2263158,NA,NA,NA,NA,"crangon","dom_03a_1_3","dom_03a_1",12.5
"dom_03a","1","3",24,15,20,0.5684211,0.8526316,0.2263158,0.3842103,NA,NA,NA,NA,"crangon","dom_03a_1_3","dom_03a_1",17.5
"dom_03a","1","3",24,20,25,0.8526316,1.063158,0.3842103,0.4578949,NA,NA,NA,NA,"crangon","dom_03a_1_3","dom_03a_1",22.5
"dom_03a","1","3",24,25,30,1.063158,1.457895,0.4578949,0.431579,NA,NA,NA,NA,"crangon","dom_03a_1_3","dom_03a_1",27.5
"dom_03a","1","3",24,30,35,1.457895,1.589474,0.431579,0.673685,NA,NA,NA,NA,"crangon","dom_03a_1_3","dom_03a_1",32.5
