"publication_id","experiment_id","treatment_id","nsamp","t1","t2","w1","w2","errorw1","errorw2","igr.mu","igr.sd","fr.mu","fr.sd","prey_type","exp_id","experiment","t","main_prey","Rcomma","Temperature","case","z1","z2","Index.t","Index.e","Index.no","Index.food"
"syk_06",3,3,35,78,85,NA,NA,NA,NA,2.727273,0.661393162361167,NA,NA,"grass shrimp","syk_06_3_3","syk_06_3",81.5,"medium_shrimp",1,15,3,0.599999999999999,0.172413793103448,1,1,1,1
"lep_15",1,1,32,15,22,0.3641975,0.5216049,0.07098765,0.02469136,5.38198520878487,0.2,NA,NA,"crangon","lep_15_1_1","lep_15_1",18.5,"medium_shrimp",1,17.5,4,0.599999999999999,0.344827586206897,2,2,1,1
"kou_01",1,2,12,14,24,NA,NA,NA,NA,-0.2457338,0.2730375,1,NA,"mysids;crangon","kou_01_1_2","kou_01_1",19,"shrimp_mix",0.0285714285714286,20,1,0.0171428571428571,0.517241379310345,3,3,1,2
"dom_02",2,2,30,40,50,NA,NA,NA,NA,5.274725,1.29767127984615,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",45,"medium_shrimp",1,15,3,0.599999999999999,0.172413793103448,4,4,1,1
"kou_01",1,5,12,14,24,NA,NA,NA,NA,3.822526,0.546075,9,NA,"mysids;crangon","kou_01_1_5","kou_01_1",19,"shrimp_mix",0.285714285714286,20,1,0.171428571428571,0.517241379310345,5,3,1,2
"cor_08",1,1,30,20,27,2.449664,3.322148,0.302014,0.268457,4.181416,0.712389,16.65,0.5,"shrimp","cor_08_1_1","cor_08_1",23.5,"medium_shrimp",1,18.5,1,0.599999999999999,0.413793103448276,6,5,1,1
"syk_06",3,3,35,71,78,NA,NA,NA,NA,2.922078,0.634054884304339,NA,NA,"grass shrimp","syk_06_3_3","syk_06_3",74.5,"medium_shrimp",1,15,3,0.599999999999999,0.172413793103448,1,1,1,1
"dom_03a",3,6,25,20,25,1.570093,2.571963,0.478505,0.762617,10.04396,0.1,NA,NA,"crangon","dom_03a_3_6","dom_03a_3",22.5,"medium_shrimp",1,20,2,0.599999999999999,0.517241379310345,7,6,1,1
"syk_06",3,3,35,15,22,NA,NA,NA,NA,2.792208,0.699711570812082,NA,NA,"grass shrimp","syk_06_3_3","syk_06_3",18.5,"medium_shrimp",1,15,3,0.599999999999999,0.172413793103448,1,1,1,1
"dom_04",2,5,60,37,44,0.7,0.91,0.14,0.17,2.8,0.05,NA,NA,"fish_fry","dom_04_2_5","dom_04_2",40.5,"fish",1,20,1,0.599999999999999,0.517241379310345,8,7,1,3
