"publication_id","experiment_id","treatment_id","nsamp","t1","t2","w1","w2","errorw1","errorw2","igr.mu","igr.sd","fr.mu","fr.sd","prey_type","exp_id","experiment","t","main_prey","Rcomma","Temperature","case","z1","z2","Index.t","Index.e","Index.no","Index.food"
"syk_03",2,4,40,11,16,0.1746171,0.3032823,0.1041576,0.214442,11.26316,0.947370000000001,NA,NA,"grass shrimp","syk_03_2_4","syk_03_2",13.5,"medium_shrimp",1,23,1,0.599999999999999,0.724137931034483,22,16,1,3
"dom_03a",3,6,25,15,20,0.9271028,1.570093,0.2392524,0.478505,10.28571,3.1,NA,NA,"crangon","dom_03a_3_6","dom_03a_3",17.5,"medium_shrimp",1,20,2,0.599999999999999,0.517241379310345,23,2,1,3
"kou_02",3,6,36,29,34,1.520325,2.065041,0.105691,0.0975609999999999,5.541667,0.916667,33.93,1.64,"crangon","kou_02_3_6","kou_02_3",31.5,"medium_shrimp",1.14285714285714,20,1,0.685714285714283,0.517241379310345,10,9,1,3
"bae_10",1,3,30,7,14,0.1587379,0.257767,0.0291262,0.0495146,6.9034416922505,0.9,NA,NA,"mysids","bae_10_1_3","bae_10_1",10.5,"small_shrimp",1,20.5,4,0.599999999999999,0.551724137931034,1,1,1,1
"dom_01b",2,3,20,0,10,0.18,0.28,0.03,0.05,4.42,0.7,NA,NA,"artemia","dom_01b_2_3","dom_01b_2",5,"medium_shrimp",1,27,2,0.599999999999999,1,24,13,1,3
"kou_00",1,3,15,12,29,0.185,0.45,0.038,0.095,5.6,0.038,13.4,1.33,"mysids","kou_00_1_3","kou_00_1",20.5,"small_shrimp",0.76,19,1,0.455999999999999,0.448275862068966,25,17,1,1
"syk_06",4,4,50,0,15,NA,NA,NA,NA,9.921875,0.9020869280834,NA,NA,"grass shrimp","syk_06_4_4","syk_06_4",7.5,"medium_shrimp",1,21,3,0.599999999999999,0.586206896551724,5,5,1,3
"cor_08b",2,1,60,22,29,NA,NA,NA,NA,5.2,0.8,10.4,0.6,"grass shrimp","cor_08b_2_1","cor_08b_2",25.5,"medium_shrimp",0.428571428571429,18.5,1,0.257142857142857,0.413793103448276,26,8,1,3
"dom_04",1,1,90,8,15,0.154,0.25,0.042,0.056,7.1,0.4,NA,NA,"mysids","dom_04_1_1","dom_04_1",11.5,"small_shrimp",1,20,1,0.599999999999999,0.517241379310345,7,7,1,1
"dom_03a",1,1,24,25,30,1.110526,1.505263,0.4578946,0.426315,6.88122889332746,0.1,NA,NA,"crangon","dom_03a_1_1","dom_03a_1",27.5,"medium_shrimp",0.714285714285714,19,4,0.428571428571427,0.448275862068966,27,18,1,3
"syk_13",1,1,50,35,40,NA,NA,NA,NA,6.795181,0.86747,NA,NA,"grass shrimp","syk_13_1_1","syk_13_1",37.5,"medium_shrimp",1,24,1,0.599999999999999,0.793103448275862,6,6,1,3
"dom_03a",3,7,25,5,10,0.388785,0.4934579,0.1196262,0.1196261,5.032967,0.9,NA,NA,"fish fry","dom_03a_3_7","dom_03a_3",7.5,"fish",1,20,2,0.599999999999999,0.517241379310345,2,2,1,2
"dom_03a",3,6,25,20,25,1.570093,2.571963,0.478505,0.762617,10.04396,0.1,NA,NA,"crangon","dom_03a_3_6","dom_03a_3",22.5,"medium_shrimp",1,20,2,0.599999999999999,0.517241379310345,23,2,1,3
"dom_01a",1,1,20,0,10,NA,NA,NA,NA,11.8,4.1,33.7,13.5,"mysids","dom_01a_1_1","dom_01a_1",5,"medium_shrimp",1,27,1,0.599999999999999,1,28,19,1,3
"cor_08b",1,2,90,1,8,NA,NA,NA,NA,10,0.2,18.7,0.2,"mysids","cor_08b_1_2","cor_08b_1",4.5,"small_shrimp",1,18.5,1,0.599999999999999,0.413793103448276,29,20,1,1
"syk_06",1,1,27,20,30,NA,NA,NA,NA,5.314961,0.672482469152915,NA,NA,"grass shrimp","syk_06_1_1","syk_06_1",25,"medium_shrimp",1,17,3,0.599999999999999,0.310344827586207,30,21,1,3
"kou_02",2,4,80,26,29,0.659751,0.7991701,0.1219917,0.0273859,6.93112765153993,0.6,NA,NA,"mysids","kou_02_2_4","kou_02_2",27.5,"small_shrimp",1.14285714285714,20,4,0.685714285714283,0.517241379310345,31,22,1,1
"kou_01",1,4,12,14,24,NA,NA,NA,NA,0.5460751,0.1911263,5,NA,"mysids;crangon","kou_01_1_4","kou_01_1",19,"shrimp_mix",0.142857142857143,20,1,0.0857142857142856,0.517241379310345,15,4,1,4
"dom_01b",2,3,20,20,30,NA,2.774566,NA,1.618497,9.32,0.745271888250887,NA,NA,"grass_shrimp","dom_01b_2_3","dom_01b_2",25,"medium_shrimp",1,27,3,0.599999999999999,1,24,13,1,3
"dom_03a",3,7,25,10,15,0.4934579,0.6878505,0.1196261,0.1345794,6.153846,0.5,NA,NA,"fish fry","dom_03a_3_7","dom_03a_3",12.5,"fish",1,20,2,0.599999999999999,0.517241379310345,2,2,1,2
"dom_03a",2,5,24,25,30,1.076044,1.461099,0.4589011,0.464175,6.82747171463263,0.1,NA,NA,"crangon","dom_03a_2_5","dom_03a_2",27.5,"medium_shrimp",0.714285714285714,19,4,0.428571428571427,0.448275862068966,32,23,1,3
"syk_06",3,3,35,0,8,NA,NA,NA,NA,2.207792,1.33714983645979,NA,NA,"grass shrimp","syk_06_3_3","syk_06_3",4,"medium_shrimp",1,15,3,0.599999999999999,0.172413793103448,18,14,1,3
