"mean","sd","var","distr"
2.657425605,0.116129675088894,"obs_error[149]","2.66 , 0.12"
2.283563055,0.118524393931779,"obs_error[150]","2.28 , 0.12"
1.736811025,0.0821160968975281,"obs_error[151]","1.74 , 0.08"
1.977425605,0.116129675088894,"obs_error[152]","1.98 , 0.12"
1.95255785,0.106011404131728,"obs_error[153]","1.95 , 0.11"
2.528511895,0.118524383948849,"obs_error[154]","2.53 , 0.12"
2.038614055,0.118524355721331,"obs_error[155]","2.04 , 0.12"
1.073817702,0.0612057785375155,"obs_error[156]","1.07 , 0.06"
2.53812824,0.149922714953178,"obs_error[157]","2.54 , 0.15"
2.097425605,0.116129675088894,"obs_error[158]","2.1 , 0.12"
2.11551057,0.106011465065519,"obs_error[159]","2.12 , 0.11"
2.34499331,0.129836958703085,"obs_error[160]","2.34 , 0.13"
2.09285484,0.111745869455853,"obs_error[161]","2.09 , 0.11"
2.737425605,0.116129675088894,"obs_error[162]","2.74 , 0.12"
1.052735708,0.0612057485058701,"obs_error[163]","1.05 , 0.06"
1.91694092,0.106011541385394,"obs_error[164]","1.92 , 0.11"
1.765491595,0.102645068607121,"obs_error[165]","1.77 , 0.1"
2.937425605,0.116129675088894,"obs_error[166]","2.94 , 0.12"
3.018409895,0.118524477184609,"obs_error[167]","3.02 , 0.12"
1.0843586235,0.0612058064343931,"obs_error[168]","1.08 , 0.06"
2.577425605,0.116129675088894,"obs_error[169]","2.58 , 0.12"
2.96717521,0.167618707094226,"obs_error[170]","2.97 , 0.17"
5.2266427,0.259673882158078,"obs_error[171]","5.23 , 0.26"
3.08540344,0.167618872325721,"obs_error[172]","3.09 , 0.17"
3.21151436,0.167618766802475,"obs_error[173]","3.21 , 0.17"
1.819326115,0.0918086218460958,"obs_error[174]","1.82 , 0.09"
1.77259937,0.0981475008212732,"obs_error[175]","1.77 , 0.1"
1.328062585,0.0749614002853078,"obs_error[176]","1.33 , 0.07"
3.053875695,0.167618759449462,"obs_error[177]","3.05 , 0.17"
1.042194756,0.061205687875316,"obs_error[178]","1.04 , 0.06"
1.30666065,0.0649185645203835,"obs_error[179]","1.31 , 0.06"
1.81133874,0.0981475895321831,"obs_error[180]","1.81 , 0.1"
22.08925675,3.11099910218266,"sigma[1]","22.09 , 3.11"
22.2871304,3.05421831035856,"sigma[2]","22.29 , 3.05"
21.8172035,3.22994804477622,"sigma[3]","21.82 , 3.23"
22.3620309,3.00278449974372,"sigma[4]","22.36 , 3"
23.5131074,2.74133600910809,"sigma[5]","23.51 , 2.74"
21.64877045,2.97474277321842,"sigma[6]","21.65 , 2.97"
20.9179541,3.51668214090829,"sigma[7]","20.92 , 3.52"
23.6009042,2.73591842428727,"sigma[8]","23.6 , 2.74"
21.86287835,3.21319575232317,"sigma[9]","21.86 , 3.21"
22.14501515,3.03664987379736,"sigma[10]","22.15 , 3.04"
22.34473045,3.03748897142583,"sigma[11]","22.34 , 3.04"
22.35235405,3.01799912804859,"sigma[12]","22.35 , 3.02"
21.2422194,3.25813630683411,"sigma[13]","21.24 , 3.26"
21.26441095,3.40778616756348,"sigma[14]","21.26 , 3.41"
22.7387968,2.93796822279766,"sigma[15]","22.74 , 2.94"
21.65204175,3.21658499373682,"sigma[16]","21.65 , 3.22"
22.18007245,3.12808603060297,"sigma[17]","22.18 , 3.13"
